Date,SPDR Gold Shares_Open_average,SPDR Gold Shares_Open_max,SPDR Gold Shares_Open_min,SPDR Gold Shares_High_average,SPDR Gold Shares_High_max,SPDR Gold Shares_High_min,SPDR Gold Shares_Low_average,SPDR Gold Shares_Low_max,SPDR Gold Shares_Low_min,SPDR Gold Shares_Close_average,SPDR Gold Shares_Close_max,SPDR Gold Shares_Close_min
2018-11-18,0.8949667951728334,0.8949667951728334,0.8949667951728334,0.7341470502311382,0.7341470502311382,0.7341470502311382,0.8458239644712211,0.8458239644712211,0.8458239644712211,0.7884684695021151,0.7884684695021151,0.7884684695021151
2018-11-25,1.1886684011697226,1.1886684011697226,1.1886684011697226,1.1367448223843655,1.1367448223843655,1.1367448223843655,1.1518125120382086,1.1518125120382086,1.1518125120382086,1.1144400600990516,1.1144400600990516,1.1144400600990516
2018-12-02,1.5420601211622054,1.5420601211622054,1.5420601211622054,1.5405459148674696,1.5405459148674696,1.5405459148674696,1.523329527116216,1.523329527116216,1.523329527116216,1.5835443463497858,1.5835443463497858,1.5835443463497858
2018-12-09,1.1455982897069572,1.1455982897069572,1.1455982897069572,1.3301521911091707,1.3301521911091707,1.3301521911091707,1.247104785110392,1.247104785110392,1.247104785110392,1.4082506638464503,1.4082506638464503,1.4082506638464503
2018-12-16,1.8559010516563084,1.8559010516563084,1.8559010516563084,1.9096136739095204,1.9096136739095204,1.9096136739095204,1.8992751293406376,1.8992751293406376,1.8992751293406376,1.984026056836899,1.984026056836899,1.984026056836899
2018-12-23,2.0402008114835826,2.0402008114835826,2.0402008114835826,1.9729967700128848,1.9729967700128848,1.9729967700128848,2.0008814024742954,2.0008814024742954,2.0008814024742954,2.0310305383526934,2.0310305383526934,2.0310305383526934
2018-12-30,2.1076771745966085,2.1076771745966085,2.1076771745966085,1.9910473902304693,1.9910473902304693,1.9910473902304693,1.965100774801493,1.965100774801493,1.965100774801493,1.9055456531593902,1.9055456531593902,1.9055456531593902
2019-01-06,1.6662041695852015,1.6662041695852015,1.6662041695852015,1.6022515070672971,1.6022515070672971,1.6022515070672971,1.6604360230592707,1.6604360230592707,1.6604360230592707,1.6032661732471623,1.6032661732471623,1.6032661732471623
2019-01-13,1.1234774345240146,1.1234774345240146,1.1234774345240146,1.1325103091481792,1.1325103091481792,1.1325103091481792,1.1382568518720422,1.1382568518720422,1.1382568518720422,1.033018961797396,1.033018961797396,1.033018961797396
2019-01-20,1.3866742858134025,1.3866742858134025,1.3866742858134025,1.4564112499474493,1.4564112499474493,1.4564112499474493,1.4444799330619196,1.4444799330619196,1.4444799330619196,1.505764572819746,1.505764572819746,1.505764572819746
2019-01-27,1.4788818443070164,1.4788818443070164,1.4788818443070164,1.468302580918999,1.468302580918999,1.468302580918999,1.484144978557318,1.484144978557318,1.484144978557318,1.4235362029069971,1.4235362029069971,1.4235362029069971
2019-02-03,1.0930353382732978,1.0930353382732978,1.0930353382732978,1.1824435272499862,1.1824435272499862,1.1824435272499862,1.1519688071938763,1.1519688071938763,1.1519688071938763,1.1774743345953775,1.1774743345953775,1.1774743345953775
2019-02-10,1.355645963127215,1.355645963127215,1.355645963127215,1.358505527962109,1.358505527962109,1.358505527962109,1.2879663143759998,1.2879663143759998,1.2879663143759998,1.3577608593641988,1.3577608593641988,1.3577608593641988
2019-02-17,1.5305345230077343,1.5305345230077343,1.5305345230077343,1.465681017190392,1.465681017190392,1.465681017190392,1.4485630796346682,1.4485630796346682,1.4485630796346682,1.3746859742396011,1.3746859742396011,1.3746859742396011
2019-02-24,-0.08489901166355894,-0.08489901166355894,-0.08489901166355894,-0.10920459194840261,-0.10920459194840261,-0.10920459194840261,-0.14753893026247017,-0.14753893026247017,-0.14753893026247017,-0.1317373255059096,-0.1317373255059096,-0.1317373255059096
2019-03-03,0.17494084094743148,0.17494084094743148,0.17494084094743148,0.03400072437633043,0.03400072437633043,0.03400072437633043,0.01903257480800434,0.01903257480800434,0.01903257480800434,0.007204759871954345,0.007204759871954345,0.007204759871954345
2019-03-10,0.42986281585027,0.42986281585027,0.42986281585027,0.3224666429273402,0.3224666429273402,0.3224666429273402,0.37433633189771154,0.37433633189771154,0.37433633189771154,0.2681030577863257,0.2681030577863257,0.2681030577863257
2019-03-17,1.0979961248237249,1.0979961248237249,1.0979961248237249,1.2424995983148377,1.2424995983148377,1.2424995983148377,1.2567249158854101,1.2567249158854101,1.2567249158854101,1.3126792380735903,1.3126792380735903,1.3126792380735903
2019-03-24,-0.5224624750187581,-0.5224624750187581,-0.5224624750187581,-0.6672355602915347,-0.6672355602915347,-0.6672355602915347,-0.9292887762054627,-0.9292887762054627,-0.9292887762054627,-1.038264337647099,-1.038264337647099,-1.038264337647099
2019-03-31,-0.14154746923053105,-0.14154746923053105,-0.14154746923053105,-0.29379201490122936,-0.29379201490122936,-0.29379201490122936,-0.29844208087209567,-0.29844208087209567,-0.29844208087209567,-0.40003923764861793,-0.40003923764861793,-0.40003923764861793
2019-04-07,-1.363494732976979,-1.363494732976979,-1.363494732976979,-1.1303392435007669,-1.1303392435007669,-1.1303392435007669,-1.1835949289829235,-1.1835949289829235,-1.1835949289829235,-0.9968266018804367,-0.9968266018804367,-0.9968266018804367
2019-04-14,-1.7327268477044915,-1.7327268477044915,-1.7327268477044915,-1.8454040719053129,-1.8454040719053129,-1.8454040719053129,-1.6265073459130643,-1.6265073459130643,-1.6265073459130643,-1.7161878818643228,-1.7161878818643228,-1.7161878818643228
2019-04-21,-1.2535923567920624,-1.2535923567920624,-1.2535923567920624,-1.3333843943959016,-1.3333843943959016,-1.3333843943959016,-1.1702247581253644,-1.1702247581253644,-1.1702247581253644,-1.2046561387419776,-1.2046561387419776,-1.2046561387419776
2019-04-28,-1.2016663830747918,-1.2016663830747918,-1.2016663830747918,-1.0310237495447099,-1.0310237495447099,-1.0310237495447099,-1.068093178354082,-1.068093178354082,-1.068093178354082,-1.0391666990461161,-1.0391666990461161,-1.0391666990461161
2019-05-05,0.033801098698266765,0.033801098698266765,0.033801098698266765,0.02744017632080353,0.02744017632080353,0.02744017632080353,0.07954410552668781,0.07954410552668781,0.07954410552668781,0.11483816080897366,0.11483816080897366,0.11483816080897366
2019-05-12,-1.071096275316948,-1.071096275316948,-1.071096275316948,-1.0633537495432506,-1.0633537495432506,-1.0633537495432506,-0.9653449411133757,-0.9653449411133757,-0.9653449411133757,-0.9738805773838872,-0.9738805773838872,-0.9738805773838872
2019-05-19,-0.6096675601431474,-0.6096675601431474,-0.6096675601431474,-0.6297173113751073,-0.6297173113751073,-0.6297173113751073,-0.574027501692264,-0.574027501692264,-0.574027501692264,-0.44195292929965735,-0.44195292929965735,-0.44195292929965735
2019-05-26,1.4262704287762369,1.4262704287762369,1.4262704287762369,1.8855390923003685,1.8855390923003685,1.8855390923003685,1.5591937228235064,1.5591937228235064,1.5591937228235064,1.95623009558244,1.95623009558244,1.95623009558244
2019-06-02,1.8663765742618286,1.8663765742618286,1.8663765742618286,1.6241257848153172,1.6241257848153172,1.6241257848153172,1.8575066330423846,1.8575066330423846,1.8575066330423846,1.6793899858391668,1.6793899858391668,1.6793899858391668
2019-06-09,1.9920967289325018,1.9920967289325018,1.9920967289325018,1.829794197024742,1.829794197024742,1.829794197024742,1.9540404273093495,1.9540404273093495,1.9540404273093495,1.8320956214646844,1.8320956214646844,1.8320956214646844
2019-06-16,2.740240571069197,2.740240571069197,2.740240571069197,2.801143629404104,2.801143629404104,2.801143629404104,2.7961457126278697,2.7961457126278697,2.7961457126278697,2.82470807633925,2.82470807633925,2.82470807633925
2019-06-23,1.8332650968824926,1.8332650968824926,1.8332650968824926,1.7188308121908495,1.7188308121908495,1.7188308121908495,1.7288936754774402,1.7288936754774402,1.7288936754774402,1.565604322748026,1.565604322748026,1.565604322748026
2019-06-30,1.5943431890272042,1.5943431890272042,1.5943431890272042,1.5111850492316994,1.5111850492316994,1.5111850492316994,1.54733025783844,1.54733025783844,1.54733025783844,1.4224628173936906,1.4224628173936906,1.4224628173936906
2019-07-07,1.4786203495067598,1.4786203495067598,1.4786203495067598,1.443531064599959,1.443531064599959,1.443531064599959,1.5321486967294269,1.5321486967294269,1.5321486967294269,1.543943860476907,1.543943860476907,1.543943860476907
2019-07-14,1.447983571761227,1.447983571761227,1.447983571761227,1.4083016879819519,1.4083016879819519,1.4083016879819519,1.5104487077969615,1.5104487077969615,1.5104487077969615,1.4338063780555217,1.4338063780555217,1.4338063780555217
2019-07-21,1.1575471435411595,1.1575471435411595,1.1575471435411595,1.18795657480437,1.18795657480437,1.18795657480437,1.1484401859140378,1.1484401859140378,1.1484401859140378,1.2318754756038748,1.2318754756038748,1.2318754756038748
2019-07-28,1.5477294138475801,1.5477294138475801,1.5477294138475801,1.5640845984324896,1.5640845984324896,1.5640845984324896,1.5188457292209612,1.5188457292209612,1.5188457292209612,1.5239166267672857,1.5239166267672857,1.5239166267672857
2019-08-04,1.7494931249474746,1.7494931249474746,1.7494931249474746,1.85152615976609,1.85152615976609,1.85152615976609,1.832947959338795,1.832947959338795,1.832947959338795,1.8517892070750677,1.8517892070750677,1.8517892070750677
2019-08-11,1.4672212595453673,1.4672212595453673,1.4672212595453673,1.4016852123715535,1.4016852123715535,1.4016852123715535,1.470741039953685,1.470741039953685,1.470741039953685,1.404537776457688,1.404537776457688,1.404537776457688
2019-08-18,1.6786241396673742,1.6786241396673742,1.6786241396673742,1.6384605347022536,1.6384605347022536,1.6384605347022536,1.6805997466239269,1.6805997466239269,1.6805997466239269,1.634654382839552,1.634654382839552,1.634654382839552
2019-08-25,1.391890826775609,1.391890826775609,1.391890826775609,1.3948205642839786,1.3948205642839786,1.3948205642839786,1.3391439899076087,1.3391439899076087,1.3391439899076087,1.3474978018514585,1.3474978018514585,1.3474978018514585
2019-09-01,1.0218440995185123,1.0218440995185123,1.0218440995185123,0.8981218281806465,0.8981218281806465,0.8981218281806465,0.9157103368293473,0.9157103368293473,0.9157103368293473,0.8508166888751343,0.8508166888751343,0.8508166888751343
2019-09-08,0.7813680142120201,0.7813680142120201,0.7813680142120201,0.7257481120265364,0.7257481120265364,0.7257481120265364,0.7834636805740889,0.7834636805740889,0.7834636805740889,0.7362227780767716,0.7362227780767716,0.7362227780767716
