Date,Guggenheim CurrencyShares Euro_Open_average,Guggenheim CurrencyShares Euro_Open_max,Guggenheim CurrencyShares Euro_Open_min,Guggenheim CurrencyShares Euro_High_average,Guggenheim CurrencyShares Euro_High_max,Guggenheim CurrencyShares Euro_High_min,Guggenheim CurrencyShares Euro_Low_average,Guggenheim CurrencyShares Euro_Low_max,Guggenheim CurrencyShares Euro_Low_min,Guggenheim CurrencyShares Euro_Close_average,Guggenheim CurrencyShares Euro_Close_max,Guggenheim CurrencyShares Euro_Close_min
2018-04-08,0.6399097226712358,0.6399097226712358,0.6399097226712358,0.29718999504398164,0.29718999504398164,0.29718999504398164,0.559987356027229,0.559987356027229,0.559987356027229,0.3189780467638798,0.3189780467638798,0.3189780467638798
2018-04-15,-1.778586837303573,-1.778586837303573,-1.778586837303573,-2.04350799390913,-2.04350799390913,-2.04350799390913,-2.0497002970379365,-2.0497002970379365,-2.0497002970379365,-2.274744759056982,-2.274744759056982,-2.274744759056982
2018-04-22,-2.5406375139092727,-2.5406375139092727,-2.5406375139092727,-2.502424639010555,-2.502424639010555,-2.502424639010555,-2.521928713251751,-2.521928713251751,-2.521928713251751,-2.590957389709773,-2.590957389709773,-2.590957389709773
2018-04-29,-2.537124508204454,-2.537124508204454,-2.537124508204454,-2.559510103268636,-2.559510103268636,-2.559510103268636,-2.55913235826457,-2.55913235826457,-2.55913235826457,-2.5332928283350795,-2.5332928283350795,-2.5332928283350795
2018-05-06,-1.6437934851489358,-1.6437934851489358,-1.6437934851489358,-1.7188262493331323,-1.7188262493331323,-1.7188262493331323,-1.8312012061307532,-1.8312012061307532,-1.8312012061307532,-1.8724464860698369,-1.8724464860698369,-1.8724464860698369
2018-05-13,-2.147029122133719,-2.147029122133719,-2.147029122133719,-2.1288138415805733,-2.1288138415805733,-2.1288138415805733,-2.124515239232161,-2.124515239232161,-2.124515239232161,-2.024351158128442,-2.024351158128442,-2.024351158128442
2018-05-20,-2.003695128914879,-2.003695128914879,-2.003695128914879,-1.972654661077609,-1.972654661077609,-1.972654661077609,-1.9321752440171753,-1.9321752440171753,-1.9321752440171753,-1.947815955431164,-1.947815955431164,-1.947815955431164
2018-05-27,-1.4689106979974214,-1.4689106979974214,-1.4689106979974214,-1.4716499961927059,-1.4716499961927059,-1.4716499961927059,-1.4930809236505456,-1.4930809236505456,-1.4930809236505456,-1.4910588680135757,-1.4910588680135757,-1.4910588680135757
2018-06-03,-0.9874023414782971,-0.9874023414782971,-0.9874023414782971,-0.9978460888913426,-0.9978460888913426,-0.9978460888913426,-0.9702292363371786,-0.9702292363371786,-0.9702292363371786,-1.0180944953177704,-1.0180944953177704,-1.0180944953177704
2018-06-10,-1.4086607534921296,-1.4086607534921296,-1.4086607534921296,-1.3919472122957657,-1.3919472122957657,-1.3919472122957657,-1.3471554649538917,-1.3471554649538917,-1.3471554649538917,-1.3430083170318987,-1.3430083170318987,-1.3430083170318987
2018-06-17,-0.9787139773901739,-0.9787139773901739,-0.9787139773901739,-0.9583611437947185,-0.9583611437947185,-0.9583611437947185,-0.966787736758353,-0.966787736758353,-0.966787736758353,-0.9407097750979827,-0.9407097750979827,-0.9407097750979827
2018-06-24,-1.0738694434158351,-1.0738694434158351,-1.0738694434158351,-1.106301503038849,-1.106301503038849,-1.106301503038849,-1.084799411532121,-1.084799411532121,-1.084799411532121,-1.0740443518338547,-1.0740443518338547,-1.0740443518338547
2018-07-01,-0.39003803523600467,-0.39003803523600467,-0.39003803523600467,-0.4520211390096037,-0.4520211390096037,-0.4520211390096037,-0.470010311647011,-0.470010311647011,-0.470010311647011,-0.5003187413641013,-0.5003187413641013,-0.5003187413641013
2018-07-08,-0.6343871596516025,-0.6343871596516025,-0.6343871596516025,-0.5998283014786026,-0.5998283014786026,-0.5998283014786026,-0.5428936251583122,-0.5428936251583122,-0.5428936251583122,-0.567683845144185,-0.567683845144185,-0.567683845144185
2018-07-15,-0.44731815749791565,-0.44731815749791565,-0.44731815749791565,-0.5480893318775945,-0.5480893318775945,-0.5480893318775945,-0.5169254332836971,-0.5169254332836971,-0.5169254332836971,-0.5816736432572022,-0.5816736432572022,-0.5816736432572022
2018-07-22,-0.4842503114587598,-0.4842503114587598,-0.4842503114587598,-0.4280205353933744,-0.4280205353933744,-0.4280205353933744,-0.35699284576310547,-0.35699284576310547,-0.35699284576310547,-0.43606458290126526,-0.43606458290126526,-0.43606458290126526
2018-07-29,-1.5116308701408485,-1.5116308701408485,-1.5116308701408485,-1.5431186041809852,-1.5431186041809852,-1.5431186041809852,-1.588223602245654,-1.588223602245654,-1.588223602245654,-1.6547705515240427,-1.6547705515240427,-1.6547705515240427
2018-08-05,-2.351564061328347,-2.351564061328347,-2.351564061328347,-2.4568766393559742,-2.4568766393559742,-2.4568766393559742,-2.5672692795663443,-2.5672692795663443,-2.5672692795663443,-2.5869352333821194,-2.5869352333821194,-2.5869352333821194
