Date,ProShares Investment Grade-Interest Rate HedgedEtf_Open_average,ProShares Investment Grade-Interest Rate HedgedEtf_Open_max,ProShares Investment Grade-Interest Rate HedgedEtf_Open_min,ProShares Investment Grade-Interest Rate HedgedEtf_High_average,ProShares Investment Grade-Interest Rate HedgedEtf_High_max,ProShares Investment Grade-Interest Rate HedgedEtf_High_min,ProShares Investment Grade-Interest Rate HedgedEtf_Low_average,ProShares Investment Grade-Interest Rate HedgedEtf_Low_max,ProShares Investment Grade-Interest Rate HedgedEtf_Low_min,ProShares Investment Grade-Interest Rate HedgedEtf_Close_average,ProShares Investment Grade-Interest Rate HedgedEtf_Close_max,ProShares Investment Grade-Interest Rate HedgedEtf_Close_min
2018-05-27,-1.5532864660083714,-1.5532864660083714,-1.5532864660083714,-1.686493909616625,-1.686493909616625,-1.686493909616625,-2.6925763314091067,-2.6925763314091067,-2.6925763314091067,-1.794494653764823,-1.794494653764823,-1.794494653764823
2018-06-03,-1.697923148375669,-1.697923148375669,-1.697923148375669,-1.677679117680791,-1.677679117680791,-1.677679117680791,-1.4283900646358978,-1.4283900646358978,-1.4283900646358978,-1.527626743598291,-1.527626743598291,-1.527626743598291
2018-06-10,-1.7885378291521463,-1.7885378291521463,-1.7885378291521463,-1.6555853213849971,-1.6555853213849971,-1.6555853213849971,-1.6747624112705886,-1.6747624112705886,-1.6747624112705886,-1.5906740631974816,-1.5906740631974816,-1.5906740631974816
2018-06-17,-2.041403113797042,-2.041403113797042,-2.041403113797042,-2.133686814123644,-2.133686814123644,-2.133686814123644,-1.9202118513701187,-1.9202118513701187,-1.9202118513701187,-2.307565092455378,-2.307565092455378,-2.307565092455378
2018-06-24,-2.0809531046264977,-2.0809531046264977,-2.0809531046264977,-2.077781520502717,-2.077781520502717,-2.077781520502717,-1.7240503129208264,-1.7240503129208264,-1.7240503129208264,-1.856765018585768,-1.856765018585768,-1.856765018585768
2018-07-01,-1.893815363676063,-1.893815363676063,-1.893815363676063,-1.8396135108675868,-1.8396135108675868,-1.8396135108675868,-1.620020251841346,-1.620020251841346,-1.620020251841346,-1.7221593587192643,-1.7221593587192643,-1.7221593587192643
2018-07-08,-1.0820900971744756,-1.0820900971744756,-1.0820900971744756,-0.7974824345141655,-0.7974824345141655,-0.7974824345141655,-0.9231086926564653,-0.9231086926564653,-0.9231086926564653,-1.0487969936392376,-1.0487969936392376,-1.0487969936392376
2018-07-15,-0.9184071487626793,-0.9184071487626793,-0.9184071487626793,-0.9579554101819096,-0.9579554101819096,-0.9579554101819096,-0.8024419383163285,-0.8024419383163285,-0.8024419383163285,-0.7565098318876665,-0.7565098318876665,-0.7565098318876665
2018-07-22,-0.3269372320658367,-0.3269372320658367,-0.3269372320658367,-0.14173234464225845,-0.14173234464225845,-0.14173234464225845,-0.43218170084321667,-0.43218170084321667,-0.43218170084321667,-0.7958596035731584,-0.7958596035731584,-0.7958596035731584
2018-07-29,-0.06188547069479908,-0.06188547069479908,-0.06188547069479908,-0.09266006100039084,-0.09266006100039084,-0.09266006100039084,0.015025158104956596,0.015025158104956596,0.015025158104956596,0.21324661127992892,0.21324661127992892,0.21324661127992892
