Date,ProShares UltraShort Health CareEtf_Open_average,ProShares UltraShort Health CareEtf_Open_max,ProShares UltraShort Health CareEtf_Open_min,ProShares UltraShort Health CareEtf_High_average,ProShares UltraShort Health CareEtf_High_max,ProShares UltraShort Health CareEtf_High_min,ProShares UltraShort Health CareEtf_Low_average,ProShares UltraShort Health CareEtf_Low_max,ProShares UltraShort Health CareEtf_Low_min,ProShares UltraShort Health CareEtf_Close_average,ProShares UltraShort Health CareEtf_Close_max,ProShares UltraShort Health CareEtf_Close_min
2018-05-27,0.1023516772484727,0.1023516772484727,0.1023516772484727,0.005899303950804783,0.005899303950804783,0.005899303950804783,-0.20617339251768213,-0.20617339251768213,-0.20617339251768213,-0.25783957973616156,-0.25783957973616156,-0.25783957973616156
2018-06-03,-1.0294487636266325,-1.0294487636266325,-1.0294487636266325,-1.0557077483915789,-1.0557077483915789,-1.0557077483915789,-0.9011568975439673,-0.9011568975439673,-0.9011568975439673,-0.9522806031042284,-0.9522806031042284,-0.9522806031042284
2018-06-10,-1.6237492364122008,-1.6237492364122008,-1.6237492364122008,-1.6071550976620843,-1.6071550976620843,-1.6071550976620843,-1.4914734941631906,-1.4914734941631906,-1.4914734941631906,-1.5552155215975174,-1.5552155215975174,-1.5552155215975174
2018-06-17,-1.5662306426826682,-1.5662306426826682,-1.5662306426826682,-1.4828057211626022,-1.4828057211626022,-1.4828057211626022,-1.4501359482404212,-1.4501359482404212,-1.4501359482404212,-1.4468351674168192,-1.4468351674168192,-1.4468351674168192
2018-06-24,-0.8983393372264329,-0.8983393372264329,-0.8983393372264329,-0.7676276578288438,-0.7676276578288438,-0.7676276578288438,-0.7773167178788117,-0.7773167178788117,-0.7773167178788117,-0.6234852898514572,-0.6234852898514572,-0.6234852898514572
2018-07-01,-0.5754447660628641,-0.5754447660628641,-0.5754447660628641,-0.629902608452616,-0.629902608452616,-0.629902608452616,-0.4760862748469885,-0.4760862748469885,-0.4760862748469885,-0.5162244571032764,-0.5162244571032764,-0.5162244571032764
2018-07-08,-1.9334480606626039,-1.9334480606626039,-1.9334480606626039,-1.9687360939703538,-1.9687360939703538,-1.9687360939703538,-1.9194984897077718,-1.9194984897077718,-1.9194984897077718,-1.9398272285405977,-1.9398272285405977,-1.9398272285405977
2018-07-15,-1.840765628618498,-1.840765628618498,-1.840765628618498,-1.8658047160352742,-1.8658047160352742,-1.8658047160352742,-1.8500596501304887,-1.8500596501304887,-1.8500596501304887,-1.8651251207231152,-1.8651251207231152,-1.8651251207231152
2018-07-22,-1.7724906836698604,-1.7724906836698604,-1.7724906836698604,-1.7833617847728263,-1.7833617847728263,-1.7833617847728263,-1.86412959185657,-1.86412959185657,-1.86412959185657,-1.874964607614544,-1.874964607614544,-1.874964607614544
2018-07-29,-1.9158146461660033,-1.9158146461660033,-1.9158146461660033,-1.9239402517185615,-1.9239402517185615,-1.9239402517185615,-1.9752720446386418,-1.9752720446386418,-1.9752720446386418,-1.9740824999631865,-1.9740824999631865,-1.9740824999631865
