Date,FlexShares International Quality Dividend_etf_Open_average,FlexShares International Quality Dividend_etf_Open_max,FlexShares International Quality Dividend_etf_Open_min,FlexShares International Quality Dividend_etf_High_average,FlexShares International Quality Dividend_etf_High_max,FlexShares International Quality Dividend_etf_High_min,FlexShares International Quality Dividend_etf_Low_average,FlexShares International Quality Dividend_etf_Low_max,FlexShares International Quality Dividend_etf_Low_min,FlexShares International Quality Dividend_etf_Close_average,FlexShares International Quality Dividend_etf_Close_max,FlexShares International Quality Dividend_etf_Close_min
2018-04-08,-0.5880901526245302,-0.5880901526245302,-0.5880901526245302,-0.7004473953904765,-0.7004473953904765,-0.7004473953904765,-0.4607858684670507,-0.4607858684670507,-0.4607858684670507,-0.5911957144857446,-0.5911957144857446,-0.5911957144857446
2018-04-15,-0.4482278584280144,-0.4482278584280144,-0.4482278584280144,-0.5600120760011599,-0.5600120760011599,-0.5600120760011599,-0.2992640623439178,-0.2992640623439178,-0.2992640623439178,-0.4529407204495127,-0.4529407204495127,-0.4529407204495127
2018-04-22,-0.45793614792700155,-0.45793614792700155,-0.45793614792700155,-0.5248338481729855,-0.5248338481729855,-0.5248338481729855,-0.23507397062927188,-0.23507397062927188,-0.23507397062927188,-0.33630853645682013,-0.33630853645682013,-0.33630853645682013
2018-04-29,-1.4403545326070435,-1.4403545326070435,-1.4403545326070435,-0.8602647041411228,-0.8602647041411228,-0.8602647041411228,-0.8334792383175568,-0.8334792383175568,-0.8334792383175568,-0.7360604391213618,-0.7360604391213618,-0.7360604391213618
2018-05-06,-0.05205286135609025,-0.05205286135609025,-0.05205286135609025,-0.29318121321403,-0.29318121321403,-0.29318121321403,0.008969830480867328,0.008969830480867328,0.008969830480867328,-0.21268998662713276,-0.21268998662713276,-0.21268998662713276
2018-05-13,-0.9656413393367924,-0.9656413393367924,-0.9656413393367924,-1.127044233488518,-1.127044233488518,-1.127044233488518,-0.6747051222735029,-0.6747051222735029,-0.6747051222735029,-0.9205998920756616,-0.9205998920756616,-0.9205998920756616
2018-05-20,-2.0247042150149848,-2.0247042150149848,-2.0247042150149848,-2.107077380435988,-2.107077380435988,-2.107077380435988,-1.716465776209115,-1.716465776209115,-1.716465776209115,-1.7917350762914184,-1.7917350762914184,-1.7917350762914184
2018-05-27,-1.9022822224718778,-1.9022822224718778,-1.9022822224718778,-2.0450130479335202,-2.0450130479335202,-2.0450130479335202,-1.748508227990227,-1.748508227990227,-1.748508227990227,-1.7869289990767938,-1.7869289990767938,-1.7869289990767938
2018-06-03,-1.5763173528858057,-1.5763173528858057,-1.5763173528858057,-1.5897365621615895,-1.5897365621615895,-1.5897365621615895,-1.546861123034583,-1.546861123034583,-1.546861123034583,-1.4548748337369544,-1.4548748337369544,-1.4548748337369544
2018-06-10,-1.8690491484265377,-1.8690491484265377,-1.8690491484265377,-1.979324477517801,-1.979324477517801,-1.979324477517801,-1.9185238396125104,-1.9185238396125104,-1.9185238396125104,-1.855575099125638,-1.855575099125638,-1.855575099125638
2018-06-17,-2.3048483098241213,-2.3048483098241213,-2.3048483098241213,-2.314801339774686,-2.314801339774686,-2.314801339774686,-2.3183571208026343,-2.3183571208026343,-2.3183571208026343,-2.364071048948426,-2.364071048948426,-2.364071048948426
2018-06-24,-2.054914113976666,-2.054914113976666,-2.054914113976666,-2.0448102533149775,-2.0448102533149775,-2.0448102533149775,-2.0055397376817914,-2.0055397376817914,-2.0055397376817914,-2.05443116439973,-2.05443116439973,-2.05443116439973
2018-07-01,-1.5804290375392211,-1.5804290375392211,-1.5804290375392211,-1.4737646469810877,-1.4737646469810877,-1.4737646469810877,-1.516654559477095,-1.516654559477095,-1.516654559477095,-1.4574581922769934,-1.4574581922769934,-1.4574581922769934
2018-07-08,-1.3941800144766525,-1.3941800144766525,-1.3941800144766525,-1.4055755520382123,-1.4055755520382123,-1.4055755520382123,-1.3826353241063847,-1.3826353241063847,-1.3826353241063847,-1.3757823765921884,-1.3757823765921884,-1.3757823765921884
2018-07-15,-1.1186300183412536,-1.1186300183412536,-1.1186300183412536,-1.0449176342227797,-1.0449176342227797,-1.0449176342227797,-1.0677472212186727,-1.0677472212186727,-1.0677472212186727,-1.0191984391431228,-1.0191984391431228,-1.0191984391431228
