Date,iShares Gold_etf_Open_average,iShares Gold_etf_Open_max,iShares Gold_etf_Open_min,iShares Gold_etf_High_average,iShares Gold_etf_High_max,iShares Gold_etf_High_min,iShares Gold_etf_Low_average,iShares Gold_etf_Low_max,iShares Gold_etf_Low_min,iShares Gold_etf_Close_average,iShares Gold_etf_Close_max,iShares Gold_etf_Close_min
2018-04-08,0.5292430341294249,0.5292430341294249,0.5292430341294249,0.8322333791139459,0.8322333791139459,0.8322333791139459,0.8584972834206807,0.8584972834206807,0.8584972834206807,0.9942627179990013,0.9942627179990013,0.9942627179990013
2018-04-15,0.2728617740301344,0.2728617740301344,0.2728617740301344,0.26858452919325326,0.26858452919325326,0.26858452919325326,0.43862773456729715,0.43862773456729715,0.43862773456729715,0.22264108498947172,0.22264108498947172,0.22264108498947172
2018-04-22,-0.7861770688179484,-0.7861770688179484,-0.7861770688179484,-0.6982385667681809,-0.6982385667681809,-0.6982385667681809,-0.5563020223818829,-0.5563020223818829,-0.5563020223818829,-0.5720945702956757,-0.5720945702956757,-0.5720945702956757
2018-04-29,-1.4198544572517757,-1.4198544572517757,-1.4198544572517757,-1.2925020527506037,-1.2925020527506037,-1.2925020527506037,-1.2896512128618745,-1.2896512128618745,-1.2896512128618745,-1.183453193628697,-1.183453193628697,-1.183453193628697
2018-05-06,-0.3211285959892903,-0.3211285959892903,-0.3211285959892903,-0.5577733510227201,-0.5577733510227201,-0.5577733510227201,-0.6156426630522256,-0.6156426630522256,-0.6156426630522256,-0.9554389345508276,-0.9554389345508276,-0.9554389345508276
2018-05-13,-2.3874567031514227,-2.3874567031514227,-2.3874567031514227,-2.286038029142107,-2.286038029142107,-2.286038029142107,-2.289973960193164,-2.289973960193164,-2.289973960193164,-2.288538914910263,-2.288538914910263,-2.288538914910263
2018-05-20,-1.1634347600693482,-1.1634347600693482,-1.1634347600693482,-1.2715035157021217,-1.2715035157021217,-1.2715035157021217,-1.2298514019328513,-1.2298514019328513,-1.2298514019328513,-1.4147870399478402,-1.4147870399478402,-1.4147870399478402
2018-05-27,-1.4811558647653085,-1.4811558647653085,-1.4811558647653085,-1.441666363214778,-1.441666363214778,-1.441666363214778,-1.4566592160076979,-1.4566592160076979,-1.4566592160076979,-1.5405163332581229,-1.5405163332581229,-1.5405163332581229
2018-06-03,-1.0075871002243884,-1.0075871002243884,-1.0075871002243884,-1.186035547723004,-1.186035547723004,-1.186035547723004,-1.0265350431079805,-1.0265350431079805,-1.0265350431079805,-1.0820100046103107,-1.0820100046103107,-1.0820100046103107
2018-06-10,-1.2838814775327354,-1.2838814775327354,-1.2838814775327354,-1.4252713375231538,-1.4252713375231538,-1.4252713375231538,-1.7500059588063295,-1.7500059588063295,-1.7500059588063295,-1.6411913935694322,-1.6411913935694322,-1.6411913935694322
2018-06-17,-1.8785475394037603,-1.8785475394037603,-1.8785475394037603,-1.9129478429736781,-1.9129478429736781,-1.9129478429736781,-1.7189887574529936,-1.7189887574529936,-1.7189887574529936,-1.772585696326618,-1.772585696326618,-1.772585696326618
2018-06-24,-2.0076884902975536,-2.0076884902975536,-2.0076884902975536,-1.9228772119102227,-1.9228772119102227,-1.9228772119102227,-1.9310716894351139,-1.9310716894351139,-1.9310716894351139,-1.8904976633935926,-1.8904976633935926,-1.8904976633935926
2018-07-01,-1.4776718918875267,-1.4776718918875267,-1.4776718918875267,-1.5461471559232458,-1.5461471559232458,-1.5461471559232458,-1.4510176214925157,-1.4510176214925157,-1.4510176214925157,-1.5293874371635978,-1.5293874371635978,-1.5293874371635978
2018-07-08,-1.6851881804615045,-1.6851881804615045,-1.6851881804615045,-1.6919658044587247,-1.6919658044587247,-1.6919658044587247,-1.619774528813529,-1.619774528813529,-1.619774528813529,-1.6866665513035464,-1.6866665513035464,-1.6866665513035464
2018-07-15,-1.7732464535632484,-1.7732464535632484,-1.7732464535632484,-1.7318488784558288,-1.7318488784558288,-1.7318488784558288,-1.7153116387130263,-1.7153116387130263,-1.7153116387130263,-1.6811573106213917,-1.6811573106213917,-1.6811573106213917
2018-07-22,-1.601646080910308,-1.601646080910308,-1.601646080910308,-1.579328015756792,-1.579328015756792,-1.579328015756792,-1.5759448574419612,-1.5759448574419612,-1.5759448574419612,-1.6263714754992442,-1.6263714754992442,-1.6263714754992442
2018-07-29,-1.5056326366924129,-1.5056326366924129,-1.5056326366924129,-1.499068175535146,-1.499068175535146,-1.499068175535146,-1.5479554690575905,-1.5479554690575905,-1.5479554690575905,-1.5912619422649086,-1.5912619422649086,-1.5912619422649086
2018-08-05,-1.4030910293059429,-1.4030910293059429,-1.4030910293059429,-1.3940795098462289,-1.3940795098462289,-1.3940795098462289,-1.4098509394464072,-1.4098509394464072,-1.4098509394464072,-1.456106223590965,-1.456106223590965,-1.456106223590965
2018-08-12,-1.846191717141595,-1.846191717141595,-1.846191717141595,-1.8423704628807065,-1.8423704628807065,-1.8423704628807065,-1.8930314267057171,-1.8930314267057171,-1.8930314267057171,-1.7890434768901085,-1.7890434768901085,-1.7890434768901085
2018-08-19,-1.2055763911413742,-1.2055763911413742,-1.2055763911413742,-1.0531926379504435,-1.0531926379504435,-1.0531926379504435,-1.1892859438994827,-1.1892859438994827,-1.1892859438994827,-1.0474095995900714,-1.0474095995900714,-1.0474095995900714
2018-08-26,-0.9269241829894164,-0.9269241829894164,-0.9269241829894164,-0.9955782983508634,-0.9955782983508634,-0.9955782983508634,-0.9880289444243119,-0.9880289444243119,-0.9880289444243119,-1.065225265236059,-1.065225265236059,-1.065225265236059
2018-09-02,-0.9597451639370921,-0.9597451639370921,-0.9597451639370921,-1.0345663307449515,-1.0345663307449515,-1.0345663307449515,-1.0075836863044443,-1.0075836863044443,-1.0075836863044443,-1.081589027465328,-1.081589027465328,-1.081589027465328
2018-09-09,-0.740472045415081,-0.740472045415081,-0.740472045415081,-0.8446300007881167,-0.8446300007881167,-0.8446300007881167,-0.9236124398455333,-0.9236124398455333,-0.9236124398455333,-0.9730074608717157,-0.9730074608717157,-0.9730074608717157
2018-09-16,-0.9431424379827787,-0.9431424379827787,-0.9431424379827787,-0.8610170929013413,-0.8610170929013413,-0.8610170929013413,-0.8596530249133739,-0.8596530249133739,-0.8596530249133739,-0.7565613174891342,-0.7565613174891342,-0.7565613174891342
2018-09-23,-1.0969465585641027,-1.0969465585641027,-1.0969465585641027,-1.0079346287990196,-1.0079346287990196,-1.0079346287990196,-1.0580140373374693,-1.0580140373374693,-1.0580140373374693,-0.906294634752484,-0.906294634752484,-0.906294634752484
2018-09-30,-0.21830626717737384,-0.21830626717737384,-0.21830626717737384,-0.33453193837654366,-0.33453193837654366,-0.33453193837654366,-0.23418338679113046,-0.23418338679113046,-0.23418338679113046,-0.28053006102899314,-0.28053006102899314,-0.28053006102899314
2018-10-07,1.1136246917254198,1.1136246917254198,1.1136246917254198,0.9310905866181975,0.9310905866181975,0.9310905866181975,0.9450898159883613,0.9450898159883613,0.9450898159883613,0.9356962188569352,0.9356962188569352,0.9356962188569352
2018-10-14,1.6055656963225582,1.6055656963225582,1.6055656963225582,1.466689113871101,1.466689113871101,1.466689113871101,1.6075518064199654,1.6075518064199654,1.6075518064199654,1.61652868133264,1.61652868133264,1.61652868133264
2018-10-21,1.7906825422950174,1.7906825422950174,1.7906825422950174,2.1094902259841115,2.1094902259841115,2.1094902259841115,1.8250411043402026,1.8250411043402026,1.8250411043402026,1.9316756314583943,1.9316756314583943,1.9316756314583943
2018-10-28,1.4080657798056,1.4080657798056,1.4080657798056,1.4361291741643802,1.4361291741643802,1.4361291741643802,1.476980222632884,1.476980222632884,1.476980222632884,1.6227738322562861,1.6227738322562861,1.6227738322562861
2018-11-04,0.18239662554772407,0.18239662554772407,0.18239662554772407,0.09997261140731004,0.09997261140731004,0.09997261140731004,0.13769051203928975,0.13769051203928975,0.13769051203928975,0.17769397528974037,0.17769397528974037,0.17769397528974037
2018-11-11,0.8312831220618279,0.8312831220618279,0.8312831220618279,0.6666184587380395,0.6666184587380395,0.6666184587380395,0.793435742344052,0.793435742344052,0.793435742344052,0.7185757571479533,0.7185757571479533,0.7185757571479533
2018-11-18,0.7106650791681673,0.7106650791681673,0.7106650791681673,0.6423859708251651,0.6423859708251651,0.6423859708251651,0.7951805695893398,0.7951805695893398,0.7951805695893398,0.7564253062305717,0.7564253062305717,0.7564253062305717
2018-11-25,0.433614976399056,0.433614976399056,0.433614976399056,0.3599370165326814,0.3599370165326814,0.3599370165326814,0.3919532006784108,0.3919532006784108,0.3919532006784108,0.5804843350839557,0.5804843350839557,0.5804843350839557
2018-12-02,1.4939687715824872,1.4939687715824872,1.4939687715824872,1.7206273142797524,1.7206273142797524,1.7206273142797524,1.6350135154825378,1.6350135154825378,1.6350135154825378,1.8564394741998844,1.8564394741998844,1.8564394741998844
2018-12-09,0.858952519629531,0.858952519629531,0.858952519629531,0.9947191714109834,0.9947191714109834,0.9947191714109834,0.8945758863307001,0.8945758863307001,0.8945758863307001,1.1139306756656797,1.1139306756656797,1.1139306756656797
2018-12-16,1.9643374931695174,1.9643374931695174,1.9643374931695174,1.8116005380441014,1.8116005380441014,1.8116005380441014,1.7419756390080214,1.7419756390080214,1.7419756390080214,1.7524871466079714,1.7524871466079714,1.7524871466079714
2018-12-23,2.3017585306501833,2.3017585306501833,2.3017585306501833,2.256914391978883,2.256914391978883,2.256914391978883,2.3607429640307536,2.3607429640307536,2.3607429640307536,2.379239077400175,2.379239077400175,2.379239077400175
