Date,ProShares Short High YieldEtf_Open_average,ProShares Short High YieldEtf_Open_max,ProShares Short High YieldEtf_Open_min,ProShares Short High YieldEtf_High_average,ProShares Short High YieldEtf_High_max,ProShares Short High YieldEtf_High_min,ProShares Short High YieldEtf_Low_average,ProShares Short High YieldEtf_Low_max,ProShares Short High YieldEtf_Low_min,ProShares Short High YieldEtf_Close_average,ProShares Short High YieldEtf_Close_max,ProShares Short High YieldEtf_Close_min
2018-05-27,-0.531533518266609,-0.531533518266609,-0.531533518266609,-0.5600734993242941,-0.5600734993242941,-0.5600734993242941,-0.28893597429218904,-0.28893597429218904,-0.28893597429218904,-0.3152056743263141,-0.3152056743263141,-0.3152056743263141
2018-06-03,-1.0782884504347692,-1.0782884504347692,-1.0782884504347692,-0.931524503348938,-0.931524503348938,-0.931524503348938,-1.13011514490097,-1.13011514490097,-1.13011514490097,-1.102276877933814,-1.102276877933814,-1.102276877933814
2018-06-10,-2.2275661100875204,-2.2275661100875204,-2.2275661100875204,-1.7608852821920076,-1.7608852821920076,-1.7608852821920076,-2.195758077479134,-2.195758077479134,-2.195758077479134,-2.012158817977487,-2.012158817977487,-2.012158817977487
2018-06-17,-1.9011566140999017,-1.9011566140999017,-1.9011566140999017,-1.5559233950236244,-1.5559233950236244,-1.5559233950236244,-1.832248642543076,-1.832248642543076,-1.832248642543076,-1.5530114369412242,-1.5530114369412242,-1.5530114369412242
2018-06-24,-0.8861410771259294,-0.8861410771259294,-0.8861410771259294,-0.46640952385301604,-0.46640952385301604,-0.46640952385301604,-0.8261648061803409,-0.8261648061803409,-0.8261648061803409,-0.2634461185770817,-0.2634461185770817,-0.2634461185770817
2018-07-01,-0.969220520814131,-0.969220520814131,-0.969220520814131,-0.9928810240959035,-0.9928810240959035,-0.9928810240959035,-1.1522059945698786,-1.1522059945698786,-1.1522059945698786,-1.310689220352404,-1.310689220352404,-1.310689220352404
2018-07-08,-1.458637023693057,-1.458637023693057,-1.458637023693057,-1.6298689203621637,-1.6298689203621637,-1.6298689203621637,-1.6324192618411717,-1.6324192618411717,-1.6324192618411717,-1.5100110849228723,-1.5100110849228723,-1.5100110849228723
2018-07-15,-1.2783990044101678,-1.2783990044101678,-1.2783990044101678,-1.4178785737989792,-1.4178785737989792,-1.4178785737989792,-1.3445263862481724,-1.3445263862481724,-1.3445263862481724,-1.3467935498906674,-1.3467935498906674,-1.3467935498906674
2018-07-22,-1.5910759256271416,-1.5910759256271416,-1.5910759256271416,-1.5969622051220465,-1.5969622051220465,-1.5969622051220465,-1.6825132105300546,-1.6825132105300546,-1.6825132105300546,-1.6455190667834794,-1.6455190667834794,-1.6455190667834794
2018-07-29,-1.8150570435304498,-1.8150570435304498,-1.8150570435304498,-1.8443535567335723,-1.8443535567335723,-1.8443535567335723,-1.821145560460647,-1.821145560460647,-1.821145560460647,-1.8030934147411224,-1.8030934147411224,-1.8030934147411224
2018-08-05,-1.8568902699552208,-1.8568902699552208,-1.8568902699552208,-1.7112850685991947,-1.7112850685991947,-1.7112850685991947,-1.8266449964055507,-1.8266449964055507,-1.8266449964055507,-1.7255528473396908,-1.7255528473396908,-1.7255528473396908
2018-08-12,-1.5933539777283696,-1.5933539777283696,-1.5933539777283696,-1.6391957552588974,-1.6391957552588974,-1.6391957552588974,-1.740508130596563,-1.740508130596563,-1.740508130596563,-1.743029013217286,-1.743029013217286,-1.743029013217286
2018-08-19,-1.8516688792367386,-1.8516688792367386,-1.8516688792367386,-1.9748838771398578,-1.9748838771398578,-1.9748838771398578,-1.9873856141789328,-1.9873856141789328,-1.9873856141789328,-1.9130058010807436,-1.9130058010807436,-1.9130058010807436
2018-08-26,-1.6165563604283457,-1.6165563604283457,-1.6165563604283457,-1.6708081285693765,-1.6708081285693765,-1.6708081285693765,-1.6769960048646422,-1.6769960048646422,-1.6769960048646422,-1.6623358378436073,-1.6623358378436073,-1.6623358378436073
2018-09-02,-1.1035394246587338,-1.1035394246587338,-1.1035394246587338,-1.1969872369291095,-1.1969872369291095,-1.1969872369291095,-1.1871732666377874,-1.1871732666377874,-1.1871732666377874,-1.1785590325707342,-1.1785590325707342,-1.1785590325707342
