Date,First Trust RiverFront Dynamic Asia Pacific_Open_average,First Trust RiverFront Dynamic Asia Pacific_Open_max,First Trust RiverFront Dynamic Asia Pacific_Open_min,First Trust RiverFront Dynamic Asia Pacific_High_average,First Trust RiverFront Dynamic Asia Pacific_High_max,First Trust RiverFront Dynamic Asia Pacific_High_min,First Trust RiverFront Dynamic Asia Pacific_Low_average,First Trust RiverFront Dynamic Asia Pacific_Low_max,First Trust RiverFront Dynamic Asia Pacific_Low_min,First Trust RiverFront Dynamic Asia Pacific_Close_average,First Trust RiverFront Dynamic Asia Pacific_Close_max,First Trust RiverFront Dynamic Asia Pacific_Close_min
2018-04-08,-0.5489672234238838,-0.5489672234238838,-0.5489672234238838,-0.6443084366009909,-0.6443084366009909,-0.6443084366009909,-0.401212758055283,-0.401212758055283,-0.401212758055283,-0.5159701389317108,-0.5159701389317108,-0.5159701389317108
2018-04-15,-0.47261018677112576,-0.47261018677112576,-0.47261018677112576,-0.5307147504782288,-0.5307147504782288,-0.5307147504782288,-0.47574459719949325,-0.47574459719949325,-0.47574459719949325,-0.5044742585481062,-0.5044742585481062,-0.5044742585481062
2018-04-22,-0.33811216698886876,-0.33811216698886876,-0.33811216698886876,-0.4786869676494938,-0.4786869676494938,-0.4786869676494938,-0.35549410097094575,-0.35549410097094575,-0.35549410097094575,-0.5360320196583658,-0.5360320196583658,-0.5360320196583658
2018-04-29,-0.2246740626806449,-0.2246740626806449,-0.2246740626806449,-0.3355054278122087,-0.3355054278122087,-0.3355054278122087,-0.011075702695615496,-0.011075702695615496,-0.011075702695615496,-0.18794901886786128,-0.18794901886786128,-0.18794901886786128
2018-05-06,0.5600966552845119,0.5600966552845119,0.5600966552845119,0.7738341657061207,0.7738341657061207,0.7738341657061207,0.759854332682527,0.759854332682527,0.759854332682527,0.8101814833584031,0.8101814833584031,0.8101814833584031
2018-05-13,0.6678903110226995,0.6678903110226995,0.6678903110226995,0.739829449421872,0.739829449421872,0.739829449421872,0.8590691575825817,0.8590691575825817,0.8590691575825817,0.8646792251013252,0.8646792251013252,0.8646792251013252
2018-05-20,0.03815246195980647,0.03815246195980647,0.03815246195980647,-0.031651804065773455,-0.031651804065773455,-0.031651804065773455,0.19149038675302213,0.19149038675302213,0.19149038675302213,0.15944619793488482,0.15944619793488482,0.15944619793488482
2018-05-27,0.09280985454885038,0.09280985454885038,0.09280985454885038,0.11117415288135311,0.11117415288135311,0.11117415288135311,0.0882597896708477,0.0882597896708477,0.0882597896708477,0.1807213541095248,0.1807213541095248,0.1807213541095248
2018-06-03,0.9621613637583254,0.9621613637583254,0.9621613637583254,0.7427200656213755,0.7427200656213755,0.7427200656213755,0.8038618445330918,0.8038618445330918,0.8038618445330918,0.9362307487489682,0.9362307487489682,0.9362307487489682
2018-06-10,-1.674205526430213,-1.674205526430213,-1.674205526430213,-1.6613127602489348,-1.6613127602489348,-1.6613127602489348,-1.2809893617657098,-1.2809893617657098,-1.2809893617657098,-1.2219336150117408,-1.2219336150117408,-1.2219336150117408
