Date,VanEck Vectors ChinaAMC A-Share_Open_average,VanEck Vectors ChinaAMC A-Share_Open_max,VanEck Vectors ChinaAMC A-Share_Open_min,VanEck Vectors ChinaAMC A-Share_High_average,VanEck Vectors ChinaAMC A-Share_High_max,VanEck Vectors ChinaAMC A-Share_High_min,VanEck Vectors ChinaAMC A-Share_Low_average,VanEck Vectors ChinaAMC A-Share_Low_max,VanEck Vectors ChinaAMC A-Share_Low_min,VanEck Vectors ChinaAMC A-Share_Close_average,VanEck Vectors ChinaAMC A-Share_Close_max,VanEck Vectors ChinaAMC A-Share_Close_min
2018-04-08,-0.7709406948403402,-0.7709406948403402,-0.7709406948403402,-0.8524823924061466,-0.8524823924061466,-0.8524823924061466,-0.7070364208014889,-0.7070364208014889,-0.7070364208014889,-0.8750601173765398,-0.8750601173765398,-0.8750601173765398
2018-04-15,-1.3222253766522563,-1.3222253766522563,-1.3222253766522563,-1.386794440527292,-1.386794440527292,-1.386794440527292,-1.2029698426110706,-1.2029698426110706,-1.2029698426110706,-1.3548172259624611,-1.3548172259624611,-1.3548172259624611
2018-04-22,-1.4050083174583912,-1.4050083174583912,-1.4050083174583912,-1.3700978306419764,-1.3700978306419764,-1.3700978306419764,-1.1703093564337756,-1.1703093564337756,-1.1703093564337756,-1.2593089718116373,-1.2593089718116373,-1.2593089718116373
2018-04-29,-1.4287444797736342,-1.4287444797736342,-1.4287444797736342,-1.2887133553406371,-1.2887133553406371,-1.2887133553406371,-1.1445035561021495,-1.1445035561021495,-1.1445035561021495,-1.189718479040881,-1.189718479040881,-1.189718479040881
2018-05-06,-0.45620554611908837,-0.45620554611908837,-0.45620554611908837,-0.5048688667400381,-0.5048688667400381,-0.5048688667400381,-0.3490108683917935,-0.3490108683917935,-0.3490108683917935,-0.426313769856449,-0.426313769856449,-0.426313769856449
2018-05-13,-0.3568764570249322,-0.3568764570249322,-0.3568764570249322,-0.4728152083117953,-0.4728152083117953,-0.4728152083117953,-0.24837208574774977,-0.24837208574774977,-0.24837208574774977,-0.3645937977080658,-0.3645937977080658,-0.3645937977080658
2018-05-20,-0.8747091627876256,-0.8747091627876256,-0.8747091627876256,-0.9720907465308012,-0.9720907465308012,-0.9720907465308012,-0.811691341274605,-0.811691341274605,-0.811691341274605,-0.9072627326060635,-0.9072627326060635,-0.9072627326060635
2018-05-27,-1.019619889218622,-1.019619889218622,-1.019619889218622,-1.0503703141536802,-1.0503703141536802,-1.0503703141536802,-0.9395655134472215,-0.9395655134472215,-0.9395655134472215,-0.9431433987276662,-0.9431433987276662,-0.9431433987276662
2018-06-03,-0.9169458509960109,-0.9169458509960109,-0.9169458509960109,-1.0242894123675477,-1.0242894123675477,-1.0242894123675477,-0.8540390820583105,-0.8540390820583105,-0.8540390820583105,-0.9254058223496594,-0.9254058223496594,-0.9254058223496594
2018-06-10,-1.482708446083793,-1.482708446083793,-1.482708446083793,-1.5355620243518988,-1.5355620243518988,-1.5355620243518988,-1.556025126599492,-1.556025126599492,-1.556025126599492,-1.5204363050740934,-1.5204363050740934,-1.5204363050740934
