Date,KraneShares MSCI One Belt One Road_etf_Open_average,KraneShares MSCI One Belt One Road_etf_Open_max,KraneShares MSCI One Belt One Road_etf_Open_min,KraneShares MSCI One Belt One Road_etf_High_average,KraneShares MSCI One Belt One Road_etf_High_max,KraneShares MSCI One Belt One Road_etf_High_min,KraneShares MSCI One Belt One Road_etf_Low_average,KraneShares MSCI One Belt One Road_etf_Low_max,KraneShares MSCI One Belt One Road_etf_Low_min,KraneShares MSCI One Belt One Road_etf_Close_average,KraneShares MSCI One Belt One Road_etf_Close_max,KraneShares MSCI One Belt One Road_etf_Close_min
2018-04-08,-0.5341312360961318,-0.5341312360961318,-0.5341312360961318,-0.7184376354916907,-0.7184376354916907,-0.7184376354916907,-0.4510763100566943,-0.4510763100566943,-0.4510763100566943,-0.6012235970832368,-0.6012235970832368,-0.6012235970832368
2018-04-15,-0.6291708099741586,-0.6291708099741586,-0.6291708099741586,-0.7824113634552365,-0.7824113634552365,-0.7824113634552365,-0.46586656489865763,-0.46586656489865763,-0.46586656489865763,-0.6423779823010786,-0.6423779823010786,-0.6423779823010786
2018-04-22,-0.8658699167939101,-0.8658699167939101,-0.8658699167939101,-0.9633794220315935,-0.9633794220315935,-0.9633794220315935,-0.6106573922110167,-0.6106573922110167,-0.6106573922110167,-0.7507983166008017,-0.7507983166008017,-0.7507983166008017
2018-04-29,-1.605219516016286,-1.605219516016286,-1.605219516016286,-1.1960574209459343,-1.1960574209459343,-1.1960574209459343,-1.1066853106266472,-1.1066853106266472,-1.1066853106266472,-0.9677193414870132,-0.9677193414870132,-0.9677193414870132
2018-05-06,-0.513145079256072,-0.513145079256072,-0.513145079256072,-0.7962847454668055,-0.7962847454668055,-0.7962847454668055,-0.46827532677557837,-0.46827532677557837,-0.46827532677557837,-0.6986604162705001,-0.6986604162705001,-0.6986604162705001
2018-05-13,-1.0904995136125446,-1.0904995136125446,-1.0904995136125446,-1.3094292187745582,-1.3094292187745582,-1.3094292187745582,-0.877730586593204,-0.877730586593204,-0.877730586593204,-1.006614723386889,-1.006614723386889,-1.006614723386889
2018-05-20,-1.335109494716348,-1.335109494716348,-1.335109494716348,-1.3729980089220504,-1.3729980089220504,-1.3729980089220504,-1.0290749656964067,-1.0290749656964067,-1.0290749656964067,-1.13654929020535,-1.13654929020535,-1.13654929020535
2018-05-27,-1.5374390873255555,-1.5374390873255555,-1.5374390873255555,-1.6900507743012219,-1.6900507743012219,-1.6900507743012219,-1.38063061766357,-1.38063061766357,-1.38063061766357,-1.3782652153568744,-1.3782652153568744,-1.3782652153568744
2018-06-03,-1.2791074924039854,-1.2791074924039854,-1.2791074924039854,-1.2707740598771788,-1.2707740598771788,-1.2707740598771788,-1.1482077714346524,-1.1482077714346524,-1.1482077714346524,-0.9795455334773123,-0.9795455334773123,-0.9795455334773123
2018-06-10,-2.350340150385534,-2.350340150385534,-2.350340150385534,-2.4292166394876435,-2.4292166394876435,-2.4292166394876435,-2.465168954671263,-2.465168954671263,-2.465168954671263,-2.398464913039017,-2.398464913039017,-2.398464913039017
2018-06-17,-2.5938471144505266,-2.5938471144505266,-2.5938471144505266,-2.5831309761333108,-2.5831309761333108,-2.5831309761333108,-2.5868708867309254,-2.5868708867309254,-2.5868708867309254,-2.5891602755954537,-2.5891602755954537,-2.5891602755954537
2018-06-24,-2.5238220099550803,-2.5238220099550803,-2.5238220099550803,-2.377468710986575,-2.377468710986575,-2.377468710986575,-2.509714433620959,-2.509714433620959,-2.509714433620959,-2.3807026528521336,-2.3807026528521336,-2.3807026528521336
2018-07-01,-1.9473783371755606,-1.9473783371755606,-1.9473783371755606,-1.9613414034807863,-1.9613414034807863,-1.9613414034807863,-1.9396233322955525,-1.9396233322955525,-1.9396233322955525,-2.0006964494373407,-2.0006964494373407,-2.0006964494373407
