Date,iShares Emerg Markets Infrastructure_Open_average,iShares Emerg Markets Infrastructure_Open_max,iShares Emerg Markets Infrastructure_Open_min,iShares Emerg Markets Infrastructure_High_average,iShares Emerg Markets Infrastructure_High_max,iShares Emerg Markets Infrastructure_High_min,iShares Emerg Markets Infrastructure_Low_average,iShares Emerg Markets Infrastructure_Low_max,iShares Emerg Markets Infrastructure_Low_min,iShares Emerg Markets Infrastructure_Close_average,iShares Emerg Markets Infrastructure_Close_max,iShares Emerg Markets Infrastructure_Close_min
2018-04-08,-0.8595300796108661,-0.8595300796108661,-0.8595300796108661,-1.0120221993922838,-1.0120221993922838,-1.0120221993922838,-0.7466048139987931,-0.7466048139987931,-0.7466048139987931,-0.9402207310210494,-0.9402207310210494,-0.9402207310210494
2018-04-15,-0.932672232161527,-0.932672232161527,-0.932672232161527,-1.0628666129168776,-1.0628666129168776,-1.0628666129168776,-0.9063511717168121,-0.9063511717168121,-0.9063511717168121,-1.1482502428730736,-1.1482502428730736,-1.1482502428730736
2018-04-22,-0.7614922154776805,-0.7614922154776805,-0.7614922154776805,-0.6880583737514362,-0.6880583737514362,-0.6880583737514362,-0.9922137388025974,-0.9922137388025974,-0.9922137388025974,-1.2451660418957113,-1.2451660418957113,-1.2451660418957113
2018-04-29,-2.060044945586264,-2.060044945586264,-2.060044945586264,-2.0179945601385083,-2.0179945601385083,-2.0179945601385083,-1.7895713841040812,-1.7895713841040812,-1.7895713841040812,-1.8868099170119292,-1.8868099170119292,-1.8868099170119292
2018-05-06,-1.3475197802007763,-1.3475197802007763,-1.3475197802007763,-1.3526141563951921,-1.3526141563951921,-1.3526141563951921,-0.9932376084734592,-0.9932376084734592,-0.9932376084734592,-1.1138624268024295,-1.1138624268024295,-1.1138624268024295
2018-05-13,-1.297183153245073,-1.297183153245073,-1.297183153245073,-1.172132934907121,-1.172132934907121,-1.172132934907121,-1.122352344102203,-1.122352344102203,-1.122352344102203,-1.201026090085835,-1.201026090085835,-1.201026090085835
2018-05-20,-1.9706725827360914,-1.9706725827360914,-1.9706725827360914,-1.7872548257697383,-1.7872548257697383,-1.7872548257697383,-1.8799517473753757,-1.8799517473753757,-1.8799517473753757,-1.5384347178324007,-1.5384347178324007,-1.5384347178324007
2018-05-27,-1.5756805695747464,-1.5756805695747464,-1.5756805695747464,-1.5237468600882156,-1.5237468600882156,-1.5237468600882156,-1.5529568993177716,-1.5529568993177716,-1.5529568993177716,-1.416035008537945,-1.416035008537945,-1.416035008537945
2018-06-03,-1.766826174954595,-1.766826174954595,-1.766826174954595,-1.7552835015998027,-1.7552835015998027,-1.7552835015998027,-1.7422157042453954,-1.7422157042453954,-1.7422157042453954,-1.7052910092627627,-1.7052910092627627,-1.7052910092627627
2018-06-10,-2.1630085999695563,-2.1630085999695563,-2.1630085999695563,-2.2197479110572633,-2.2197479110572633,-2.2197479110572633,-2.355181712468153,-2.355181712468153,-2.355181712468153,-2.278064517205013,-2.278064517205013,-2.278064517205013
