Date,VictoryShares EM High Div Volatility WtdEtf_Open_average,VictoryShares EM High Div Volatility WtdEtf_Open_max,VictoryShares EM High Div Volatility WtdEtf_Open_min,VictoryShares EM High Div Volatility WtdEtf_High_average,VictoryShares EM High Div Volatility WtdEtf_High_max,VictoryShares EM High Div Volatility WtdEtf_High_min,VictoryShares EM High Div Volatility WtdEtf_Low_average,VictoryShares EM High Div Volatility WtdEtf_Low_max,VictoryShares EM High Div Volatility WtdEtf_Low_min,VictoryShares EM High Div Volatility WtdEtf_Close_average,VictoryShares EM High Div Volatility WtdEtf_Close_max,VictoryShares EM High Div Volatility WtdEtf_Close_min
2018-05-27,-1.4875841436290773,-1.4875841436290773,-1.4875841436290773,-1.5072707209015386,-1.5072707209015386,-1.5072707209015386,-1.540769274689786,-1.540769274689786,-1.540769274689786,-1.606090869247671,-1.606090869247671,-1.606090869247671
2018-06-03,-1.2720003142875598,-1.2720003142875598,-1.2720003142875598,-1.290442269585163,-1.290442269585163,-1.290442269585163,-1.1630982039448066,-1.1630982039448066,-1.1630982039448066,-1.2251900981976684,-1.2251900981976684,-1.2251900981976684
2018-06-10,-1.6757182981238319,-1.6757182981238319,-1.6757182981238319,-1.6706059616670939,-1.6706059616670939,-1.6706059616670939,-1.7533983330546599,-1.7533983330546599,-1.7533983330546599,-1.7031803873117406,-1.7031803873117406,-1.7031803873117406
2018-06-17,-1.9759508603975156,-1.9759508603975156,-1.9759508603975156,-1.8792930716348182,-1.8792930716348182,-1.8792930716348182,-1.8841558712827413,-1.8841558712827413,-1.8841558712827413,-1.9143594258499028,-1.9143594258499028,-1.9143594258499028
2018-06-24,-1.8941275655427483,-1.8941275655427483,-1.8941275655427483,-1.8874755381845396,-1.8874755381845396,-1.8874755381845396,-1.8631689780541074,-1.8631689780541074,-1.8631689780541074,-1.8340006088224337,-1.8340006088224337,-1.8340006088224337
2018-07-01,-1.6238908629794668,-1.6238908629794668,-1.6238908629794668,-1.4437216302238638,-1.4437216302238638,-1.4437216302238638,-1.5483674686516882,-1.5483674686516882,-1.5483674686516882,-1.4415910802885523,-1.4415910802885523,-1.4415910802885523
2018-07-08,-1.212273619343892,-1.212273619343892,-1.212273619343892,-1.2486458125941724,-1.2486458125941724,-1.2486458125941724,-1.24362824546435,-1.24362824546435,-1.24362824546435,-1.278458561528134,-1.278458561528134,-1.278458561528134
2018-07-15,-1.241042702562481,-1.241042702562481,-1.241042702562481,-1.1677424096204136,-1.1677424096204136,-1.1677424096204136,-1.1569421029342928,-1.1569421029342928,-1.1569421029342928,-1.0844601026779324,-1.0844601026779324,-1.0844601026779324
2018-07-22,-0.683944301397676,-0.683944301397676,-0.683944301397676,-0.6073243905592336,-0.6073243905592336,-0.6073243905592336,-0.760450850120531,-0.760450850120531,-0.760450850120531,-0.7829061528239862,-0.7829061528239862,-0.7829061528239862
2018-07-29,-0.4942520758804343,-0.4942520758804343,-0.4942520758804343,-0.4354508384921433,-0.4354508384921433,-0.4354508384921433,-0.5133164275580304,-0.5133164275580304,-0.5133164275580304,-0.566821977849727,-0.566821977849727,-0.566821977849727
2018-08-05,-1.1494818064979637,-1.1494818064979637,-1.1494818064979637,-1.2152722443347552,-1.2152722443347552,-1.2152722443347552,-1.1916709180229141,-1.1916709180229141,-1.1916709180229141,-1.2546625370985645,-1.2546625370985645,-1.2546625370985645
2018-08-12,-1.849920006728476,-1.849920006728476,-1.849920006728476,-1.577531069073407,-1.577531069073407,-1.577531069073407,-1.7496432259076407,-1.7496432259076407,-1.7496432259076407,-1.5587378461196248,-1.5587378461196248,-1.5587378461196248
2018-08-19,-0.7910755139263252,-0.7910755139263252,-0.7910755139263252,-0.9203162520814085,-0.9203162520814085,-0.9203162520814085,-0.9637721711987779,-0.9637721711987779,-0.9637721711987779,-0.8665195337442089,-0.8665195337442089,-0.8665195337442089
2018-08-26,-1.041614980524145,-1.041614980524145,-1.041614980524145,-1.0091754362099237,-1.0091754362099237,-1.0091754362099237,-1.042189323074067,-1.042189323074067,-1.042189323074067,-1.0957624974705238,-1.0957624974705238,-1.0957624974705238
2018-09-02,-1.5306133672888163,-1.5306133672888163,-1.5306133672888163,-1.7391486064614374,-1.7391486064614374,-1.7391486064614374,-1.69200565510662,-1.69200565510662,-1.69200565510662,-1.8378496531560038,-1.8378496531560038,-1.8378496531560038
2018-09-09,-1.000878296014272,-1.000878296014272,-1.000878296014272,-1.1725312457880435,-1.1725312457880435,-1.1725312457880435,-1.1562695796100608,-1.1562695796100608,-1.1562695796100608,-1.129415929000802,-1.129415929000802,-1.129415929000802
2018-09-16,-0.5427564746608886,-0.5427564746608886,-0.5427564746608886,-0.6087666032247462,-0.6087666032247462,-0.6087666032247462,-0.4680250838172684,-0.4680250838172684,-0.4680250838172684,-0.590397423349293,-0.590397423349293,-0.590397423349293
2018-09-23,-1.1007274147696104,-1.1007274147696104,-1.1007274147696104,-1.288436721150302,-1.288436721150302,-1.288436721150302,-1.272544028185499,-1.272544028185499,-1.272544028185499,-1.4079963721231035,-1.4079963721231035,-1.4079963721231035
2018-09-30,-2.189095212346813,-2.189095212346813,-2.189095212346813,-1.9314607288488226,-1.9314607288488226,-1.9314607288488226,-2.22614825007808,-2.22614825007808,-2.22614825007808,-1.7415769570282613,-1.7415769570282613,-1.7415769570282613
2018-10-07,-2.1447449258083586,-2.1447449258083586,-2.1447449258083586,-2.389272438624516,-2.389272438624516,-2.389272438624516,-2.0519947152804003,-2.0519947152804003,-2.0519947152804003,-2.323575254323957,-2.323575254323957,-2.323575254323957
