Date,PowerShares International Corporate Bond_Open_average,PowerShares International Corporate Bond_Open_max,PowerShares International Corporate Bond_Open_min,PowerShares International Corporate Bond_High_average,PowerShares International Corporate Bond_High_max,PowerShares International Corporate Bond_High_min,PowerShares International Corporate Bond_Low_average,PowerShares International Corporate Bond_Low_max,PowerShares International Corporate Bond_Low_min,PowerShares International Corporate Bond_Close_average,PowerShares International Corporate Bond_Close_max,PowerShares International Corporate Bond_Close_min
2018-04-08,0.6862250960008998,0.6862250960008998,0.6862250960008998,0.9417771054929016,0.9417771054929016,0.9417771054929016,0.9641208761639584,0.9641208761639584,0.9641208761639584,0.9010033420014533,0.9010033420014533,0.9010033420014533
2018-04-15,-1.398796643635394,-1.398796643635394,-1.398796643635394,-1.5826465697645666,-1.5826465697645666,-1.5826465697645666,-1.904443672502512,-1.904443672502512,-1.904443672502512,-1.9411597619690302,-1.9411597619690302,-1.9411597619690302
2018-04-22,-2.050592859459978,-2.050592859459978,-2.050592859459978,-1.794782724785033,-1.794782724785033,-1.794782724785033,-2.0364546411617566,-2.0364546411617566,-2.0364546411617566,-1.9859210173256359,-1.9859210173256359,-1.9859210173256359
2018-04-29,-2.3051991900138247,-2.3051991900138247,-2.3051991900138247,-2.409019370088321,-2.409019370088321,-2.409019370088321,-2.2195285573461163,-2.2195285573461163,-2.2195285573461163,-2.2190948283542014,-2.2190948283542014,-2.2190948283542014
2018-05-06,-1.5823966477327787,-1.5823966477327787,-1.5823966477327787,-1.8652065724875326,-1.8652065724875326,-1.8652065724875326,-1.7562306858089,-1.7562306858089,-1.7562306858089,-1.8795427459404648,-1.8795427459404648,-1.8795427459404648
2018-05-13,-2.2307662548916016,-2.2307662548916016,-2.2307662548916016,-2.2664893635989283,-2.2664893635989283,-2.2664893635989283,-2.0602086971110287,-2.0602086971110287,-2.0602086971110287,-2.0078192430766273,-2.0078192430766273,-2.0078192430766273
2018-05-20,-1.895003170506271,-1.895003170506271,-1.895003170506271,-1.8332804575448851,-1.8332804575448851,-1.8332804575448851,-1.9433939430044063,-1.9433939430044063,-1.9433939430044063,-1.85163715260383,-1.85163715260383,-1.85163715260383
2018-05-27,-1.4735516804050341,-1.4735516804050341,-1.4735516804050341,-1.4829625287216717,-1.4829625287216717,-1.4829625287216717,-1.413271859435463,-1.413271859435463,-1.413271859435463,-1.4245208055768082,-1.4245208055768082,-1.4245208055768082
2018-06-03,-1.2015092487725696,-1.2015092487725696,-1.2015092487725696,-1.270581937421043,-1.270581937421043,-1.270581937421043,-1.181832594563805,-1.181832594563805,-1.181832594563805,-1.165946264955645,-1.165946264955645,-1.165946264955645
2018-06-10,-1.218633830016111,-1.218633830016111,-1.218633830016111,-1.2572715809700836,-1.2572715809700836,-1.2572715809700836,-1.1819785954236692,-1.1819785954236692,-1.1819785954236692,-1.1679972309547262,-1.1679972309547262,-1.1679972309547262
2018-06-17,-1.0461644034026636,-1.0461644034026636,-1.0461644034026636,-0.9987229072458915,-0.9987229072458915,-0.9987229072458915,-0.9168403627428967,-0.9168403627428967,-0.9168403627428967,-0.8975958973343794,-0.8975958973343794,-0.8975958973343794
