Date,PowerShares DB Gold_etf_Open_average,PowerShares DB Gold_etf_Open_max,PowerShares DB Gold_etf_Open_min,PowerShares DB Gold_etf_High_average,PowerShares DB Gold_etf_High_max,PowerShares DB Gold_etf_High_min,PowerShares DB Gold_etf_Low_average,PowerShares DB Gold_etf_Low_max,PowerShares DB Gold_etf_Low_min,PowerShares DB Gold_etf_Close_average,PowerShares DB Gold_etf_Close_max,PowerShares DB Gold_etf_Close_min
2018-04-08,0.7299920870849701,0.7299920870849701,0.7299920870849701,0.7943263288637499,0.7943263288637499,0.7943263288637499,0.8773283373230263,0.8773283373230263,0.8773283373230263,0.8210849483063368,0.8210849483063368,0.8210849483063368
2018-04-15,0.17793359892492014,0.17793359892492014,0.17793359892492014,0.12143883468812508,0.12143883468812508,0.12143883468812508,0.2823594547338414,0.2823594547338414,0.2823594547338414,0.11545336112766151,0.11545336112766151,0.11545336112766151
2018-04-22,-0.7986651397411436,-0.7986651397411436,-0.7986651397411436,-0.7503206945740011,-0.7503206945740011,-0.7503206945740011,-0.7786757144539143,-0.7786757144539143,-0.7786757144539143,-0.7095280973152274,-0.7095280973152274,-0.7095280973152274
2018-04-29,-1.470944680479234,-1.470944680479234,-1.470944680479234,-1.3402426260594245,-1.3402426260594245,-1.3402426260594245,-1.3353061686908716,-1.3353061686908716,-1.3353061686908716,-1.3847668073100183,-1.3847668073100183,-1.3847668073100183
2018-05-06,-0.6544001179917607,-0.6544001179917607,-0.6544001179917607,-0.8129643323901823,-0.8129643323901823,-0.8129643323901823,-0.8362408736792822,-0.8362408736792822,-0.8362408736792822,-1.099373565129688,-1.099373565129688,-1.099373565129688
2018-05-13,-2.416256108154347,-2.416256108154347,-2.416256108154347,-2.3256437062582425,-2.3256437062582425,-2.3256437062582425,-2.2871791162691997,-2.2871791162691997,-2.2871791162691997,-2.33918567853452,-2.33918567853452,-2.33918567853452
2018-05-20,-1.2943788474468527,-1.2943788474468527,-1.2943788474468527,-1.340229474421861,-1.340229474421861,-1.340229474421861,-1.302671699661736,-1.302671699661736,-1.302671699661736,-1.478685048669774,-1.478685048669774,-1.478685048669774
2018-05-27,-1.57863964239398,-1.57863964239398,-1.57863964239398,-1.3908750493080668,-1.3908750493080668,-1.3908750493080668,-1.5147141621067433,-1.5147141621067433,-1.5147141621067433,-1.5595635610391754,-1.5595635610391754,-1.5595635610391754
2018-06-03,-1.0619249023555701,-1.0619249023555701,-1.0619249023555701,-1.1738735394939805,-1.1738735394939805,-1.1738735394939805,-1.0985493728818094,-1.0985493728818094,-1.0985493728818094,-1.1171311248276037,-1.1171311248276037,-1.1171311248276037
2018-06-10,-1.4416214851134164,-1.4416214851134164,-1.4416214851134164,-1.5540507775279016,-1.5540507775279016,-1.5540507775279016,-1.7435822093089917,-1.7435822093089917,-1.7435822093089917,-1.6630489744704258,-1.6630489744704258,-1.6630489744704258
