Date,KraneShares E China Commercial Paper_Open_average,KraneShares E China Commercial Paper_Open_max,KraneShares E China Commercial Paper_Open_min,KraneShares E China Commercial Paper_High_average,KraneShares E China Commercial Paper_High_max,KraneShares E China Commercial Paper_High_min,KraneShares E China Commercial Paper_Low_average,KraneShares E China Commercial Paper_Low_max,KraneShares E China Commercial Paper_Low_min,KraneShares E China Commercial Paper_Close_average,KraneShares E China Commercial Paper_Close_max,KraneShares E China Commercial Paper_Close_min
2018-04-08,2.062261620924605,2.062261620924605,2.062261620924605,1.8224592478307748,1.8224592478307748,1.8224592478307748,2.10851796914638,2.10851796914638,2.10851796914638,1.6897355569634367,1.6897355569634367,1.6897355569634367
2018-04-15,1.4535313596766877,1.4535313596766877,1.4535313596766877,1.2745642325334958,1.2745642325334958,1.2745642325334958,1.2819059623712301,1.2819059623712301,1.2819059623712301,1.4635932389995006,1.4635932389995006,1.4635932389995006
2018-04-22,0.35291153209736315,0.35291153209736315,0.35291153209736315,0.2774639654222772,0.2774639654222772,0.2774639654222772,0.4327253262782073,0.4327253262782073,0.4327253262782073,-0.10824760103692667,-0.10824760103692667,-0.10824760103692667
2018-04-29,-1.4971189059793577,-1.4971189059793577,-1.4971189059793577,-0.10606002509342548,-0.10606002509342548,-0.10606002509342548,-1.3869583251794542,-1.3869583251794542,-1.3869583251794542,0.024010343335750917,0.024010343335750917,0.024010343335750917
2018-05-06,0.19080497816682865,0.19080497816682865,0.19080497816682865,0.8119265025183078,0.8119265025183078,0.8119265025183078,0.6043187504640843,0.6043187504640843,0.6043187504640843,0.6711954859054715,0.6711954859054715,0.6711954859054715
2018-05-13,1.0605211621614499,1.0605211621614499,1.0605211621614499,0.8405471872139626,0.8405471872139626,0.8405471872139626,-0.2236940855006774,-0.2236940855006774,-0.2236940855006774,-0.9318300900375887,-0.9318300900375887,-0.9318300900375887
2018-05-20,-0.7084450110032119,-0.7084450110032119,-0.7084450110032119,-0.7502493299274486,-0.7502493299274486,-0.7502493299274486,-0.47749164005353845,-0.47749164005353845,-0.47749164005353845,-1.0496729985665556,-1.0496729985665556,-1.0496729985665556
2018-05-27,-0.6475040464364388,-0.6475040464364388,-0.6475040464364388,-1.7567087106824075,-1.7567087106824075,-1.7567087106824075,-0.7222161450900747,-0.7222161450900747,-0.7222161450900747,-1.5290248199751286,-1.5290248199751286,-1.5290248199751286
2018-06-03,-1.1716352540170283,-1.1716352540170283,-1.1716352540170283,-1.860262631486632,-1.860262631486632,-1.860262631486632,-1.1110726724104818,-1.1110726724104818,-1.1110726724104818,-1.5797960367803043,-1.5797960367803043,-1.5797960367803043
2018-06-10,-1.0265867884917579,-1.0265867884917579,-1.0265867884917579,-1.8197936130464458,-1.8197936130464458,-1.8197936130464458,-1.1855246770295107,-1.1855246770295107,-1.1855246770295107,-1.4837271169983948,-1.4837271169983948,-1.4837271169983948
2018-06-17,-2.1721036653335513,-2.1721036653335513,-2.1721036653335513,-2.3088470460097144,-2.3088470460097144,-2.3088470460097144,-2.8021080631165263,-2.8021080631165263,-2.8021080631165263,-2.357661975459844,-2.357661975459844,-2.357661975459844
2018-06-24,-2.327182935498216,-2.327182935498216,-2.327182935498216,-2.572331552515949,-2.572331552515949,-2.572331552515949,-2.3677784245967866,-2.3677784245967866,-2.3677784245967866,-2.652907881848851,-2.652907881848851,-2.652907881848851
