Date,ProShares Short Term USD EM BondEtf_Open_average,ProShares Short Term USD EM BondEtf_Open_max,ProShares Short Term USD EM BondEtf_Open_min,ProShares Short Term USD EM BondEtf_High_average,ProShares Short Term USD EM BondEtf_High_max,ProShares Short Term USD EM BondEtf_High_min,ProShares Short Term USD EM BondEtf_Low_average,ProShares Short Term USD EM BondEtf_Low_max,ProShares Short Term USD EM BondEtf_Low_min,ProShares Short Term USD EM BondEtf_Close_average,ProShares Short Term USD EM BondEtf_Close_max,ProShares Short Term USD EM BondEtf_Close_min
2018-05-27,-1.1988601022714604,-1.1988601022714604,-1.1988601022714604,-1.277732713913992,-1.277732713913992,-1.277732713913992,-1.129267975858265,-1.129267975858265,-1.129267975858265,-1.178728049553266,-1.178728049553266,-1.178728049553266
2018-06-03,-1.4088538850643832,-1.4088538850643832,-1.4088538850643832,-1.481290911640894,-1.481290911640894,-1.481290911640894,-1.3406737197963268,-1.3406737197963268,-1.3406737197963268,-1.3844456853995581,-1.3844456853995581,-1.3844456853995581
2018-06-10,-1.7005628740183807,-1.7005628740183807,-1.7005628740183807,-1.792817032868299,-1.792817032868299,-1.792817032868299,-1.64229678887185,-1.64229678887185,-1.64229678887185,-1.7075702634143386,-1.7075702634143386,-1.7075702634143386
2018-06-17,-1.0897664637365718,-1.0897664637365718,-1.0897664637365718,-1.1604529402976322,-1.1604529402976322,-1.1604529402976322,-1.0408495614159852,-1.0408495614159852,-1.0408495614159852,-1.0911456782326723,-1.0911456782326723,-1.0911456782326723
2018-06-24,-0.6600150696206029,-0.6600150696206029,-0.6600150696206029,-0.7162614715590222,-0.7162614715590222,-0.7162614715590222,-0.6130448532064031,-0.6130448532064031,-0.6130448532064031,-0.6516454096867795,-0.6516454096867795,-0.6516454096867795
2018-07-01,-0.7535394264262841,-0.7535394264262841,-0.7535394264262841,-0.8116998974173708,-0.8116998974173708,-0.8116998974173708,-0.709557954685505,-0.709557954685505,-0.709557954685505,-0.7512246390255403,-0.7512246390255403,-0.7512246390255403
2018-07-08,-1.230567709483175,-1.230567709483175,-1.230567709483175,-1.290987965417019,-1.290987965417019,-1.290987965417019,-1.2010595725538025,-1.2010595725538025,-1.2010595725538025,-1.2489920504554985,-1.2489920504554985,-1.2489920504554985
2018-07-15,-1.129342112230536,-1.129342112230536,-1.129342112230536,-1.1820966931879187,-1.1820966931879187,-1.1820966931879187,-1.3357744461308667,-1.3357744461308667,-1.3357744461308667,-1.3135110490310746,-1.3135110490310746,-1.3135110490310746
2018-07-22,-0.1366309133239667,-0.1366309133239667,-0.1366309133239667,-0.18062786516428914,-0.18062786516428914,-0.18062786516428914,-0.07082259168610398,-0.07082259168610398,-0.07082259168610398,-0.10336991876263356,-0.10336991876263356,-0.10336991876263356
2018-07-29,-1.2315400682453386,-1.2315400682453386,-1.2315400682453386,-1.2759228338939739,-1.2759228338939739,-1.2759228338939739,-1.1917412185529062,-1.1917412185529062,-1.1917412185529062,-1.2398229827608125,-1.2398229827608125,-1.2398229827608125
