Date,First Trust Institutional Preferred Securities and_Open_average,First Trust Institutional Preferred Securities and_Open_max,First Trust Institutional Preferred Securities and_Open_min,First Trust Institutional Preferred Securities and_High_average,First Trust Institutional Preferred Securities and_High_max,First Trust Institutional Preferred Securities and_High_min,First Trust Institutional Preferred Securities and_Low_average,First Trust Institutional Preferred Securities and_Low_max,First Trust Institutional Preferred Securities and_Low_min,First Trust Institutional Preferred Securities and_Close_average,First Trust Institutional Preferred Securities and_Close_max,First Trust Institutional Preferred Securities and_Close_min
2018-04-08,-0.8742156388343382,-0.8742156388343382,-0.8742156388343382,-0.7712551247314071,-0.7712551247314071,-0.7712551247314071,-0.8253027555474005,-0.8253027555474005,-0.8253027555474005,-0.6976085891578591,-0.6976085891578591,-0.6976085891578591
2018-04-15,-1.4363114067902227,-1.4363114067902227,-1.4363114067902227,-1.400771494913711,-1.400771494913711,-1.400771494913711,-1.1859552252805796,-1.1859552252805796,-1.1859552252805796,-1.271799821831432,-1.271799821831432,-1.271799821831432
2018-04-22,-1.4443945883450775,-1.4443945883450775,-1.4443945883450775,-1.4172739477058025,-1.4172739477058025,-1.4172739477058025,-1.504786869171201,-1.504786869171201,-1.504786869171201,-1.3977583128298128,-1.3977583128298128,-1.3977583128298128
2018-04-29,-1.588389901531846,-1.588389901531846,-1.588389901531846,-1.5971775539458983,-1.5971775539458983,-1.5971775539458983,-1.5272877018512259,-1.5272877018512259,-1.5272877018512259,-1.5372205442358413,-1.5372205442358413,-1.5372205442358413
2018-05-06,-1.1023071131313305,-1.1023071131313305,-1.1023071131313305,-1.128259679420074,-1.128259679420074,-1.128259679420074,-1.1567998067482168,-1.1567998067482168,-1.1567998067482168,-1.2119595761946405,-1.2119595761946405,-1.2119595761946405
2018-05-13,-1.36758955134089,-1.36758955134089,-1.36758955134089,-1.2729869984732822,-1.2729869984732822,-1.2729869984732822,-1.2365526800825566,-1.2365526800825566,-1.2365526800825566,-1.1951027056898575,-1.1951027056898575,-1.1951027056898575
2018-05-20,-1.8849450773258782,-1.8849450773258782,-1.8849450773258782,-1.8428412173804747,-1.8428412173804747,-1.8428412173804747,-1.7304681272412232,-1.7304681272412232,-1.7304681272412232,-1.8057503168409823,-1.8057503168409823,-1.8057503168409823
2018-05-27,-1.4567105219817111,-1.4567105219817111,-1.4567105219817111,-1.512736003121008,-1.512736003121008,-1.512736003121008,-1.7117981234354225,-1.7117981234354225,-1.7117981234354225,-1.7866539043567133,-1.7866539043567133,-1.7866539043567133
2018-06-03,-1.7876084883003056,-1.7876084883003056,-1.7876084883003056,-1.710196393153216,-1.710196393153216,-1.710196393153216,-1.671983797894484,-1.671983797894484,-1.671983797894484,-1.5352015982757357,-1.5352015982757357,-1.5352015982757357
2018-06-10,-1.5552228467871436,-1.5552228467871436,-1.5552228467871436,-1.3108250198530333,-1.3108250198530333,-1.3108250198530333,-1.4699214944301386,-1.4699214944301386,-1.4699214944301386,-1.3087372319371515,-1.3087372319371515,-1.3087372319371515
2018-06-17,-1.9457252847263353,-1.9457252847263353,-1.9457252847263353,-1.710334332452614,-1.710334332452614,-1.710334332452614,-2.0109583145129823,-2.0109583145129823,-2.0109583145129823,-1.9263975849489912,-1.9263975849489912,-1.9263975849489912
2018-06-24,-1.9331389919703996,-1.9331389919703996,-1.9331389919703996,-1.9023321474438264,-1.9023321474438264,-1.9023321474438264,-1.8249743483020153,-1.8249743483020153,-1.8249743483020153,-1.6900756072755048,-1.6900756072755048,-1.6900756072755048
2018-07-01,-1.0249816415053536,-1.0249816415053536,-1.0249816415053536,-1.229863127458954,-1.229863127458954,-1.229863127458954,-1.060171417555206,-1.060171417555206,-1.060171417555206,-1.1498797933578484,-1.1498797933578484,-1.1498797933578484
2018-07-08,-0.44479082165203454,-0.44479082165203454,-0.44479082165203454,-0.5599217070733421,-0.5599217070733421,-0.5599217070733421,-0.38355035854752295,-0.38355035854752295,-0.38355035854752295,-0.5945707840716269,-0.5945707840716269,-0.5945707840716269
2018-07-15,-0.9237284998997243,-0.9237284998997243,-0.9237284998997243,-1.1943362981401953,-1.1943362981401953,-1.1943362981401953,-1.1958207774506486,-1.1958207774506486,-1.1958207774506486,-1.021899195566057,-1.021899195566057,-1.021899195566057
2018-07-22,-0.6558540176983433,-0.6558540176983433,-0.6558540176983433,-0.18219116827681237,-0.18219116827681237,-0.18219116827681237,-0.46731216926370445,-0.46731216926370445,-0.46731216926370445,-0.35505436666794477,-0.35505436666794477,-0.35505436666794477
2018-07-29,0.05486377169695463,0.05486377169695463,0.05486377169695463,-0.010436361005694068,-0.010436361005694068,-0.010436361005694068,0.03764285625710583,0.03764285625710583,0.03764285625710583,0.010484720805995882,0.010484720805995882,0.010484720805995882
