Date,IVACStock_Open_average,IVACStock_Open_max,IVACStock_Open_min,IVACStock_Open_volatility,IVACStock_Open_change,IVACStock_High_average,IVACStock_High_max,IVACStock_High_min,IVACStock_High_volatility,IVACStock_High_change,IVACStock_Low_average,IVACStock_Low_max,IVACStock_Low_min,IVACStock_Low_volatility,IVACStock_Low_change,IVACStock_Close_average,IVACStock_Close_max,IVACStock_Close_min,IVACStock_Close_volatility,IVACStock_Close_change,IVACStock_Volume_average,IVACStock_Volume_max,IVACStock_Volume_min,IVACStock_Volume_volatility,IVACStock_Volume_change
2018-05-27,-1.548972575902785,-1.5341227417661722,-1.5893126904201789,-0.0714243094534845,0.018398367072137316,-1.5594249817209076,-1.6194017395578086,-1.6389287056237865,-0.23649866530251046,-0.4112648771612322,-1.6392513390391459,-1.7669650743258098,-1.562429154307412,-0.5644689501052376,-0.048736314872432,-1.6094263833743552,-1.5856523767633677,-1.5946767849491872,-0.22139748845947244,-0.5010032344722182,1.2864038562691293,0.9601600093007083,1.5443252238669976,0.7684297321889374,-1.4580476584005773
2018-06-03,-1.5024041667588368,-1.6093878086859346,-1.4734643746172118,-0.5642661588134614,0.649593025497673,-1.5262175998093872,-1.621409094250991,-1.455687419434431,-0.6989809078944595,0.3069330082119571,-1.4827472947843903,-1.5522974260644256,-1.3981508254061694,-0.5644689501052376,0.2426002437763114,-1.4816111434341908,-1.6061303168229826,-1.4257280504865826,-0.6439943564435816,0.13684188358884058,-0.32605704773256494,-0.4477408225682948,-0.44360004258966657,-0.424004599576748,-0.14511848977337363
2018-06-10,-1.4168212209100544,-1.436593851218275,-1.333134434177478,-0.5424136552435497,0.2604797200416731,-1.4404919662552906,-1.4917422433121685,-1.3761693723493649,-0.6322114168358319,0.022602803526784405,-1.407804019432673,-1.5402540794650166,-1.3261272951992433,-0.7598446622826873,0.045154685808593116,-1.4125918583660844,-1.4820952281795008,-1.3136216433606869,-0.6713650766957343,-0.05637269091215931,-0.10920717520849021,-0.22934847585473248,-0.41232884943718345,-0.17356151495867553,0.6546805860009668
2018-06-17,-1.1466610448869177,-1.1906787559704297,-1.1439624501410057,-0.3920450251415338,0.6642138763225195,-1.159728184063712,-1.1952337314557706,-1.2288521290371834,-0.2924236646597793,0.6941548927439629,-1.149529497034775,-1.1265592077386188,-1.1925651661755956,-0.13727505965144354,0.6436282397928458,-1.1233011100342984,-1.161184787836747,-1.1622984199767683,-0.3305063757807491,0.43147848010049666,2.8567431080962913,3.4985331130120776,0.4720169524316471,3.658310049318862,4.000285953090926
2018-06-24,-0.984627024733335,-1.0791306240759018,-0.8655760635919167,-0.7308907492248851,0.11743836880021138,-1.0274187230239082,-1.0354394817512282,-1.0009128438259403,-0.41708771705310455,-0.284413720950694,-0.9756689808034135,-1.0719818162952428,-0.9050969135549872,-0.6031466728502355,-0.10748750681392566,-1.0102987222632636,-1.073881633363488,-0.934802559898572,-0.5949114764053461,0.06684111366716887,-0.2555179705859845,-0.3847739459247855,0.14749459268417725,-0.42588042568997503,-0.3088195522101253
2018-07-01,-0.9511243880834143,-1.0287481229060809,-0.8966145926304808,-0.6130051445111943,0.30312806156154815,-1.0053707518526405,-1.0802917980186926,-0.9601372068426889,-0.6770088098912893,0.2505337165741222,-0.9115318184531689,-0.9738707860308733,-0.876723634237254,-0.49115123150649637,0.16813891062372643,-0.9663978181631239,-1.070901779257666,-0.9620786641083974,-0.594911476405348,0.05805994107853099,-0.46218407991044697,-0.40843062882990744,-0.09134800431581762,-0.42143403954144815,-0.31074268385102816
2018-07-08,-0.8157875734640434,-0.9381726639724444,-0.6957698634481576,-0.8387968138290197,0.21264207303571195,-0.8388537424515539,-0.8938165292885938,-0.7595310359649563,-0.6682999712224286,-0.01694000218828508,-0.7868849222783423,-0.8372504324127132,-0.7327990464368613,-0.4973183926847815,-0.01774784126287814,-0.8149031046415545,-0.8822065089349064,-0.7526781102006561,-0.6027054160823854,-0.11344314301381113,-0.6270783054858136,-0.4030165577492473,-0.7225730167570308,-0.33984870679076623,-0.3881032232122891
2018-07-15,-0.7143189521217947,-0.8012040931466722,-0.6210994552024445,-0.67204117750499,0.34851494402976513,-0.7193622846334086,-0.7802713236309415,-0.6837767809894533,-0.5386192220416204,0.3755017515562891,-0.6630992594718346,-0.7551304268164157,-0.6222507472744945,-0.5170600255121728,0.24145001120241208,-0.6745834062947937,-0.7772922602225574,-0.6171537979026257,-0.6021533639162668,0.282209191938277,-0.729050135062915,-0.47949841586434816,-1.1380661572899253,-0.3688352388033128,-0.1294121915821469
2018-07-22,-0.7565660943064412,-0.6720366630245568,-0.8592194956001412,0.046651936801499656,-0.24690989432985416,-0.8206834654419528,-0.7838579407430817,-0.8451803840891993,-0.1916439272182319,-0.2750031896751778,-0.8186831795945537,-0.8405807522843352,-0.7765926863658784,-0.38553246010304665,-0.10201340935048142,-0.8591426266609451,-0.8025051939767239,-0.8618978256861427,-0.17990830255112913,-0.22803005475993396,-0.6037300980603565,-0.5644801731589754,-0.3838856699718402,-0.5510643817052296,-0.12587050365004065
2018-07-29,-0.7451761975768956,-0.5482054126764887,-0.7765746353401572,0.2913702158059208,0.6379166061630035,-0.7219970951014442,-0.6618685673635563,-0.8326323214511543,0.11781384220536097,0.9023436033491545,-0.804490646956091,-0.7703830487123988,-0.8306681926453516,-0.07657017143825363,0.6292726707923616,-0.805683393219686,-0.7648764461099692,-0.9101250032382211,0.04860956889119171,0.6515163361417173,0.31526764048546974,0.12453648417741046,-0.4421208831245581,0.1850016186920153,-0.6549042325659788
