Date,ProShares UltraShort UtilitiesEtf_Open_average,ProShares UltraShort UtilitiesEtf_Open_max,ProShares UltraShort UtilitiesEtf_Open_min,ProShares UltraShort UtilitiesEtf_High_average,ProShares UltraShort UtilitiesEtf_High_max,ProShares UltraShort UtilitiesEtf_High_min,ProShares UltraShort UtilitiesEtf_Low_average,ProShares UltraShort UtilitiesEtf_Low_max,ProShares UltraShort UtilitiesEtf_Low_min,ProShares UltraShort UtilitiesEtf_Close_average,ProShares UltraShort UtilitiesEtf_Close_max,ProShares UltraShort UtilitiesEtf_Close_min
2018-05-27,-1.0138117953056465,-1.0138117953056465,-1.0138117953056465,-0.777889733680277,-0.777889733680277,-0.777889733680277,-0.9572086534119331,-0.9572086534119331,-0.9572086534119331,-0.754385222149581,-0.754385222149581,-0.754385222149581
2018-06-03,0.5579369038996496,0.5579369038996496,0.5579369038996496,0.38732021363490504,0.38732021363490504,0.38732021363490504,0.9544460382185879,0.9544460382185879,0.9544460382185879,0.7264555843082501,0.7264555843082501,0.7264555843082501
2018-06-10,-0.22290602356622877,-0.22290602356622877,-0.22290602356622877,-0.33350169230860344,-0.33350169230860344,-0.33350169230860344,-0.19176655371785445,-0.19176655371785445,-0.19176655371785445,-0.3451149618856116,-0.3451149618856116,-0.3451149618856116
2018-06-17,-1.3100205768116813,-1.3100205768116813,-1.3100205768116813,-1.3795516138933122,-1.3795516138933122,-1.3795516138933122,-1.3605696166157077,-1.3605696166157077,-1.3605696166157077,-1.3852586416183348,-1.3852586416183348,-1.3852586416183348
2018-06-24,-2.068469094938072,-2.068469094938072,-2.068469094938072,-2.0502675408293904,-2.0502675408293904,-2.0502675408293904,-2.0595139879211515,-2.0595139879211515,-2.0595139879211515,-2.0487692510831192,-2.0487692510831192,-2.0487692510831192
2018-07-01,-2.176637819981593,-2.176637819981593,-2.176637819981593,-2.17356037049676,-2.17356037049676,-2.17356037049676,-2.3370018681325573,-2.3370018681325573,-2.3370018681325573,-2.3335857393854695,-2.3335857393854695,-2.3335857393854695
2018-07-08,-1.6007620895301808,-1.6007620895301808,-1.6007620895301808,-1.6088306471416456,-1.6088306471416456,-1.6088306471416456,-1.7494209301750723,-1.7494209301750723,-1.7494209301750723,-1.755959384204626,-1.755959384204626,-1.755959384204626
2018-07-15,-1.500984004203431,-1.500984004203431,-1.500984004203431,-1.4306183257839657,-1.4306183257839657,-1.4306183257839657,-1.4292634440344374,-1.4292634440344374,-1.4292634440344374,-1.4538981321860394,-1.4538981321860394,-1.4538981321860394
2018-07-22,-1.600672139496184,-1.600672139496184,-1.600672139496184,-1.4873725651858254,-1.4873725651858254,-1.4873725651858254,-1.55486707360663,-1.55486707360663,-1.55486707360663,-1.382080143165698,-1.382080143165698,-1.382080143165698
2018-07-29,-1.4305708062732745,-1.4305708062732745,-1.4305708062732745,-1.4823551276302949,-1.4823551276302949,-1.4823551276302949,-1.600829012436238,-1.600829012436238,-1.600829012436238,-1.6186833651750498,-1.6186833651750498,-1.6186833651750498
2018-08-05,-1.3145531145549378,-1.3145531145549378,-1.3145531145549378,-1.3788535109125066,-1.3788535109125066,-1.3788535109125066,-1.4202229000122295,-1.4202229000122295,-1.4202229000122295,-1.3586105551114536,-1.3586105551114536,-1.3586105551114536
2018-08-12,-1.7497429178539392,-1.7497429178539392,-1.7497429178539392,-1.7966172097461812,-1.7966172097461812,-1.7966172097461812,-1.7677384508952803,-1.7677384508952803,-1.7677384508952803,-1.8080504802305286,-1.8080504802305286,-1.8080504802305286
2018-08-19,-1.1763360254639967,-1.1763360254639967,-1.1763360254639967,-1.2173361851552331,-1.2173361851552331,-1.2173361851552331,-1.1758326267693182,-1.1758326267693182,-1.1758326267693182,-1.2156208952930858,-1.2156208952930858,-1.2156208952930858
2018-08-26,-1.343743180915007,-1.343743180915007,-1.343743180915007,-1.3734547176710343,-1.3734547176710343,-1.3734547176710343,-1.2206720437543923,-1.2206720437543923,-1.2206720437543923,-1.2549063728503054,-1.2549063728503054,-1.2549063728503054
2018-09-02,-1.256630892540981,-1.256630892540981,-1.256630892540981,-1.2830909785885007,-1.2830909785885007,-1.2830909785885007,-1.1692425235897748,-1.1692425235897748,-1.1692425235897748,-1.2003646821425569,-1.2003646821425569,-1.2003646821425569
2018-09-09,-1.1699085016259687,-1.1699085016259687,-1.1699085016259687,-1.192918586520062,-1.192918586520062,-1.192918586520062,-1.084610573207705,-1.084610573207705,-1.084610573207705,-1.1114935719562202,-1.1114935719562202,-1.1114935719562202
2018-09-16,-0.7446217475546475,-0.7446217475546475,-0.7446217475546475,-0.742866870977401,-0.742866870977401,-0.742866870977401,-0.6668959078914785,-0.6668959078914785,-0.6668959078914785,-0.6672285590788135,-0.6672285590788135,-0.6672285590788135
2018-09-23,-0.4753811145062342,-0.4753811145062342,-0.4753811145062342,-0.48200469534744783,-0.48200469534744783,-0.48200469534744783,-0.46335204654324147,-0.46335204654324147,-0.46335204654324147,-0.4898608731650777,-0.4898608731650777,-0.4898608731650777
2018-09-30,-0.8172263711101428,-0.8172263711101428,-0.8172263711101428,-0.8305282435176707,-0.8305282435176707,-0.8305282435176707,-0.9745972040037066,-0.9745972040037066,-0.9745972040037066,-0.9945018744373402,-0.9945018744373402,-0.9945018744373402
2018-10-07,-0.48695633841399477,-0.48695633841399477,-0.48695633841399477,-0.4073850674560813,-0.4073850674560813,-0.4073850674560813,-0.467668812159226,-0.467668812159226,-0.467668812159226,-0.49310628116634697,-0.49310628116634697,-0.49310628116634697
2018-10-14,-1.1293924149795636,-1.1293924149795636,-1.1293924149795636,-1.1529874539791334,-1.1529874539791334,-1.1529874539791334,-1.2504702150740936,-1.2504702150740936,-1.2504702150740936,-1.2430185440094614,-1.2430185440094614,-1.2430185440094614
2018-10-21,-1.3989961977456862,-1.3989961977456862,-1.3989961977456862,-0.5238521304959738,-0.5238521304959738,-0.5238521304959738,-1.2407280648368133,-1.2407280648368133,-1.2407280648368133,-0.37569349988494516,-0.37569349988494516,-0.37569349988494516
2018-10-28,-0.5140543293764039,-0.5140543293764039,-0.5140543293764039,-0.15987013812254572,-0.15987013812254572,-0.15987013812254572,-0.3192071432767441,-0.3192071432767441,-0.3192071432767441,-0.0915594898089858,-0.0915594898089858,-0.0915594898089858
2018-11-04,-1.9722089207565245,-1.9722089207565245,-1.9722089207565245,-1.9172274766812327,-1.9172274766812327,-1.9172274766812327,-1.792604367160588,-1.792604367160588,-1.792604367160588,-1.6811910190508308,-1.6811910190508308,-1.6811910190508308
2018-11-11,-1.6163202981856444,-1.6163202981856444,-1.6163202981856444,-1.8891437892009932,-1.8891437892009932,-1.8891437892009932,-1.675123594701281,-1.675123594701281,-1.675123594701281,-1.9246537096805538,-1.9246537096805538,-1.9246537096805538
