Date,iShares AsiaPacific DividendEtf_Open_average,iShares AsiaPacific DividendEtf_Open_max,iShares AsiaPacific DividendEtf_Open_min,iShares AsiaPacific DividendEtf_High_average,iShares AsiaPacific DividendEtf_High_max,iShares AsiaPacific DividendEtf_High_min,iShares AsiaPacific DividendEtf_Low_average,iShares AsiaPacific DividendEtf_Low_max,iShares AsiaPacific DividendEtf_Low_min,iShares AsiaPacific DividendEtf_Close_average,iShares AsiaPacific DividendEtf_Close_max,iShares AsiaPacific DividendEtf_Close_min
2018-05-27,-0.7620401323021442,-0.7620401323021442,-0.7620401323021442,-0.8305193344753473,-0.8305193344753473,-0.8305193344753473,-0.7126369203444216,-0.7126369203444216,-0.7126369203444216,-0.7782900166725959,-0.7782900166725959,-0.7782900166725959
2018-06-03,-0.6162777334395768,-0.6162777334395768,-0.6162777334395768,-0.6537215520928493,-0.6537215520928493,-0.6537215520928493,-0.6530416265231034,-0.6530416265231034,-0.6530416265231034,-0.620891608040293,-0.620891608040293,-0.620891608040293
2018-06-10,-0.8697102079303078,-0.8697102079303078,-0.8697102079303078,-0.81730136746946,-0.81730136746946,-0.81730136746946,-0.806525093256675,-0.806525093256675,-0.806525093256675,-0.7565842367194283,-0.7565842367194283,-0.7565842367194283
2018-06-17,-1.5424172072985625,-1.5424172072985625,-1.5424172072985625,-1.5482211304480884,-1.5482211304480884,-1.5482211304480884,-1.507931684262035,-1.507931684262035,-1.507931684262035,-1.474766209789888,-1.474766209789888,-1.474766209789888
2018-06-24,-1.840633501656866,-1.840633501656866,-1.840633501656866,-1.8535599508258267,-1.8535599508258267,-1.8535599508258267,-1.8085937436749828,-1.8085937436749828,-1.8085937436749828,-1.8307727777510467,-1.8307727777510467,-1.8307727777510467
2018-07-01,-0.9624682709398538,-0.9624682709398538,-0.9624682709398538,-0.9788760264986739,-0.9788760264986739,-0.9788760264986739,-0.9149825700275203,-0.9149825700275203,-0.9149825700275203,-0.9599859971590499,-0.9599859971590499,-0.9599859971590499
2018-07-08,-1.3889327909348101,-1.3889327909348101,-1.3889327909348101,-1.4176899904992968,-1.4176899904992968,-1.4176899904992968,-1.4993020290135204,-1.4993020290135204,-1.4993020290135204,-1.456287931653565,-1.456287931653565,-1.456287931653565
2018-07-15,-1.1926930539910259,-1.1926930539910259,-1.1926930539910259,-1.1417077462108087,-1.1417077462108087,-1.1417077462108087,-1.0822477229734861,-1.0822477229734861,-1.0822477229734861,-1.013702760574164,-1.013702760574164,-1.013702760574164
2018-07-22,-0.6416313438886994,-0.6416313438886994,-0.6416313438886994,-0.7078919986761483,-0.7078919986761483,-0.7078919986761483,-0.5035712562912358,-0.5035712562912358,-0.5035712562912358,-0.5840043391722232,-0.5840043391722232,-0.5840043391722232
2018-07-29,-1.3170903603700088,-1.3170903603700088,-1.3170903603700088,-1.3644097192632763,-1.3644097192632763,-1.3644097192632763,-1.19253274316906,-1.19253274316906,-1.19253274316906,-1.2394811496872458,-1.2394811496872458,-1.2394811496872458
