Date,ProShares UltraShort Technology_Open_average,ProShares UltraShort Technology_Open_max,ProShares UltraShort Technology_Open_min,ProShares UltraShort Technology_High_average,ProShares UltraShort Technology_High_max,ProShares UltraShort Technology_High_min,ProShares UltraShort Technology_Low_average,ProShares UltraShort Technology_Low_max,ProShares UltraShort Technology_Low_min,ProShares UltraShort Technology_Close_average,ProShares UltraShort Technology_Close_max,ProShares UltraShort Technology_Close_min
2018-04-08,-0.6871970151118061,-0.6871970151118061,-0.6871970151118061,-0.4995788846087122,-0.4995788846087122,-0.4995788846087122,-0.4527826748544749,-0.4527826748544749,-0.4527826748544749,-0.2760434949860056,-0.2760434949860056,-0.2760434949860056
2018-04-15,-0.46787726984845696,-0.46787726984845696,-0.46787726984845696,-0.36098397862428633,-0.36098397862428633,-0.36098397862428633,-0.24912017928683192,-0.24912017928683192,-0.24912017928683192,-0.13220547387525175,-0.13220547387525175,-0.13220547387525175
2018-04-22,-0.33316269513658514,-0.33316269513658514,-0.33316269513658514,-0.1581076128446868,-0.1581076128446868,-0.1581076128446868,-0.21717982519446274,-0.21717982519446274,-0.21717982519446274,-0.05782624619854426,-0.05782624619854426,-0.05782624619854426
2018-04-29,-0.4520434302690166,-0.4520434302690166,-0.4520434302690166,-0.6213093868158251,-0.6213093868158251,-0.6213093868158251,-0.6388460552490063,-0.6388460552490063,-0.6388460552490063,-0.7825809427526063,-0.7825809427526063,-0.7825809427526063
2018-05-06,-1.7951724554318598,-1.7951724554318598,-1.7951724554318598,-1.799640267637501,-1.799640267637501,-1.799640267637501,-1.8581966091580022,-1.8581966091580022,-1.8581966091580022,-1.618268449998398,-1.618268449998398,-1.618268449998398
2018-05-13,-1.2519792567921064,-1.2519792567921064,-1.2519792567921064,-1.225893303131102,-1.225893303131102,-1.225893303131102,-1.095431733033085,-1.095431733033085,-1.095431733033085,-1.0959825619744956,-1.0959825619744956,-1.0959825619744956
2018-05-20,-1.3144731538516996,-1.3144731538516996,-1.3144731538516996,-1.3370909377806335,-1.3370909377806335,-1.3370909377806335,-1.3097156773615009,-1.3097156773615009,-1.3097156773615009,-1.2593352094865253,-1.2593352094865253,-1.2593352094865253
2018-05-27,-1.330316724848017,-1.330316724848017,-1.330316724848017,-1.3107800433790466,-1.3107800433790466,-1.3107800433790466,-1.5086737866376252,-1.5086737866376252,-1.5086737866376252,-1.4525108224519192,-1.4525108224519192,-1.4525108224519192
2018-06-03,-1.3808248440114255,-1.3808248440114255,-1.3808248440114255,-1.3517846382423764,-1.3517846382423764,-1.3517846382423764,-1.4419235529415813,-1.4419235529415813,-1.4419235529415813,-1.4009199723461183,-1.4009199723461183,-1.4009199723461183
2018-06-10,-1.4023953317164959,-1.4023953317164959,-1.4023953317164959,-1.3527938213346644,-1.3527938213346644,-1.3527938213346644,-1.419714490462097,-1.419714490462097,-1.419714490462097,-1.37329394331282,-1.37329394331282,-1.37329394331282
2018-06-17,-0.9186781566062505,-0.9186781566062505,-0.9186781566062505,-0.9276003465991961,-0.9276003465991961,-0.9276003465991961,-0.9291646313959011,-0.9291646313959011,-0.9291646313959011,-0.9531286450186904,-0.9531286450186904,-0.9531286450186904
2018-06-24,-0.5291001786493046,-0.5291001786493046,-0.5291001786493046,-0.4273255047753242,-0.4273255047753242,-0.4273255047753242,-0.4950007105474379,-0.4950007105474379,-0.4950007105474379,-0.33295854558993193,-0.33295854558993193,-0.33295854558993193
2018-07-01,-0.7808242246418383,-0.7808242246418383,-0.7808242246418383,-0.7857399356173018,-0.7857399356173018,-0.7857399356173018,-0.8514313969502064,-0.8514313969502064,-0.8514313969502064,-0.8789417415340891,-0.8789417415340891,-0.8789417415340891
2018-07-08,-1.4541604341010292,-1.4541604341010292,-1.4541604341010292,-1.3012474050521146,-1.3012474050521146,-1.3012474050521146,-1.339230634786264,-1.339230634786264,-1.339230634786264,-1.2167221268621173,-1.2167221268621173,-1.2167221268621173
2018-07-15,-1.329791607657174,-1.329791607657174,-1.329791607657174,-1.2062970241085467,-1.2062970241085467,-1.2062970241085467,-1.2973101128212292,-1.2973101128212292,-1.2973101128212292,-1.1360508638697542,-1.1360508638697542,-1.1360508638697542
2018-07-22,-1.2856889082355145,-1.2856889082355145,-1.2856889082355145,-0.7755084492190852,-0.7755084492190852,-0.7755084492190852,-1.2175153860130485,-1.2175153860130485,-1.2175153860130485,-0.6731180661688563,-0.6731180661688563,-0.6731180661688563
2018-07-29,-1.323431389335163,-1.323431389335163,-1.323431389335163,-1.3450281375066384,-1.3450281375066384,-1.3450281375066384,-1.2028181265815707,-1.2028181265815707,-1.2028181265815707,-1.3902330075144784,-1.3902330075144784,-1.3902330075144784
2018-08-05,-1.3461627543909584,-1.3461627543909584,-1.3461627543909584,-1.5405979603852846,-1.5405979603852846,-1.5405979603852846,-1.3672187498569197,-1.3672187498569197,-1.3672187498569197,-1.5067900209600051,-1.5067900209600051,-1.5067900209600051
