Date,iShares EuropeEtf_Open_average,iShares EuropeEtf_Open_max,iShares EuropeEtf_Open_min,iShares EuropeEtf_High_average,iShares EuropeEtf_High_max,iShares EuropeEtf_High_min,iShares EuropeEtf_Low_average,iShares EuropeEtf_Low_max,iShares EuropeEtf_Low_min,iShares EuropeEtf_Close_average,iShares EuropeEtf_Close_max,iShares EuropeEtf_Close_min
2018-05-27,-0.7012559591875244,-0.7012559591875244,-0.7012559591875244,-0.7548680370335854,-0.7548680370335854,-0.7548680370335854,-0.6527074856313148,-0.6527074856313148,-0.6527074856313148,-0.7161262600932649,-0.7161262600932649,-0.7161262600932649
2018-06-03,-0.5118715028969495,-0.5118715028969495,-0.5118715028969495,-0.5802389772306903,-0.5802389772306903,-0.5802389772306903,-0.43148885763387945,-0.43148885763387945,-0.43148885763387945,-0.4849483040417749,-0.4849483040417749,-0.4849483040417749
2018-06-10,-0.4740720052969235,-0.4740720052969235,-0.4740720052969235,-0.6896870455338033,-0.6896870455338033,-0.6896870455338033,-0.37589905196938833,-0.37589905196938833,-0.37589905196938833,-0.505747267106781,-0.505747267106781,-0.505747267106781
2018-06-17,-2.33162301387126,-2.33162301387126,-2.33162301387126,-2.3288742914235168,-2.3288742914235168,-2.3288742914235168,-1.9050631729399814,-1.9050631729399814,-1.9050631729399814,-2.212348420624856,-2.212348420624856,-2.212348420624856
2018-06-24,-2.4091744936058666,-2.4091744936058666,-2.4091744936058666,-2.3862757805440933,-2.3862757805440933,-2.3862757805440933,-2.2343441161558575,-2.2343441161558575,-2.2343441161558575,-2.3690558202900744,-2.3690558202900744,-2.3690558202900744
2018-07-01,-1.6609143393147323,-1.6609143393147323,-1.6609143393147323,-1.6063874345296492,-1.6063874345296492,-1.6063874345296492,-1.4628683477727835,-1.4628683477727835,-1.4628683477727835,-1.4193704873940738,-1.4193704873940738,-1.4193704873940738
2018-07-08,-1.3756389821474027,-1.3756389821474027,-1.3756389821474027,-1.399687291784558,-1.399687291784558,-1.399687291784558,-1.248597430470839,-1.248597430470839,-1.248597430470839,-1.1955531677726052,-1.1955531677726052,-1.1955531677726052
2018-07-15,-1.2724234612210212,-1.2724234612210212,-1.2724234612210212,-1.1417703165933317,-1.1417703165933317,-1.1417703165933317,-1.111612927928704,-1.111612927928704,-1.111612927928704,-0.9947713259090595,-0.9947713259090595,-0.9947713259090595
2018-07-22,-0.5170209958426069,-0.5170209958426069,-0.5170209958426069,-0.5845999621447431,-0.5845999621447431,-0.5845999621447431,-0.5046693808063832,-0.5046693808063832,-0.5046693808063832,-0.6070054683240736,-0.6070054683240736,-0.6070054683240736
2018-07-29,-1.06176776955789,-1.06176776955789,-1.06176776955789,-1.0176114994606742,-1.0176114994606742,-1.0176114994606742,-0.9260394760035036,-0.9260394760035036,-0.9260394760035036,-0.8742240469239163,-0.8742240469239163,-0.8742240469239163
2018-08-05,-1.6281834768635228,-1.6281834768635228,-1.6281834768635228,-1.7175341396023287,-1.7175341396023287,-1.7175341396023287,-1.6840212519778905,-1.6840212519778905,-1.6840212519778905,-1.7560710503712313,-1.7560710503712313,-1.7560710503712313
