Date,iShares MSCI Brazil Capped_Open_average,iShares MSCI Brazil Capped_Open_max,iShares MSCI Brazil Capped_Open_min,iShares MSCI Brazil Capped_High_average,iShares MSCI Brazil Capped_High_max,iShares MSCI Brazil Capped_High_min,iShares MSCI Brazil Capped_Low_average,iShares MSCI Brazil Capped_Low_max,iShares MSCI Brazil Capped_Low_min,iShares MSCI Brazil Capped_Close_average,iShares MSCI Brazil Capped_Close_max,iShares MSCI Brazil Capped_Close_min
2018-04-08,-1.6161620932896599,-1.6161620932896599,-1.6161620932896599,-1.8227125727036004,-1.8227125727036004,-1.8227125727036004,-1.6449746017896163,-1.6449746017896163,-1.6449746017896163,-1.6818250889236033,-1.6818250889236033,-1.6818250889236033
2018-04-15,-1.4273466208772965,-1.4273466208772965,-1.4273466208772965,-1.4152430685369557,-1.4152430685369557,-1.4152430685369557,-1.0493639971569695,-1.0493639971569695,-1.0493639971569695,-1.078959575382616,-1.078959575382616,-1.078959575382616
2018-04-22,-1.0392747267896218,-1.0392747267896218,-1.0392747267896218,-1.140000985148454,-1.140000985148454,-1.140000985148454,-0.9534914833647028,-0.9534914833647028,-0.9534914833647028,-1.0774847918350927,-1.0774847918350927,-1.0774847918350927
2018-04-29,-2.117428865617174,-2.117428865617174,-2.117428865617174,-2.060301611099187,-2.060301611099187,-2.060301611099187,-1.871345213340038,-1.871345213340038,-1.871345213340038,-1.855732352916285,-1.855732352916285,-1.855732352916285
2018-05-06,-1.4156164225631758,-1.4156164225631758,-1.4156164225631758,-1.4107789841427467,-1.4107789841427467,-1.4107789841427467,-1.4306463212758331,-1.4306463212758331,-1.4306463212758331,-1.3423378233470982,-1.3423378233470982,-1.3423378233470982
2018-05-13,-1.9161730472544085,-1.9161730472544085,-1.9161730472544085,-1.9378079521155782,-1.9378079521155782,-1.9378079521155782,-1.906229070711819,-1.906229070711819,-1.906229070711819,-1.8271378559760605,-1.8271378559760605,-1.8271378559760605
2018-05-20,-1.9089760295078464,-1.9089760295078464,-1.9089760295078464,-1.9038871642552884,-1.9038871642552884,-1.9038871642552884,-1.8797452504719792,-1.8797452504719792,-1.8797452504719792,-1.8597437224066704,-1.8597437224066704,-1.8597437224066704
2018-05-27,-1.9727382745450064,-1.9727382745450064,-1.9727382745450064,-1.9535758681580797,-1.9535758681580797,-1.9535758681580797,-1.8114928971432633,-1.8114928971432633,-1.8114928971432633,-1.754849645258504,-1.754849645258504,-1.754849645258504
2018-06-03,-2.055613268100794,-2.055613268100794,-2.055613268100794,-2.0275517316294223,-2.0275517316294223,-2.0275517316294223,-2.057576896857434,-2.057576896857434,-2.057576896857434,-2.0640170720720445,-2.0640170720720445,-2.0640170720720445
2018-06-10,-1.9789621554990455,-1.9789621554990455,-1.9789621554990455,-1.9504673725953365,-1.9504673725953365,-1.9504673725953365,-1.92112784336506,-1.92112784336506,-1.92112784336506,-1.8855362561996551,-1.8855362561996551,-1.8855362561996551
