Date,FlexShares International Quality Dividend DefensivEtf_Open_average,FlexShares International Quality Dividend DefensivEtf_Open_max,FlexShares International Quality Dividend DefensivEtf_Open_min,FlexShares International Quality Dividend DefensivEtf_High_average,FlexShares International Quality Dividend DefensivEtf_High_max,FlexShares International Quality Dividend DefensivEtf_High_min,FlexShares International Quality Dividend DefensivEtf_Low_average,FlexShares International Quality Dividend DefensivEtf_Low_max,FlexShares International Quality Dividend DefensivEtf_Low_min,FlexShares International Quality Dividend DefensivEtf_Close_average,FlexShares International Quality Dividend DefensivEtf_Close_max,FlexShares International Quality Dividend DefensivEtf_Close_min
2018-05-27,-1.5104777347859557,-1.5104777347859557,-1.5104777347859557,-1.622938973071146,-1.622938973071146,-1.622938973071146,-1.4667036073831032,-1.4667036073831032,-1.4667036073831032,-1.6025987721186985,-1.6025987721186985,-1.6025987721186985
2018-06-03,-1.2796970273494674,-1.2796970273494674,-1.2796970273494674,-1.3617754883437785,-1.3617754883437785,-1.3617754883437785,-1.2669358789629706,-1.2669358789629706,-1.2669358789629706,-1.2990482885548162,-1.2990482885548162,-1.2990482885548162
2018-06-10,-1.6014627782600928,-1.6014627782600928,-1.6014627782600928,-1.6694627497707095,-1.6694627497707095,-1.6694627497707095,-1.6435850041110487,-1.6435850041110487,-1.6435850041110487,-1.705829015845362,-1.705829015845362,-1.705829015845362
2018-06-17,-2.3557149001650277,-2.3557149001650277,-2.3557149001650277,-2.277192001455259,-2.277192001455259,-2.277192001455259,-2.1694840060736587,-2.1694840060736587,-2.1694840060736587,-2.2073779415050407,-2.2073779415050407,-2.2073779415050407
2018-06-24,-2.306372878225803,-2.306372878225803,-2.306372878225803,-2.253800296103196,-2.253800296103196,-2.253800296103196,-2.2047928105011128,-2.2047928105011128,-2.2047928105011128,-2.2453988891808545,-2.2453988891808545,-2.2453988891808545
2018-07-01,-1.7552026190322847,-1.7552026190322847,-1.7552026190322847,-1.7045170952147104,-1.7045170952147104,-1.7045170952147104,-1.684689796645756,-1.684689796645756,-1.684689796645756,-1.6608919693679565,-1.6608919693679565,-1.6608919693679565
2018-07-08,-1.6986798313057694,-1.6986798313057694,-1.6986798313057694,-1.7312391792614141,-1.7312391792614141,-1.7312391792614141,-1.7166259250104396,-1.7166259250104396,-1.7166259250104396,-1.6916291966854125,-1.6916291966854125,-1.6916291966854125
2018-07-15,-1.402383174260983,-1.402383174260983,-1.402383174260983,-1.4226328797081946,-1.4226328797081946,-1.4226328797081946,-1.347231997979347,-1.347231997979347,-1.347231997979347,-1.381535875311662,-1.381535875311662,-1.381535875311662
2018-07-22,-0.77652553101589,-0.77652553101589,-0.77652553101589,-0.8185047748726109,-0.8185047748726109,-0.8185047748726109,-0.7669789374902325,-0.7669789374902325,-0.7669789374902325,-0.8319426303106552,-0.8319426303106552,-0.8319426303106552
2018-07-29,-1.0928605019204136,-1.0928605019204136,-1.0928605019204136,-0.9531076136331372,-0.9531076136331372,-0.9531076136331372,-1.046227079499253,-1.046227079499253,-1.046227079499253,-1.0088036764614086,-1.0088036764614086,-1.0088036764614086
2018-08-05,-1.4099466642106422,-1.4099466642106422,-1.4099466642106422,-1.4691103544243567,-1.4691103544243567,-1.4691103544243567,-1.4521878887679578,-1.4521878887679578,-1.4521878887679578,-1.5119744664941885,-1.5119744664941885,-1.5119744664941885
