Date,GraniteShares Gold TrustEtf_Open_average,GraniteShares Gold TrustEtf_Open_max,GraniteShares Gold TrustEtf_Open_min,GraniteShares Gold TrustEtf_High_average,GraniteShares Gold TrustEtf_High_max,GraniteShares Gold TrustEtf_High_min,GraniteShares Gold TrustEtf_Low_average,GraniteShares Gold TrustEtf_Low_max,GraniteShares Gold TrustEtf_Low_min,GraniteShares Gold TrustEtf_Close_average,GraniteShares Gold TrustEtf_Close_max,GraniteShares Gold TrustEtf_Close_min
2018-05-27,-1.6612519988850787,-1.6612519988850787,-1.6612519988850787,-1.6593431210408665,-1.6593431210408665,-1.6593431210408665,-1.7201666554594555,-1.7201666554594555,-1.7201666554594555,-1.7964660042417768,-1.7964660042417768,-1.7964660042417768
2018-06-03,-1.329233252567497,-1.329233252567497,-1.329233252567497,-1.3715352529442142,-1.3715352529442142,-1.3715352529442142,-1.236908541075371,-1.236908541075371,-1.236908541075371,-1.3384040494938882,-1.3384040494938882,-1.3384040494938882
2018-06-10,-1.6530186917504202,-1.6530186917504202,-1.6530186917504202,-1.7491843756466907,-1.7491843756466907,-1.7491843756466907,-2.1438464928959315,-2.1438464928959315,-2.1438464928959315,-2.0828227915707687,-2.0828227915707687,-2.0828227915707687
2018-06-17,-2.2413723999825326,-2.2413723999825326,-2.2413723999825326,-2.311428912633542,-2.311428912633542,-2.311428912633542,-2.1055352984104836,-2.1055352984104836,-2.1055352984104836,-2.1423239709570447,-2.1423239709570447,-2.1423239709570447
2018-06-24,-2.4455133751003775,-2.4455133751003775,-2.4455133751003775,-2.385277944131624,-2.385277944131624,-2.385277944131624,-2.2949876659630357,-2.2949876659630357,-2.2949876659630357,-2.3041124242136894,-2.3041124242136894,-2.3041124242136894
2018-07-01,-1.946440341865319,-1.946440341865319,-1.946440341865319,-2.011710028090783,-2.011710028090783,-2.011710028090783,-1.9002019289899594,-1.9002019289899594,-1.9002019289899594,-1.9579441557629251,-1.9579441557629251,-1.9579441557629251
2018-07-08,-2.050602886642094,-2.050602886642094,-2.050602886642094,-2.0720902603935416,-2.0720902603935416,-2.0720902603935416,-2.0138171724808314,-2.0138171724808314,-2.0138171724808314,-2.0331788057768834,-2.0331788057768834,-2.0331788057768834
2018-07-15,-2.0556735289820636,-2.0556735289820636,-2.0556735289820636,-2.0483753007131247,-2.0483753007131247,-2.0483753007131247,-2.0079158895759797,-2.0079158895759797,-2.0079158895759797,-1.9995663593795137,-1.9995663593795137,-1.9995663593795137
2018-07-22,-1.8697682744354123,-1.8697682744354123,-1.8697682744354123,-1.8658780023547266,-1.8658780023547266,-1.8658780023547266,-1.835031825642651,-1.835031825642651,-1.835031825642651,-1.8924045357203303,-1.8924045357203303,-1.8924045357203303
2018-07-29,-1.7829833350396393,-1.7829833350396393,-1.7829833350396393,-1.7439824570952587,-1.7439824570952587,-1.7439824570952587,-1.794369888999827,-1.794369888999827,-1.794369888999827,-1.8376780906213885,-1.8376780906213885,-1.8376780906213885
