Date,VanEck Vectors JP Morgan EM Local Currency Bd_Open_average,VanEck Vectors JP Morgan EM Local Currency Bd_Open_max,VanEck Vectors JP Morgan EM Local Currency Bd_Open_min,VanEck Vectors JP Morgan EM Local Currency Bd_High_average,VanEck Vectors JP Morgan EM Local Currency Bd_High_max,VanEck Vectors JP Morgan EM Local Currency Bd_High_min,VanEck Vectors JP Morgan EM Local Currency Bd_Low_average,VanEck Vectors JP Morgan EM Local Currency Bd_Low_max,VanEck Vectors JP Morgan EM Local Currency Bd_Low_min,VanEck Vectors JP Morgan EM Local Currency Bd_Close_average,VanEck Vectors JP Morgan EM Local Currency Bd_Close_max,VanEck Vectors JP Morgan EM Local Currency Bd_Close_min
2018-04-08,-1.034876695817845,-1.034876695817845,-1.034876695817845,-1.0827377694441989,-1.0827377694441989,-1.0827377694441989,-0.8202866302002804,-0.8202866302002804,-0.8202866302002804,-1.0005148005488986,-1.0005148005488986,-1.0005148005488986
2018-04-15,-1.0719992215153882,-1.0719992215153882,-1.0719992215153882,-1.2391292314040856,-1.2391292314040856,-1.2391292314040856,-1.2322086092904077,-1.2322086092904077,-1.2322086092904077,-1.3033016689927592,-1.3033016689927592,-1.3033016689927592
2018-04-22,-2.417091538852701,-2.417091538852701,-2.417091538852701,-2.3228931063189844,-2.3228931063189844,-2.3228931063189844,-2.2553288530472533,-2.2553288530472533,-2.2553288530472533,-2.2811537174293464,-2.2811537174293464,-2.2811537174293464
2018-04-29,-2.6230289101103677,-2.6230289101103677,-2.6230289101103677,-2.535212723360543,-2.535212723360543,-2.535212723360543,-2.557943879109258,-2.557943879109258,-2.557943879109258,-2.551353160242812,-2.551353160242812,-2.551353160242812
2018-05-06,-1.9581364730485864,-1.9581364730485864,-1.9581364730485864,-2.0318726397089035,-2.0318726397089035,-2.0318726397089035,-2.1332873992150154,-2.1332873992150154,-2.1332873992150154,-2.1446138878632723,-2.1446138878632723,-2.1446138878632723
2018-05-13,-2.440722427406734,-2.440722427406734,-2.440722427406734,-2.421418316519794,-2.421418316519794,-2.421418316519794,-2.354498772107279,-2.354498772107279,-2.354498772107279,-2.3561297163113313,-2.3561297163113313,-2.3561297163113313
2018-05-20,-1.7212429148059523,-1.7212429148059523,-1.7212429148059523,-1.7422365826163486,-1.7422365826163486,-1.7422365826163486,-1.702547048902066,-1.702547048902066,-1.702547048902066,-1.7457231616068187,-1.7457231616068187,-1.7457231616068187
2018-05-27,-1.5856475647152835,-1.5856475647152835,-1.5856475647152835,-1.5799854822989579,-1.5799854822989579,-1.5799854822989579,-1.5621565352133084,-1.5621565352133084,-1.5621565352133084,-1.5907393983283682,-1.5907393983283682,-1.5907393983283682
2018-06-03,-1.4566922702145388,-1.4566922702145388,-1.4566922702145388,-1.4638279813833033,-1.4638279813833033,-1.4638279813833033,-1.518128412427486,-1.518128412427486,-1.518128412427486,-1.4197611648096977,-1.4197611648096977,-1.4197611648096977
2018-06-10,-1.5983888292191826,-1.5983888292191826,-1.5983888292191826,-1.602022640316487,-1.602022640316487,-1.602022640316487,-1.5844602957934009,-1.5844602957934009,-1.5844602957934009,-1.5620600219178762,-1.5620600219178762,-1.5620600219178762
2018-06-17,-1.2742922971951856,-1.2742922971951856,-1.2742922971951856,-1.265900778038274,-1.265900778038274,-1.265900778038274,-1.2467101284481588,-1.2467101284481588,-1.2467101284481588,-1.2453735126050207,-1.2453735126050207,-1.2453735126050207
2018-06-24,-1.2435727547151028,-1.2435727547151028,-1.2435727547151028,-1.2470618709304662,-1.2470618709304662,-1.2470618709304662,-1.239586133613577,-1.239586133613577,-1.239586133613577,-1.287653452390545,-1.287653452390545,-1.287653452390545
2018-07-01,-1.047555822941478,-1.047555822941478,-1.047555822941478,-0.9717419979900808,-0.9717419979900808,-0.9717419979900808,-0.9842968999100765,-0.9842968999100765,-0.9842968999100765,-0.935866613622846,-0.935866613622846,-0.935866613622846
2018-07-08,-0.8711347991400767,-0.8711347991400767,-0.8711347991400767,-0.8466258120720649,-0.8466258120720649,-0.8466258120720649,-0.8384218162064941,-0.8384218162064941,-0.8384218162064941,-0.8632835830534169,-0.8632835830534169,-0.8632835830534169
2018-07-15,-0.6891896873852686,-0.6891896873852686,-0.6891896873852686,-0.7418946005270518,-0.7418946005270518,-0.7418946005270518,-0.7108601345774549,-0.7108601345774549,-0.7108601345774549,-0.7372340157095433,-0.7372340157095433,-0.7372340157095433
2018-07-22,-0.20484976051140882,-0.20484976051140882,-0.20484976051140882,-0.21377084601002125,-0.21377084601002125,-0.21377084601002125,-0.159971126374031,-0.159971126374031,-0.159971126374031,-0.2330885240447346,-0.2330885240447346,-0.2330885240447346
2018-07-29,-0.5601992946501078,-0.5601992946501078,-0.5601992946501078,-0.5689926280639565,-0.5689926280639565,-0.5689926280639565,-0.5644750680609112,-0.5644750680609112,-0.5644750680609112,-0.60040866321029,-0.60040866321029,-0.60040866321029
2018-08-05,-2.2043589713439475,-2.2043589713439475,-2.2043589713439475,-2.114073106928893,-2.114073106928893,-2.114073106928893,-2.2599134112592587,-2.2599134112592587,-2.2599134112592587,-2.2673238941276965,-2.2673238941276965,-2.2673238941276965
2018-08-12,-2.137126961807635,-2.137126961807635,-2.137126961807635,-2.065183768992163,-2.065183768992163,-2.065183768992163,-2.0995873876490183,-2.0995873876490183,-2.0995873876490183,-1.9939967300464703,-1.9939967300464703,-1.9939967300464703
2018-08-19,-1.407443437289346,-1.407443437289346,-1.407443437289346,-1.588320887445912,-1.588320887445912,-1.588320887445912,-1.4525699431918067,-1.4525699431918067,-1.4525699431918067,-1.509284908959673,-1.509284908959673,-1.509284908959673
2018-08-26,-1.914362430527432,-1.914362430527432,-1.914362430527432,-1.972200767903332,-1.972200767903332,-1.972200767903332,-1.9063770171994503,-1.9063770171994503,-1.9063770171994503,-1.9820699599713192,-1.9820699599713192,-1.9820699599713192
2018-09-02,-1.9029025396828485,-1.9029025396828485,-1.9029025396828485,-2.047515278069658,-2.047515278069658,-2.047515278069658,-1.911120716885349,-1.911120716885349,-1.911120716885349,-2.0267774586792995,-2.0267774586792995,-2.0267774586792995
2018-09-09,-1.2829476697476607,-1.2829476697476607,-1.2829476697476607,-1.4029583793967122,-1.4029583793967122,-1.4029583793967122,-1.3499900311540454,-1.3499900311540454,-1.3499900311540454,-1.4005982044209364,-1.4005982044209364,-1.4005982044209364
2018-09-16,-0.7158564062489068,-0.7158564062489068,-0.7158564062489068,-0.7009293568180333,-0.7009293568180333,-0.7009293568180333,-0.6722261324702778,-0.6722261324702778,-0.6722261324702778,-0.6033792570393735,-0.6033792570393735,-0.6033792570393735
2018-09-23,-0.39649981756882235,-0.39649981756882235,-0.39649981756882235,-0.4028731235516835,-0.4028731235516835,-0.4028731235516835,-0.35217965713656757,-0.35217965713656757,-0.35217965713656757,-0.4068990039653194,-0.4068990039653194,-0.4068990039653194
2018-09-30,-0.8494297104435704,-0.8494297104435704,-0.8494297104435704,-0.8544138121156467,-0.8544138121156467,-0.8544138121156467,-0.8708845164321914,-0.8708845164321914,-0.8708845164321914,-0.8183398456866133,-0.8183398456866133,-0.8183398456866133
2018-10-07,-0.4058503732891866,-0.4058503732891866,-0.4058503732891866,-0.52252502057531,-0.52252502057531,-0.52252502057531,-0.5044035197977551,-0.5044035197977551,-0.5044035197977551,-0.6208494461764746,-0.6208494461764746,-0.6208494461764746
2018-10-14,-0.03071841611783651,-0.03071841611783651,-0.03071841611783651,-0.07893361382818191,-0.07893361382818191,-0.07893361382818191,-0.009767738325639628,-0.009767738325639628,-0.009767738325639628,0.023228610490589528,0.023228610490589528,0.023228610490589528
2018-10-21,-0.3174548598205564,-0.3174548598205564,-0.3174548598205564,-0.2292578811661996,-0.2292578811661996,-0.2292578811661996,-0.2101183234236167,-0.2101183234236167,-0.2101183234236167,-0.11688680980335453,-0.11688680980335453,-0.11688680980335453
2018-10-28,-0.06971666757452048,-0.06971666757452048,-0.06971666757452048,-0.0651659349493427,-0.0651659349493427,-0.0651659349493427,-0.002070017037911254,-0.002070017037911254,-0.002070017037911254,0.0075567979268501865,0.0075567979268501865,0.0075567979268501865
2018-11-04,-0.030601890949258328,-0.030601890949258328,-0.030601890949258328,-0.24114197831880196,-0.24114197831880196,-0.24114197831880196,-0.21591368214406068,-0.21591368214406068,-0.21591368214406068,-0.2071260623875083,-0.2071260623875083,-0.2071260623875083
2018-11-11,0.768254359120111,0.768254359120111,0.768254359120111,1.0422200225861853,1.0422200225861853,1.0422200225861853,0.9388693385714575,0.9388693385714575,0.9388693385714575,1.0951244891976508,1.0951244891976508,1.0951244891976508
2018-11-18,1.1084611216341929,1.1084611216341929,1.1084611216341929,0.7703069552608245,0.7703069552608245,0.7703069552608245,0.8625926800328266,0.8625926800328266,0.8625926800328266,0.6011110207303961,0.6011110207303961,0.6011110207303961
2018-11-25,1.3006854986351495,1.3006854986351495,1.3006854986351495,1.0182829876692507,1.0182829876692507,1.0182829876692507,1.0918855910800975,1.0918855910800975,1.0918855910800975,0.942521847396988,0.942521847396988,0.942521847396988
2018-12-02,0.4500743986117317,0.4500743986117317,0.4500743986117317,0.7111459776944054,0.7111459776944054,0.7111459776944054,0.3332295986570571,0.3332295986570571,0.3332295986570571,-0.002837845481784518,-0.002837845481784518,-0.002837845481784518
2018-12-09,-1.0894887741872292,-1.0894887741872292,-1.0894887741872292,-1.0968053229839496,-1.0968053229839496,-1.0968053229839496,-0.8929158182859307,-0.8929158182859307,-0.8929158182859307,-0.9500603951044534,-0.9500603951044534,-0.9500603951044534
2018-12-16,0.7967376806310044,0.7967376806310044,0.7967376806310044,0.6851709408403565,0.6851709408403565,0.6851709408403565,0.4269088682435706,0.4269088682435706,0.4269088682435706,0.1958197645495137,0.1958197645495137,0.1958197645495137
2018-12-23,0.8090905100613829,0.8090905100613829,0.8090905100613829,0.9045162788804162,0.9045162788804162,0.9045162788804162,1.2498910275078,1.2498910275078,1.2498910275078,1.0443720775973282,1.0443720775973282,1.0443720775973282
2018-12-30,1.9400523387071453,1.9400523387071453,1.9400523387071453,2.5769168767540815,2.5769168767540815,2.5769168767540815,2.1639796501504525,2.1639796501504525,2.1639796501504525,2.591981528236892,2.591981528236892,2.591981528236892
2019-01-06,2.713590009765139,2.713590009765139,2.713590009765139,2.393384828816481,2.393384828816481,2.393384828816481,2.6412763155430508,2.6412763155430508,2.6412763155430508,2.304545473650783,2.304545473650783,2.304545473650783
2019-01-13,1.9639305832217666,1.9639305832217666,1.9639305832217666,1.8375766233159947,1.8375766233159947,1.8375766233159947,1.969805044596991,1.969805044596991,1.969805044596991,1.7987608124552263,1.7987608124552263,1.7987608124552263
2019-01-20,1.8977968532730396,1.8977968532730396,1.8977968532730396,1.884168438063354,1.884168438063354,1.884168438063354,1.987648919449736,1.987648919449736,1.987648919449736,1.8685676638798003,1.8685676638798003,1.8685676638798003
2019-01-27,2.0158801667724386,2.0158801667724386,2.0158801667724386,2.017176103784,2.017176103784,2.017176103784,2.03030656589543,2.03030656589543,2.03030656589543,2.0279054545115667,2.0279054545115667,2.0279054545115667
2019-02-03,1.369742027202034,1.369742027202034,1.369742027202034,1.284690191078158,1.284690191078158,1.284690191078158,1.3140776599187791,1.3140776599187791,1.3140776599187791,1.2955650109598618,1.2955650109598618,1.2955650109598618
2019-02-10,0.8460123341707261,0.8460123341707261,0.8460123341707261,0.8709438860781168,0.8709438860781168,0.8709438860781168,0.8412713699504237,0.8412713699504237,0.8412713699504237,0.9504603968450679,0.9504603968450679,0.9504603968450679
2019-02-17,0.9877666267867672,0.9877666267867672,0.9877666267867672,1.0004286762583967,1.0004286762583967,1.0004286762583967,1.050860516756105,1.050860516756105,1.050860516756105,0.9612608467522605,0.9612608467522605,0.9612608467522605
2019-02-24,0.48780809989632395,0.48780809989632395,0.48780809989632395,0.4293766953819748,0.4293766953819748,0.4293766953819748,0.48407621868447476,0.48407621868447476,0.48407621868447476,0.39838185976255946,0.39838185976255946,0.39838185976255946
2019-03-03,-0.35880190840804166,-0.35880190840804166,-0.35880190840804166,-0.3644812680751729,-0.3644812680751729,-0.3644812680751729,-0.2747402080734306,-0.2747402080734306,-0.2747402080734306,-0.3057009382642252,-0.3057009382642252,-0.3057009382642252
2019-03-10,-0.06910508205571132,-0.06910508205571132,-0.06910508205571132,0.027759438584820613,0.027759438584820613,0.027759438584820613,0.061208732110955254,0.061208732110955254,0.061208732110955254,0.019478466284388502,0.019478466284388502,0.019478466284388502
2019-03-17,0.22494922585347452,0.22494922585347452,0.22494922585347452,0.014865968479806558,0.014865968479806558,0.014865968479806558,-0.3852510183127989,-0.3852510183127989,-0.3852510183127989,-0.5512588587466108,-0.5512588587466108,-0.5512588587466108
2019-03-24,-1.3026145752177989,-1.3026145752177989,-1.3026145752177989,-1.4453672350453615,-1.4453672350453615,-1.4453672350453615,-1.382490110324093,-1.382490110324093,-1.382490110324093,-1.521716532798848,-1.521716532798848,-1.521716532798848
2019-03-31,-0.7907579950682098,-0.7907579950682098,-0.7907579950682098,-0.7559351666435297,-0.7559351666435297,-0.7559351666435297,-0.5329625547251636,-0.5329625547251636,-0.5329625547251636,-0.5221312161142786,-0.5221312161142786,-0.5221312161142786
2019-04-07,-0.10992920954125969,-0.10992920954125969,-0.10992920954125969,-0.2842536812836992,-0.2842536812836992,-0.2842536812836992,-0.09574823280234505,-0.09574823280234505,-0.09574823280234505,-0.14849867446671783,-0.14849867446671783,-0.14849867446671783
2019-04-14,-0.2911553547735229,-0.2911553547735229,-0.2911553547735229,-0.31884236557171014,-0.31884236557171014,-0.31884236557171014,-0.1405986573824548,-0.1405986573824548,-0.1405986573824548,-0.13758584089077122,-0.13758584089077122,-0.13758584089077122
2019-04-21,-1.6960369050169386,-1.6960369050169386,-1.6960369050169386,-1.8155455369106677,-1.8155455369106677,-1.8155455369106677,-1.9177907406781103,-1.9177907406781103,-1.9177907406781103,-1.9678088469528716,-1.9678088469528716,-1.9678088469528716
2019-04-28,-2.046299424062434,-2.046299424062434,-2.046299424062434,-1.9371526032685036,-1.9371526032685036,-1.9371526032685036,-1.8654991921221489,-1.8654991921221489,-1.8654991921221489,-1.6458116937787348,-1.6458116937787348,-1.6458116937787348
2019-05-05,-1.6892577232963464,-1.6892577232963464,-1.6892577232963464,-1.6961801360846478,-1.6961801360846478,-1.6961801360846478,-1.690247500718111,-1.690247500718111,-1.690247500718111,-1.5872891579871289,-1.5872891579871289,-1.5872891579871289
2019-05-12,-1.8747508369720953,-1.8747508369720953,-1.8747508369720953,-1.9939790548296772,-1.9939790548296772,-1.9939790548296772,-1.8624321809500974,-1.8624321809500974,-1.8624321809500974,-2.022726841568051,-2.022726841568051,-2.022726841568051
2019-05-19,-1.2878659687810687,-1.2878659687810687,-1.2878659687810687,-1.3326775598781706,-1.3326775598781706,-1.3326775598781706,-1.1958149136840448,-1.1958149136840448,-1.1958149136840448,-1.257458359977619,-1.257458359977619,-1.257458359977619
2019-05-26,-1.0523895013310745,-1.0523895013310745,-1.0523895013310745,-0.901574460518253,-0.901574460518253,-0.901574460518253,-0.9934916355138629,-0.9934916355138629,-0.9934916355138629,-0.7158404950768522,-0.7158404950768522,-0.7158404950768522
2019-06-02,-0.27653491890807036,-0.27653491890807036,-0.27653491890807036,-0.049877040477324164,-0.049877040477324164,-0.049877040477324164,-0.1447417686404102,-0.1447417686404102,-0.1447417686404102,0.10369906680724136,0.10369906680724136,0.10369906680724136
2019-06-09,0.7765504582739994,0.7765504582739994,0.7765504582739994,0.6773928350111154,0.6773928350111154,0.6773928350111154,0.745864974233802,0.745864974233802,0.745864974233802,0.7328175177965545,0.7328175177965545,0.7328175177965545
2019-06-16,2.035473208770095,2.035473208770095,2.035473208770095,2.1024781451140364,2.1024781451140364,2.1024781451140364,2.0657855599995476,2.0657855599995476,2.0657855599995476,2.0589409333320017,2.0589409333320017,2.0589409333320017
2019-06-23,1.9548575682739064,1.9548575682739064,1.9548575682739064,1.9101977502393108,1.9101977502393108,1.9101977502393108,1.9395892749354886,1.9395892749354886,1.9395892749354886,1.9347931435360237,1.9347931435360237,1.9347931435360237
2019-06-30,1.5633619061501236,1.5633619061501236,1.5633619061501236,1.5245449373000892,1.5245449373000892,1.5245449373000892,1.3924138497621852,1.3924138497621852,1.3924138497621852,1.5150014017563456,1.5150014017563456,1.5150014017563456
2019-07-07,1.4437569493266074,1.4437569493266074,1.4437569493266074,1.5753453058820404,1.5753453058820404,1.5753453058820404,1.5247379822835867,1.5247379822835867,1.5247379822835867,1.6082559402645134,1.6082559402645134,1.6082559402645134
2019-07-14,1.5524653399460984,1.5524653399460984,1.5524653399460984,1.5672815223259424,1.5672815223259424,1.5672815223259424,1.5687303742896361,1.5687303742896361,1.5687303742896361,1.512754162681919,1.512754162681919,1.512754162681919
