Date,KraneShares Bosera MSCI China A ShareEtf_Open_average,KraneShares Bosera MSCI China A ShareEtf_Open_max,KraneShares Bosera MSCI China A ShareEtf_Open_min,KraneShares Bosera MSCI China A ShareEtf_High_average,KraneShares Bosera MSCI China A ShareEtf_High_max,KraneShares Bosera MSCI China A ShareEtf_High_min,KraneShares Bosera MSCI China A ShareEtf_Low_average,KraneShares Bosera MSCI China A ShareEtf_Low_max,KraneShares Bosera MSCI China A ShareEtf_Low_min,KraneShares Bosera MSCI China A ShareEtf_Close_average,KraneShares Bosera MSCI China A ShareEtf_Close_max,KraneShares Bosera MSCI China A ShareEtf_Close_min
2018-05-27,-1.032859636876968,-1.032859636876968,-1.032859636876968,-1.0807419437560746,-1.0807419437560746,-1.0807419437560746,-0.8875981812464584,-0.8875981812464584,-0.8875981812464584,-0.9913623727208334,-0.9913623727208334,-0.9913623727208334
2018-06-03,-0.9230268612183098,-0.9230268612183098,-0.9230268612183098,-0.9742421429477384,-0.9742421429477384,-0.9742421429477384,-0.8455482286002421,-0.8455482286002421,-0.8455482286002421,-0.9027594599359419,-0.9027594599359419,-0.9027594599359419
2018-06-10,-1.0057071219026688,-1.0057071219026688,-1.0057071219026688,-1.0904234854842318,-1.0904234854842318,-1.0904234854842318,-1.0085927563292858,-1.0085927563292858,-1.0085927563292858,-1.1463771837515306,-1.1463771837515306,-1.1463771837515306
2018-06-17,-2.2848827173822834,-2.2848827173822834,-2.2848827173822834,-2.2568093978141532,-2.2568093978141532,-2.2568093978141532,-2.0853127994643024,-2.0853127994643024,-2.0853127994643024,-2.1951410425223177,-2.1951410425223177,-2.1951410425223177
2018-06-24,-2.6627523174063588,-2.6627523174063588,-2.6627523174063588,-2.6046901827050157,-2.6046901827050157,-2.6046901827050157,-2.6026150053173738,-2.6026150053173738,-2.6026150053173738,-2.56454238898636,-2.56454238898636,-2.56454238898636
2018-07-01,-2.6968129782838868,-2.6968129782838868,-2.6968129782838868,-2.5918382601835668,-2.5918382601835668,-2.5918382601835668,-2.6570013734597224,-2.6570013734597224,-2.6570013734597224,-2.5579102925571853,-2.5579102925571853,-2.5579102925571853
2018-07-08,-1.806070368686316,-1.806070368686316,-1.806070368686316,-1.8087983662108296,-1.8087983662108296,-1.8087983662108296,-1.7982550456476896,-1.7982550456476896,-1.7982550456476896,-1.761867034454736,-1.761867034454736,-1.761867034454736
2018-07-15,-1.7348783146480027,-1.7348783146480027,-1.7348783146480027,-1.7244297789707144,-1.7244297789707144,-1.7244297789707144,-1.7590346174060545,-1.7590346174060545,-1.7590346174060545,-1.7095643503517377,-1.7095643503517377,-1.7095643503517377
2018-07-22,-1.4843770582336853,-1.4843770582336853,-1.4843770582336853,-1.5353273204208355,-1.5353273204208355,-1.5353273204208355,-1.515319932098822,-1.515319932098822,-1.515319932098822,-1.5685410538806346,-1.5685410538806346,-1.5685410538806346
2018-07-29,-1.9666855163611587,-1.9666855163611587,-1.9666855163611587,-1.9746959755899953,-1.9746959755899953,-1.9746959755899953,-1.947391818339276,-1.947391818339276,-1.947391818339276,-1.9811381626406341,-1.9811381626406341,-1.9811381626406341
