Date,PowerShares PureBeta FTSE EM PortfolioEtf_Open_average,PowerShares PureBeta FTSE EM PortfolioEtf_Open_max,PowerShares PureBeta FTSE EM PortfolioEtf_Open_min,PowerShares PureBeta FTSE EM PortfolioEtf_High_average,PowerShares PureBeta FTSE EM PortfolioEtf_High_max,PowerShares PureBeta FTSE EM PortfolioEtf_High_min,PowerShares PureBeta FTSE EM PortfolioEtf_Low_average,PowerShares PureBeta FTSE EM PortfolioEtf_Low_max,PowerShares PureBeta FTSE EM PortfolioEtf_Low_min,PowerShares PureBeta FTSE EM PortfolioEtf_Close_average,PowerShares PureBeta FTSE EM PortfolioEtf_Close_max,PowerShares PureBeta FTSE EM PortfolioEtf_Close_min
2018-04-08,-1.3030769188604907,-1.3030769188604907,-1.3030769188604907,-1.3659898338763947,-1.3659898338763947,-1.3659898338763947,-1.3030769188604907,-1.3030769188604907,-1.3030769188604907,-1.364482013765842,-1.364482013765842,-1.364482013765842
2018-04-15,-1.1083447578449852,-1.1083447578449852,-1.1083447578449852,-1.1578501984301264,-1.1578501984301264,-1.1578501984301264,-1.1083447578449852,-1.1083447578449852,-1.1083447578449852,-1.1567012694918979,-1.1567012694918979,-1.1567012694918979
2018-04-22,-1.021938907144658,-1.021938907144658,-1.021938907144658,-1.0715146713452797,-1.0715146713452797,-1.0715146713452797,-1.021938907144658,-1.021938907144658,-1.021938907144658,-1.0713903365344513,-1.0713903365344513,-1.0713903365344513
2018-04-29,-0.8803721771880559,-0.8803721771880559,-0.8803721771880559,-0.9237729846736681,-0.9237729846736681,-0.9237729846736681,-0.8803721771880559,-0.8803721771880559,-0.8803721771880559,-0.923894403083796,-0.923894403083796,-0.923894403083796
2018-05-06,-1.359695759991701,-1.359695759991701,-1.359695759991701,-1.4076820354363164,-1.4076820354363164,-1.4076820354363164,-1.359695759991701,-1.359695759991701,-1.359695759991701,-1.4096181633311524,-1.4096181633311524,-1.4096181633311524
2018-05-13,-1.1609042806692305,-1.1609042806692305,-1.1609042806692305,-1.1981477756215353,-1.1981477756215353,-1.1981477756215353,-1.1609042806692305,-1.1609042806692305,-1.1609042806692305,-1.2000040292013323,-1.2000040292013323,-1.2000040292013323
2018-05-20,-1.7688449691603423,-1.7688449691603423,-1.7688449691603423,-1.7902133871803216,-1.7902133871803216,-1.7902133871803216,-1.7688449691603423,-1.7688449691603423,-1.7688449691603423,-1.7949601196285372,-1.7949601196285372,-1.7949601196285372
2018-05-27,-1.5082982787493904,-1.5082982787493904,-1.5082982787493904,-1.5188773991495985,-1.5188773991495985,-1.5188773991495985,-1.5082982787493904,-1.5082982787493904,-1.5082982787493904,-1.5234840543783639,-1.5234840543783639,-1.5234840543783639
2018-06-03,-1.1403352923191705,-1.1403352923191705,-1.1403352923191705,-0.39540470096504765,-0.39540470096504765,-0.39540470096504765,-1.1513437481373683,-1.1513437481373683,-1.1513437481373683,-0.5634987716768572,-0.5634987716768572,-0.5634987716768572
2018-06-10,-0.2965575419740401,-0.2965575419740401,-0.2965575419740401,-0.4244976772367739,-0.4244976772367739,-0.4244976772367739,-0.30975973621364256,-0.30975973621364256,-0.30975973621364256,-0.4044530263543304,-0.4044530263543304,-0.4044530263543304
