Date,NuShares Enhanced Yield US Aggregate BondEtf_Open_average,NuShares Enhanced Yield US Aggregate BondEtf_Open_max,NuShares Enhanced Yield US Aggregate BondEtf_Open_min,NuShares Enhanced Yield US Aggregate BondEtf_High_average,NuShares Enhanced Yield US Aggregate BondEtf_High_max,NuShares Enhanced Yield US Aggregate BondEtf_High_min,NuShares Enhanced Yield US Aggregate BondEtf_Low_average,NuShares Enhanced Yield US Aggregate BondEtf_Low_max,NuShares Enhanced Yield US Aggregate BondEtf_Low_min,NuShares Enhanced Yield US Aggregate BondEtf_Close_average,NuShares Enhanced Yield US Aggregate BondEtf_Close_max,NuShares Enhanced Yield US Aggregate BondEtf_Close_min
2018-05-27,-0.6941432088463452,-0.6941432088463452,-0.6941432088463452,-0.7378851804616754,-0.7378851804616754,-0.7378851804616754,-0.6379509572386487,-0.6379509572386487,-0.6379509572386487,-0.6147001229246322,-0.6147001229246322,-0.6147001229246322
2018-06-03,-1.123953964596441,-1.123953964596441,-1.123953964596441,-1.1112456738116006,-1.1112456738116006,-1.1112456738116006,-1.1153467655548448,-1.1153467655548448,-1.1153467655548448,-1.2572438930889016,-1.2572438930889016,-1.2572438930889016
2018-06-10,-0.7053927236367303,-0.7053927236367303,-0.7053927236367303,-0.8592856132637243,-0.8592856132637243,-0.8592856132637243,-0.7696107464923946,-0.7696107464923946,-0.7696107464923946,-0.9173871140616283,-0.9173871140616283,-0.9173871140616283
2018-06-17,-1.3920524546623563,-1.3920524546623563,-1.3920524546623563,-1.1949381483024841,-1.1949381483024841,-1.1949381483024841,-1.1978990576249988,-1.1978990576249988,-1.1978990576249988,-1.256829798937229,-1.256829798937229,-1.256829798937229
2018-06-24,-0.8306396930783354,-0.8306396930783354,-0.8306396930783354,-0.7407775113192354,-0.7407775113192354,-0.7407775113192354,-0.7114679353029596,-0.7114679353029596,-0.7114679353029596,-0.849165656602699,-0.849165656602699,-0.849165656602699
2018-07-01,-0.683824963211251,-0.683824963211251,-0.683824963211251,-0.7288228836273726,-0.7288228836273726,-0.7288228836273726,-0.8384936451050982,-0.8384936451050982,-0.8384936451050982,-0.6422534055286054,-0.6422534055286054,-0.6422534055286054
2018-07-08,-0.40104079641620505,-0.40104079641620505,-0.40104079641620505,-0.583459965991567,-0.583459965991567,-0.583459965991567,-0.5448032591029948,-0.5448032591029948,-0.5448032591029948,-0.6978414266014338,-0.6978414266014338,-0.6978414266014338
2018-07-15,-0.6223321172176165,-0.6223321172176165,-0.6223321172176165,-0.3702493219037846,-0.3702493219037846,-0.3702493219037846,-0.47680456623134376,-0.47680456623134376,-0.47680456623134376,-0.29989416664440227,-0.29989416664440227,-0.29989416664440227
2018-07-22,-0.839467646518609,-0.839467646518609,-0.839467646518609,-0.8122350999286765,-0.8122350999286765,-0.8122350999286765,-0.710022114657315,-0.710022114657315,-0.710022114657315,-0.8383958942093758,-0.8383958942093758,-0.8383958942093758
2018-07-29,-0.5338192089927268,-0.5338192089927268,-0.5338192089927268,-0.7313067797122517,-0.7313067797122517,-0.7313067797122517,-0.6330557500212886,-0.6330557500212886,-0.6330557500212886,-0.6887256458230743,-0.6887256458230743,-0.6887256458230743
