Date,VelocityShares 3x Long Silver linked to S&P GSCI S_Open_average,VelocityShares 3x Long Silver linked to S&P GSCI S_Open_max,VelocityShares 3x Long Silver linked to S&P GSCI S_Open_min,VelocityShares 3x Long Silver linked to S&P GSCI S_High_average,VelocityShares 3x Long Silver linked to S&P GSCI S_High_max,VelocityShares 3x Long Silver linked to S&P GSCI S_High_min,VelocityShares 3x Long Silver linked to S&P GSCI S_Low_average,VelocityShares 3x Long Silver linked to S&P GSCI S_Low_max,VelocityShares 3x Long Silver linked to S&P GSCI S_Low_min,VelocityShares 3x Long Silver linked to S&P GSCI S_Close_average,VelocityShares 3x Long Silver linked to S&P GSCI S_Close_max,VelocityShares 3x Long Silver linked to S&P GSCI S_Close_min
2018-06-17,-1.5906215793005167,-1.5906215793005167,-1.5906215793005167,-1.8286187440134583,-1.8286187440134583,-1.8286187440134583,-1.4326658220912512,-1.4326658220912512,-1.4326658220912512,-1.5767471072616823,-1.5767471072616823,-1.5767471072616823
2018-06-24,-2.476768876487674,-2.476768876487674,-2.476768876487674,-2.536410298650238,-2.536410298650238,-2.536410298650238,-2.5487178937389565,-2.5487178937389565,-2.5487178937389565,-2.552321812763117,-2.552321812763117,-2.552321812763117
2018-07-01,-1.340975961602467,-1.340975961602467,-1.340975961602467,-1.380520656839796,-1.380520656839796,-1.380520656839796,-1.3321382542222155,-1.3321382542222155,-1.3321382542222155,-1.3982271022798791,-1.3982271022798791,-1.3982271022798791
2018-07-08,-1.9444480732057887,-1.9444480732057887,-1.9444480732057887,-1.9874450774470822,-1.9874450774470822,-1.9874450774470822,-1.8626887367621598,-1.8626887367621598,-1.8626887367621598,-1.8823054892831521,-1.8823054892831521,-1.8823054892831521
2018-07-15,-2.1020809734712835,-2.1020809734712835,-2.1020809734712835,-2.1168470956902317,-2.1168470956902317,-2.1168470956902317,-2.104579799349946,-2.104579799349946,-2.104579799349946,-2.1170623904439267,-2.1170623904439267,-2.1170623904439267
2018-07-22,-1.605222619722283,-1.605222619722283,-1.605222619722283,-1.5592353220128465,-1.5592353220128465,-1.5592353220128465,-1.521835839866574,-1.521835839866574,-1.521835839866574,-1.5412229361844512,-1.5412229361844512,-1.5412229361844512
2018-07-29,-1.5206642573119757,-1.5206642573119757,-1.5206642573119757,-1.5401012498052238,-1.5401012498052238,-1.5401012498052238,-1.4930072220502233,-1.4930072220502233,-1.4930072220502233,-1.534947397938528,-1.534947397938528,-1.534947397938528
2018-08-05,-1.403008160392904,-1.403008160392904,-1.403008160392904,-1.4222517572722788,-1.4222517572722788,-1.4222517572722788,-1.6209255990692144,-1.6209255990692144,-1.6209255990692144,-1.641272869646912,-1.641272869646912,-1.641272869646912
2018-08-12,-1.7268458740588741,-1.7268458740588741,-1.7268458740588741,-1.709477372793859,-1.709477372793859,-1.709477372793859,-1.6865522104035344,-1.6865522104035344,-1.6865522104035344,-1.6150567166838576,-1.6150567166838576,-1.6150567166838576
2018-08-19,-1.3858123571293608,-1.3858123571293608,-1.3858123571293608,-1.313569547975192,-1.313569547975192,-1.313569547975192,-1.2790058641131083,-1.2790058641131083,-1.2790058641131083,-1.2410433584374165,-1.2410433584374165,-1.2410433584374165
2018-08-26,-1.4411177701253406,-1.4411177701253406,-1.4411177701253406,-1.4226479316942104,-1.4226479316942104,-1.4226479316942104,-1.4003729633097564,-1.4003729633097564,-1.4003729633097564,-1.4220942307096023,-1.4220942307096023,-1.4220942307096023
2018-09-02,-1.6072362783283183,-1.6072362783283183,-1.6072362783283183,-1.6440433484968477,-1.6440433484968477,-1.6440433484968477,-1.6014272547071804,-1.6014272547071804,-1.6014272547071804,-1.6148892712588732,-1.6148892712588732,-1.6148892712588732
2018-09-09,-1.4325486480106238,-1.4325486480106238,-1.4325486480106238,-1.4201511806419926,-1.4201511806419926,-1.4201511806419926,-1.3879908363215876,-1.3879908363215876,-1.3879908363215876,-1.419646885203013,-1.419646885203013,-1.419646885203013
2018-09-16,-1.1766080003009929,-1.1766080003009929,-1.1766080003009929,-1.1334369596934273,-1.1334369596934273,-1.1334369596934273,-1.1429502047072362,-1.1429502047072362,-1.1429502047072362,-1.1805866166782604,-1.1805866166782604,-1.1805866166782604
2018-09-23,-0.9197968358303068,-0.9197968358303068,-0.9197968358303068,-0.8644232822684892,-0.8644232822684892,-0.8644232822684892,-0.8982325573819498,-0.8982325573819498,-0.8982325573819498,-0.7868925299158274,-0.7868925299158274,-0.7868925299158274
