Date,iShares Fallen Angels USD BdEtf_Open_average,iShares Fallen Angels USD BdEtf_Open_max,iShares Fallen Angels USD BdEtf_Open_min,iShares Fallen Angels USD BdEtf_High_average,iShares Fallen Angels USD BdEtf_High_max,iShares Fallen Angels USD BdEtf_High_min,iShares Fallen Angels USD BdEtf_Low_average,iShares Fallen Angels USD BdEtf_Low_max,iShares Fallen Angels USD BdEtf_Low_min,iShares Fallen Angels USD BdEtf_Close_average,iShares Fallen Angels USD BdEtf_Close_max,iShares Fallen Angels USD BdEtf_Close_min
2018-05-27,-1.0609910595209582,-1.0609910595209582,-1.0609910595209582,-1.0753335235745705,-1.0753335235745705,-1.0753335235745705,-0.9274716543606435,-0.9274716543606435,-0.9274716543606435,-1.0070333802570723,-1.0070333802570723,-1.0070333802570723
2018-06-03,-0.7902153778663851,-0.7902153778663851,-0.7902153778663851,-0.7582176283197545,-0.7582176283197545,-0.7582176283197545,-0.6253053707738067,-0.6253053707738067,-0.6253053707738067,-0.7882723847645016,-0.7882723847645016,-0.7882723847645016
2018-06-10,-0.5170666406821197,-0.5170666406821197,-0.5170666406821197,0.07496724087327489,0.07496724087327489,0.07496724087327489,-0.2615948671254474,-0.2615948671254474,-0.2615948671254474,-0.3279182859266824,-0.3279182859266824,-0.3279182859266824
2018-06-17,-0.662037898623853,-0.662037898623853,-0.662037898623853,-0.7633079478018311,-0.7633079478018311,-0.7633079478018311,-0.5685787975220331,-0.5685787975220331,-0.5685787975220331,-0.6400258022321891,-0.6400258022321891,-0.6400258022321891
2018-06-24,-1.4286610472369081,-1.4286610472369081,-1.4286610472369081,-1.2359425061352896,-1.2359425061352896,-1.2359425061352896,-1.569037305443199,-1.569037305443199,-1.569037305443199,-1.392870344866525,-1.392870344866525,-1.392870344866525
2018-07-01,-1.4742152986005141,-1.4742152986005141,-1.4742152986005141,-1.5292223478818499,-1.5292223478818499,-1.5292223478818499,-1.406769026113879,-1.406769026113879,-1.406769026113879,-1.206195869687616,-1.206195869687616,-1.206195869687616
2018-07-08,-1.3466897241342746,-1.3466897241342746,-1.3466897241342746,-1.1602984728231769,-1.1602984728231769,-1.1602984728231769,-1.092674272574205,-1.092674272574205,-1.092674272574205,-1.1690270692566438,-1.1690270692566438,-1.1690270692566438
2018-07-15,-0.7673912291790111,-0.7673912291790111,-0.7673912291790111,-1.0551705076467455,-1.0551705076467455,-1.0551705076467455,-0.8650762560608537,-0.8650762560608537,-0.8650762560608537,-0.8005940854046231,-0.8005940854046231,-0.8005940854046231
2018-07-22,0.20020564487449205,0.20020564487449205,0.20020564487449205,-0.15923661741443654,-0.15923661741443654,-0.15923661741443654,-0.5142795766021478,-0.5142795766021478,-0.5142795766021478,-0.19970694815009413,-0.19970694815009413,-0.19970694815009413
2018-07-29,-0.17019602077729862,-0.17019602077729862,-0.17019602077729862,-0.5148077137633672,-0.5148077137633672,-0.5148077137633672,-0.3363671989830947,-0.3363671989830947,-0.3363671989830947,-0.572633290768789,-0.572633290768789,-0.572633290768789
