Date,Guggenheim CurrencyShares Australian DollarEtf_Open_average,Guggenheim CurrencyShares Australian DollarEtf_Open_max,Guggenheim CurrencyShares Australian DollarEtf_Open_min,Guggenheim CurrencyShares Australian DollarEtf_High_average,Guggenheim CurrencyShares Australian DollarEtf_High_max,Guggenheim CurrencyShares Australian DollarEtf_High_min,Guggenheim CurrencyShares Australian DollarEtf_Low_average,Guggenheim CurrencyShares Australian DollarEtf_Low_max,Guggenheim CurrencyShares Australian DollarEtf_Low_min,Guggenheim CurrencyShares Australian DollarEtf_Close_average,Guggenheim CurrencyShares Australian DollarEtf_Close_max,Guggenheim CurrencyShares Australian DollarEtf_Close_min
2018-05-27,-1.1059640632396681,-1.1059640632396681,-1.1059640632396681,-1.0448796917680068,-1.0448796917680068,-1.0448796917680068,-1.0950851684622933,-1.0950851684622933,-1.0950851684622933,-1.0127628396289239,-1.0127628396289239,-1.0127628396289239
2018-06-03,-0.7687908788749721,-0.7687908788749721,-0.7687908788749721,-0.7785890949782344,-0.7785890949782344,-0.7785890949782344,-0.7386080692677167,-0.7386080692677167,-0.7386080692677167,-0.7606291277010003,-0.7606291277010003,-0.7606291277010003
2018-06-10,-1.4658219059291162,-1.4658219059291162,-1.4658219059291162,-1.5694640234616584,-1.5694640234616584,-1.5694640234616584,-1.6049146725071135,-1.6049146725071135,-1.6049146725071135,-1.7075623149428538,-1.7075623149428538,-1.7075623149428538
2018-06-17,-1.5879341355985972,-1.5879341355985972,-1.5879341355985972,-1.618017435036016,-1.618017435036016,-1.618017435036016,-1.6267507137612978,-1.6267507137612978,-1.6267507137612978,-1.5854499794852048,-1.5854499794852048,-1.5854499794852048
2018-06-24,-1.6827355822019752,-1.6827355822019752,-1.6827355822019752,-1.686754425470898,-1.686754425470898,-1.686754425470898,-1.647933602688605,-1.647933602688605,-1.647933602688605,-1.6424209118250517,-1.6424209118250517,-1.6424209118250517
2018-07-01,-1.3974054661402664,-1.3974054661402664,-1.3974054661402664,-1.4267516986765012,-1.4267516986765012,-1.4267516986765012,-1.3434346884924855,-1.3434346884924855,-1.3434346884924855,-1.378976868555021,-1.378976868555021,-1.378976868555021
2018-07-08,-1.431213747707906,-1.431213747707906,-1.431213747707906,-1.3587094913857876,-1.3587094913857876,-1.3587094913857876,-1.3754976082351706,-1.3754976082351706,-1.3754976082351706,-1.3237774285617572,-1.3237774285617572,-1.3237774285617572
2018-07-15,-1.15525513364559,-1.15525513364559,-1.15525513364559,-1.142609207689272,-1.142609207689272,-1.142609207689272,-1.117738416297692,-1.117738416297692,-1.117738416297692,-1.1126223091702914,-1.1126223091702914,-1.1126223091702914
2018-07-22,-1.0762338750575862,-1.0762338750575862,-1.0762338750575862,-1.1765527521088068,-1.1765527521088068,-1.1765527521088068,-1.124937552038555,-1.124937552038555,-1.124937552038555,-1.2244743750665539,-1.2244743750665539,-1.2244743750665539
2018-07-29,-1.243751217949212,-1.243751217949212,-1.243751217949212,-1.172363203349601,-1.172363203349601,-1.172363203349601,-1.2192820939367166,-1.2192820939367166,-1.2192820939367166,-1.182698341189311,-1.182698341189311,-1.182698341189311
2018-08-05,-1.7356647745177909,-1.7356647745177909,-1.7356647745177909,-1.7269591360848733,-1.7269591360848733,-1.7269591360848733,-1.7474199169751217,-1.7474199169751217,-1.7474199169751217,-1.8256660122569635,-1.8256660122569635,-1.8256660122569635
