Date,PowerShares S&P EM Momentum Port_Open_average,PowerShares S&P EM Momentum Port_Open_max,PowerShares S&P EM Momentum Port_Open_min,PowerShares S&P EM Momentum Port_High_average,PowerShares S&P EM Momentum Port_High_max,PowerShares S&P EM Momentum Port_High_min,PowerShares S&P EM Momentum Port_Low_average,PowerShares S&P EM Momentum Port_Low_max,PowerShares S&P EM Momentum Port_Low_min,PowerShares S&P EM Momentum Port_Close_average,PowerShares S&P EM Momentum Port_Close_max,PowerShares S&P EM Momentum Port_Close_min
2019-01-06,-1.5786041871547798,-1.5786041871547798,-1.5786041871547798,-1.4700501234117243,-1.4700501234117243,-1.4700501234117243,-1.4662605663472934,-1.4662605663472934,-1.4662605663472934,-1.4286585712678577,-1.4286585712678577,-1.4286585712678577
2019-01-13,-0.9442081145204979,-0.9442081145204979,-0.9442081145204979,-0.9641911008459659,-0.9641911008459659,-0.9641911008459659,-0.8488754259653223,-0.8488754259653223,-0.8488754259653223,-0.8917880031057986,-0.8917880031057986,-0.8917880031057986
2019-01-20,-0.962145500006725,-0.962145500006725,-0.962145500006725,-0.9832638758666609,-0.9832638758666609,-0.9832638758666609,-0.9338211333364281,-0.9338211333364281,-0.9338211333364281,-0.9064877933491791,-0.9064877933491791,-0.9064877933491791
2019-01-27,-0.47857876487907697,-0.47857876487907697,-0.47857876487907697,-0.4332799703208923,-0.4332799703208923,-0.4332799703208923,-0.40068915944871814,-0.40068915944871814,-0.40068915944871814,-0.3902543574227025,-0.3902543574227025,-0.3902543574227025
2019-02-03,-0.5389554676181489,-0.5389554676181489,-0.5389554676181489,-0.6058177652338439,-0.6058177652338439,-0.6058177652338439,-0.5261658385027368,-0.5261658385027368,-0.5261658385027368,-0.5764927011631116,-0.5764927011631116,-0.5764927011631116
2019-02-10,-0.44986961328885056,-0.44986961328885056,-0.44986961328885056,-0.4837575912497444,-0.4837575912497444,-0.4837575912497444,-0.4360350362805154,-0.4360350362805154,-0.4360350362805154,-0.41379022832278195,-0.41379022832278195,-0.41379022832278195
2019-02-17,0.1374019805582602,0.1374019805582602,0.1374019805582602,0.08301538678203817,0.08301538678203817,0.08301538678203817,0.1022601646627014,0.1022601646627014,0.1022601646627014,0.08596675059320355,0.08596675059320355,0.08596675059320355
2019-02-24,0.03595078255583347,0.03595078255583347,0.03595078255583347,-0.03743129280511887,-0.03743129280511887,-0.03743129280511887,-0.02574095665613152,-0.02574095665613152,-0.02574095665613152,-0.06199768144368501,-0.06199768144368501,-0.06199768144368501
2019-03-03,0.03892474033819259,0.03892474033819259,0.03892474033819259,0.2200837666899187,0.2200837666899187,0.2200837666899187,0.1851429632473083,0.1851429632473083,0.1851429632473083,0.3552989895521654,0.3552989895521654,0.3552989895521654
2019-03-10,1.3875592324449328,1.3875592324449328,1.3875592324449328,1.3733474293184398,1.3733474293184398,1.3733474293184398,1.4560427469918122,1.4560427469918122,1.4560427469918122,1.428056761012204,1.428056761012204,1.428056761012204
