Date,iShares International Preferred Stock_etf_Open_average,iShares International Preferred Stock_etf_Open_max,iShares International Preferred Stock_etf_Open_min,iShares International Preferred Stock_etf_High_average,iShares International Preferred Stock_etf_High_max,iShares International Preferred Stock_etf_High_min,iShares International Preferred Stock_etf_Low_average,iShares International Preferred Stock_etf_Low_max,iShares International Preferred Stock_etf_Low_min,iShares International Preferred Stock_etf_Close_average,iShares International Preferred Stock_etf_Close_max,iShares International Preferred Stock_etf_Close_min
2018-04-08,-0.27595930514607153,-0.27595930514607153,-0.27595930514607153,-0.4157706313904054,-0.4157706313904054,-0.4157706313904054,-0.36736038158092793,-0.36736038158092793,-0.36736038158092793,-0.47476984400538286,-0.47476984400538286,-0.47476984400538286
2018-04-15,-0.5130577876508017,-0.5130577876508017,-0.5130577876508017,-0.34247958099768855,-0.34247958099768855,-0.34247958099768855,-0.33484010823218513,-0.33484010823218513,-0.33484010823218513,-0.22215455410445936,-0.22215455410445936,-0.22215455410445936
2018-04-22,-0.7041010013217365,-0.7041010013217365,-0.7041010013217365,-0.7529793707210681,-0.7529793707210681,-0.7529793707210681,-0.5736593837666402,-0.5736593837666402,-0.5736593837666402,-0.6860122736809932,-0.6860122736809932,-0.6860122736809932
2018-04-29,-0.6680044262378915,-0.6680044262378915,-0.6680044262378915,-0.5088006472160325,-0.5088006472160325,-0.5088006472160325,-0.47017295873624976,-0.47017295873624976,-0.47017295873624976,-0.6733185859951392,-0.6733185859951392,-0.6733185859951392
2018-05-06,0.6863774095148877,0.6863774095148877,0.6863774095148877,0.44033776502963073,0.44033776502963073,0.44033776502963073,0.31124098399029687,0.31124098399029687,0.31124098399029687,0.07322520259381958,0.07322520259381958,0.07322520259381958
2018-05-13,-0.4342127763617059,-0.4342127763617059,-0.4342127763617059,-0.47931963731250227,-0.47931963731250227,-0.47931963731250227,-0.19593103848469798,-0.19593103848469798,-0.19593103848469798,-0.1769003988383918,-0.1769003988383918,-0.1769003988383918
2018-05-20,-1.2774063805685005,-1.2774063805685005,-1.2774063805685005,-1.4019862911907381,-1.4019862911907381,-1.4019862911907381,-1.5616764718126477,-1.5616764718126477,-1.5616764718126477,-1.5977530330429957,-1.5977530330429957,-1.5977530330429957
2018-05-27,-1.725477462257757,-1.725477462257757,-1.725477462257757,-1.9740354741014794,-1.9740354741014794,-1.9740354741014794,-1.9662695513027335,-1.9662695513027335,-1.9662695513027335,-1.640274164024898,-1.640274164024898,-1.640274164024898
2018-06-03,-1.9149683403321143,-1.9149683403321143,-1.9149683403321143,-1.4716875826600744,-1.4716875826600744,-1.4716875826600744,-1.7999092213758958,-1.7999092213758958,-1.7999092213758958,-1.1799007886269761,-1.1799007886269761,-1.1799007886269761
2018-06-10,-1.9643995997609163,-1.9643995997609163,-1.9643995997609163,-1.9992712318542114,-1.9992712318542114,-1.9992712318542114,-2.042762743174385,-2.042762743174385,-2.042762743174385,-2.186637894436402,-2.186637894436402,-2.186637894436402
