Name,Source,Code,type
"Gold, London A.M. Fixing",LBMA,LBMA/GOLD,Metal
"Gold, London P.M. Fixing",LBMA,BMA/GOLD,Metal
"Gold, World Gold Council",WGC,WGC/GOLD_DAILY_USD,Metal
"Gold, Bundesbank",BUNDESBANK,BUNDESBANK/BBK01_WT5511,Metal
"Gold, COMEX Gold Futures",COMEX,CHRIS/CME_GC1,Metal
"Gold, Shanghai Gold Futures",SHFE,SHFE/AUV2013,Metal
"Gold, World Bank",WORLDBANK,WORLDBANK/WLD_GOLD,Metal
"Silver, London fixing, USD equivalent",LBMA,LBMA/SILVER,Metal
"Silver, Shanghai Silver Futures",SHFE,SHFE/AGV2013,Metal
"Silver, COMEX Silver Futures",COMEX,CHRIS/CME_SI1,Metal
"Silver, World Bank",WORLDBANK,WORLDBANK/WLD_SILVER,Metal
"Platinum, Johnson Mathey London",JOHNMATT,JOHNMATT/PLAT,Metal
"Platinum, NYMEX Platinum Futures",NYMEX,CHRIS/CME_PL1,Metal
"Palladium, Johnson Mathey London",JOHNMATT,JOHNMATT/PALL,Metal
"Palladium, NYMEX Palladium Futures",NYMEX,CHRIS/CME_PA1,Metal
Iridium,JOHNMATT,JOHNMATT/IRID,Metal
Rhodium,JOHNMATT,JOHNMATT/RHOD,Metal
Ruthenium,JOHNMATT,JOHNMATT/RUTH,Metal
"Aluminum, LME",LME,LME/PR_AL,Metal
"Aluminum, ODA",ODA,ODA/PALUM_USD,Metal
Shanghai Aluminum Futures,SHFE,SHFE/ALV2013,Metal
"Cobalt, LME",LME,LME/PR_CO,Metal
"Copper, LME",LME,LME/PR_CU,Metal
"Copper, ODA",ODA,ODA/PCOPP_USD,Metal
Copper Futures,COMEX,CHRIS/CME_HG1,Metal
Shanghai Copper Futures,SHFE,SHFE/CUV2013,Metal
"Iron Ore, Tianjin (ODA)",ODA,ODA/PIORECR_USD,Metal
"Lead, LME",LME,LME/PR_PB,Metal
"Lead, ODA",ODA,ODA/PLEAD_USD,Metal
Shanghai Lead Futures,SHFE,SHFE/PBV2013,Metal
"Molybdenum, LME",LME,LME/PR_MO,Metal
"Nickel, LME",LME,LME/PR_NI,Metal
"Nickel, ODA",ODA,ODA/PNICK_USD,Metal
"Steel Billet, LME",LME,LME/PR_FM,Metal
Steel Wire,WORLDBANK,WORLDBANK/WLD_STL_JP_WIROD,Metal
Shanghai Steel Rebar Futures,SHFE,SHFE/RBV2013,Metal
Shanghai Steel Wire Futures,SHFE,SHFE/WRV2013,Metal
"Tin, LME",LME,LME/PR_TN,Metal
"Tin, ODA",ODA,ODA/PTIN_USD,Metal
"Zinc, LME",LME,LME/PR_ZI,Metal
"Zinc, ODA",ODA,ODA/PZINC_USD,Metal
Shanghai Zinc Futures,SHFE,SHFE/ZNV2013,Metal
"Barley, Western Canada (ODA)",ODA,ODA/PBARL_USD,Grain
"Barley, Western Canada (WB)",WORLDBANK,WORLDBANK/WLD_BARLEY,Grain
"Corn, Top Flight Grain Co-op",TFGRAIN,TFGRAIN/CORN,Grain
"Corn, CBOT Corn Futures",CME,CHRIS/CME_C1,Grain
