Date,ProShares UltraPro Short S&P500Etf_Open_average,ProShares UltraPro Short S&P500Etf_Open_max,ProShares UltraPro Short S&P500Etf_Open_min,ProShares UltraPro Short S&P500Etf_High_average,ProShares UltraPro Short S&P500Etf_High_max,ProShares UltraPro Short S&P500Etf_High_min,ProShares UltraPro Short S&P500Etf_Low_average,ProShares UltraPro Short S&P500Etf_Low_max,ProShares UltraPro Short S&P500Etf_Low_min,ProShares UltraPro Short S&P500Etf_Close_average,ProShares UltraPro Short S&P500Etf_Close_max,ProShares UltraPro Short S&P500Etf_Close_min
2016-05-15,-0.831358661404401,-0.831358661404401,-0.831358661404401,-0.89124578550033,-0.89124578550033,-0.89124578550033,-0.8517337670714941,-0.8517337670714941,-0.8517337670714941,-0.8463147674056903,-0.8463147674056903,-0.8463147674056903
2016-05-22,-1.1177581833027164,-1.1177581833027164,-1.1177581833027164,-1.1574947175116093,-1.1574947175116093,-1.1574947175116093,-1.1146711836540044,-1.1146711836540044,-1.1146711836540044,-1.1513407184034519,-1.1513407184034519,-1.1513407184034519
2016-05-29,-1.0928425097046643,-1.0928425097046643,-1.0928425097046643,-1.0339830614887537,-1.0339830614887537,-1.0339830614887537,-1.0721390465209837,-1.0721390465209837,-1.0721390465209837,-1.0809881990920776,-1.0809881990920776,-1.0809881990920776
2016-06-05,-1.0222801607243293,-1.0222801607243293,-1.0222801607243293,-0.9904030834031309,-0.9904030834031309,-0.9904030834031309,-1.0049182212024796,-1.0049182212024796,-1.0049182212024796,-0.9677148863735127,-0.9677148863735127,-0.9677148863735127
2016-06-12,-0.7457342533941488,-0.7457342533941488,-0.7457342533941488,-0.6858776802846126,-0.6858776802846126,-0.6858776802846126,-0.6765817442987005,-0.6765817442987005,-0.6765817442987005,-0.6763511436421259,-0.6763511436421259,-0.6763511436421259
2016-06-19,-0.3619900460458671,-0.3619900460458671,-0.3619900460458671,-0.37206670626452204,-0.37206670626452204,-0.37206670626452204,-0.6036924352508509,-0.6036924352508509,-0.6036924352508509,-0.31646298637254533,-0.31646298637254533,-0.31646298637254533
2016-06-26,-1.1682132335632154,-1.1682132335632154,-1.1682132335632154,-1.2492203749026547,-1.2492203749026547,-1.2492203749026547,-1.1965447464019767,-1.1965447464019767,-1.1965447464019767,-1.2116744290563761,-1.2116744290563761,-1.2116744290563761
2016-07-03,-1.538761188753652,-1.538761188753652,-1.538761188753652,-1.5634368826780245,-1.5634368826780245,-1.5634368826780245,-1.683257086864563,-1.683257086864563,-1.683257086864563,-1.698055568387912,-1.698055568387912,-1.698055568387912
2016-07-10,-2.343023472923913,-2.343023472923913,-2.343023472923913,-2.2560076137322724,-2.2560076137322724,-2.2560076137322724,-2.28090850734919,-2.28090850734919,-2.28090850734919,-2.219943565724651,-2.219943565724651,-2.219943565724651
2016-07-17,-2.0338146526636263,-2.0338146526636263,-2.0338146526636263,-2.1318589949871867,-2.1318589949871867,-2.1318589949871867,-2.104316817922282,-2.104316817922282,-2.104316817922282,-2.196760467163855,-2.196760467163855,-2.196760467163855
2016-07-24,-1.8388696449635924,-1.8388696449635924,-1.8388696449635924,-1.8946008312701315,-1.8946008312701315,-1.8946008312701315,-1.9021137914081658,-1.9021137914081658,-1.9021137914081658,-1.899219471842028,-1.899219471842028,-1.899219471842028
2016-07-31,-1.7133047693446135,-1.7133047693446135,-1.7133047693446135,-1.7716049053859604,-1.7716049053859604,-1.7716049053859604,-1.7639633335327003,-1.7639633335327003,-1.7639633335327003,-1.7856497974108652,-1.7856497974108652,-1.7856497974108652
2016-08-07,-1.6892531064282676,-1.6892531064282676,-1.6892531064282676,-1.696131144439235,-1.696131144439235,-1.696131144439235,-1.6525833025049572,-1.6525833025049572,-1.6525833025049572,-1.6394089856210519,-1.6394089856210519,-1.6394089856210519
2016-08-14,-1.507468580591309,-1.507468580591309,-1.507468580591309,-1.4869939854570136,-1.4869939854570136,-1.4869939854570136,-1.4729097742298984,-1.4729097742298984,-1.4729097742298984,-1.4701517212672883,-1.4701517212672883,-1.4701517212672883
