Date,ProShares UltraPro Short NASDAQ BiotechnologyEtf_Open_average,ProShares UltraPro Short NASDAQ BiotechnologyEtf_Open_max,ProShares UltraPro Short NASDAQ BiotechnologyEtf_Open_min,ProShares UltraPro Short NASDAQ BiotechnologyEtf_High_average,ProShares UltraPro Short NASDAQ BiotechnologyEtf_High_max,ProShares UltraPro Short NASDAQ BiotechnologyEtf_High_min,ProShares UltraPro Short NASDAQ BiotechnologyEtf_Low_average,ProShares UltraPro Short NASDAQ BiotechnologyEtf_Low_max,ProShares UltraPro Short NASDAQ BiotechnologyEtf_Low_min,ProShares UltraPro Short NASDAQ BiotechnologyEtf_Close_average,ProShares UltraPro Short NASDAQ BiotechnologyEtf_Close_max,ProShares UltraPro Short NASDAQ BiotechnologyEtf_Close_min
2016-05-15,-0.3181057009420735,-0.3181057009420735,-0.3181057009420735,-0.5610086974777175,-0.5610086974777175,-0.5610086974777175,-0.43842232244107665,-0.43842232244107665,-0.43842232244107665,-0.5939740136815486,-0.5939740136815486,-0.5939740136815486
2016-05-22,-1.2369340301379386,-1.2369340301379386,-1.2369340301379386,-1.3844230633028143,-1.3844230633028143,-1.3844230633028143,-1.2310380313147753,-1.2310380313147753,-1.2310380313147753,-1.3662615799652995,-1.3662615799652995,-1.3662615799652995
2016-05-29,-1.6124624324664374,-1.6124624324664374,-1.6124624324664374,-1.4925649441663646,-1.4925649441663646,-1.4925649441663646,-1.5634073269135067,-1.5634073269135067,-1.5634073269135067,-1.5490819511658724,-1.5490819511658724,-1.5490819511658724
2016-06-05,-0.927420923370192,-0.927420923370192,-0.927420923370192,-0.9157777425695011,-0.9157777425695011,-0.9157777425695011,-0.8168388586255182,-0.8168388586255182,-0.8168388586255182,-0.80095538207632,-0.80095538207632,-0.80095538207632
2016-06-12,-0.44580575240710935,-0.44580575240710935,-0.44580575240710935,-0.31840978455367414,-0.31840978455367414,-0.31840978455367414,-0.2884666675136315,-0.2884666675136315,-0.2884666675136315,-0.0822933246206325,-0.0822933246206325,-0.0822933246206325
2016-06-19,0.12258876955232406,0.12258876955232406,0.12258876955232406,0.12640200128124152,0.12640200128124152,0.12640200128124152,0.12088435111963566,0.12088435111963566,0.12088435111963566,0.45675421081309864,0.45675421081309864,0.45675421081309864
2016-06-26,-0.23381537388168536,-0.23381537388168536,-0.23381537388168536,-0.45288078086449507,-0.45288078086449507,-0.45288078086449507,-0.5056532292730369,-0.5056532292730369,-0.5056532292730369,-0.6422104921437491,-0.6422104921437491,-0.6422104921437491
2016-07-03,-0.8616172985793015,-0.8616172985793015,-0.8616172985793015,-1.0728468110474867,-1.0728468110474867,-1.0728468110474867,-1.0264678056134,-1.0264678056134,-1.0264678056134,-1.143752152809989,-1.143752152809989,-1.143752152809989
2016-07-10,-0.9065393719164178,-0.9065393719164178,-0.9065393719164178,-1.1193189622133242,-1.1193189622133242,-1.1193189622133242,-1.0443425195365608,-1.0443425195365608,-1.0443425195365608,-1.136871999319506,-1.136871999319506,-1.136871999319506
2016-07-17,-1.3537094138115853,-1.3537094138115853,-1.3537094138115853,-1.4960911386007902,-1.4960911386007902,-1.4960911386007902,-1.448117212594186,-1.448117212594186,-1.448117212594186,-1.4751939988170082,-1.4751939988170082,-1.4751939988170082
2016-07-24,-1.5059251572151546,-1.5059251572151546,-1.5059251572151546,-1.588720148828317,-1.588720148828317,-1.588720148828317,-1.6478712236102329,-1.6478712236102329,-1.6478712236102329,-1.7042538694110438,-1.7042538694110438,-1.7042538694110438
