Date,ProShares UltraShort Yen_etf_Open_average,ProShares UltraShort Yen_etf_Open_max,ProShares UltraShort Yen_etf_Open_min,ProShares UltraShort Yen_etf_High_average,ProShares UltraShort Yen_etf_High_max,ProShares UltraShort Yen_etf_High_min,ProShares UltraShort Yen_etf_Low_average,ProShares UltraShort Yen_etf_Low_max,ProShares UltraShort Yen_etf_Low_min,ProShares UltraShort Yen_etf_Close_average,ProShares UltraShort Yen_etf_Close_max,ProShares UltraShort Yen_etf_Close_min
2016-03-27,-0.9573024199833821,-0.9573024199833821,-0.9573024199833821,-0.9456561301678188,-0.9456561301678188,-0.9456561301678188,-1.0044159567007045,-1.0044159567007045,-1.0044159567007045,-1.1306399844896535,-1.1306399844896535,-1.1306399844896535
2016-04-03,-1.593851738424368,-1.593851738424368,-1.593851738424368,-1.6446651446255376,-1.6446651446255376,-1.6446651446255376,-1.648504421287452,-1.648504421287452,-1.648504421287452,-1.7504578256988128,-1.7504578256988128,-1.7504578256988128
2016-04-10,-1.299155432036519,-1.299155432036519,-1.299155432036519,-1.334240176683598,-1.334240176683598,-1.334240176683598,-1.283162537389644,-1.283162537389644,-1.283162537389644,-1.3426090648995181,-1.3426090648995181,-1.3426090648995181
2016-04-17,-0.5567749917141902,-0.5567749917141902,-0.5567749917141902,-0.5055342534122268,-0.5055342534122268,-0.5055342534122268,-0.49624362294550584,-0.49624362294550584,-0.49624362294550584,-0.48498668534335787,-0.48498668534335787,-0.48498668534335787
2016-04-24,-1.8742918729880094,-1.8742918729880094,-1.8742918729880094,-1.8528693545137698,-1.8528693545137698,-1.8528693545137698,-1.9810320496921519,-1.9810320496921519,-1.9810320496921519,-1.9855218952519311,-1.9855218952519311,-1.9855218952519311
2016-05-01,-1.824776317932892,-1.824776317932892,-1.824776317932892,-1.724681571215376,-1.724681571215376,-1.724681571215376,-1.6934219401202137,-1.6934219401202137,-1.6934219401202137,-1.5639651811865412,-1.5639651811865412,-1.5639651811865412
2016-05-08,-0.8227167751365956,-0.8227167751365956,-0.8227167751365956,-0.7538199708866934,-0.7538199708866934,-0.7538199708866934,-0.8456099732306787,-0.8456099732306787,-0.8456099732306787,-0.9108543231602667,-0.9108543231602667,-0.9108543231602667
2016-05-15,-0.2842471719394977,-0.2842471719394977,-0.2842471719394977,-0.30582123103683606,-0.30582123103683606,-0.30582123103683606,-0.22955421293892742,-0.22955421293892742,-0.22955421293892742,-0.27896218943653517,-0.27896218943653517,-0.27896218943653517
2016-05-22,-0.42989707103251046,-0.42989707103251046,-0.42989707103251046,-0.2428952474491923,-0.2428952474491923,-0.2428952474491923,-0.27845008997326837,-0.27845008997326837,-0.27845008997326837,-0.10365047080753276,-0.10365047080753276,-0.10365047080753276
2016-05-29,-1.2200596551005618,-1.2200596551005618,-1.2200596551005618,-1.3238506201593996,-1.3238506201593996,-1.3238506201593996,-1.336836253447808,-1.336836253447808,-1.336836253447808,-1.3433536811246323,-1.3433536811246323,-1.3433536811246323
