Date,ProShares Ultra VIX Short-Term FuturesEtf_Open_average,ProShares Ultra VIX Short-Term FuturesEtf_Open_max,ProShares Ultra VIX Short-Term FuturesEtf_Open_min,ProShares Ultra VIX Short-Term FuturesEtf_High_average,ProShares Ultra VIX Short-Term FuturesEtf_High_max,ProShares Ultra VIX Short-Term FuturesEtf_High_min,ProShares Ultra VIX Short-Term FuturesEtf_Low_average,ProShares Ultra VIX Short-Term FuturesEtf_Low_max,ProShares Ultra VIX Short-Term FuturesEtf_Low_min,ProShares Ultra VIX Short-Term FuturesEtf_Close_average,ProShares Ultra VIX Short-Term FuturesEtf_Close_max,ProShares Ultra VIX Short-Term FuturesEtf_Close_min
2016-03-27,-1.5034693548386697,-1.5034693548386697,-1.5034693548386697,-1.573328519059025,-1.573328519059025,-1.573328519059025,-1.6321037808745849,-1.6321037808745849,-1.6321037808745849,-1.6859008475172361,-1.6859008475172361,-1.6859008475172361
2016-04-03,-1.2938356977734828,-1.2938356977734828,-1.2938356977734828,-1.2521427360473076,-1.2521427360473076,-1.2521427360473076,-1.257574642393163,-1.257574642393163,-1.257574642393163,-1.2114937010439477,-1.2114937010439477,-1.2114937010439477
2016-04-10,-1.2942096447160096,-1.2942096447160096,-1.2942096447160096,-1.3098942514336658,-1.3098942514336658,-1.3098942514336658,-1.2475210588241137,-1.2475210588241137,-1.2475210588241137,-1.2899189926883206,-1.2899189926883206,-1.2899189926883206
2016-04-17,-1.1937475960691946,-1.1937475960691946,-1.1937475960691946,-1.2088164079224946,-1.2088164079224946,-1.2088164079224946,-1.207202219093716,-1.207202219093716,-1.207202219093716,-1.2287284384115988,-1.2287284384115988,-1.2287284384115988
2016-04-24,-1.0287571748800652,-1.0287571748800652,-1.0287571748800652,-0.9219896099682761,-0.9219896099682761,-0.9219896099682761,-0.987583041598845,-0.987583041598845,-0.987583041598845,-0.9467458911889194,-0.9467458911889194,-0.9467458911889194
2016-05-01,-0.8487737081853675,-0.8487737081853675,-0.8487737081853675,-0.9008993546928931,-0.9008993546928931,-0.9008993546928931,-0.9125477585161142,-0.9125477585161142,-0.9125477585161142,-0.9460112368592587,-0.9460112368592587,-0.9460112368592587
2016-05-08,-1.1163159248382182,-1.1163159248382182,-1.1163159248382182,-1.0645521620722627,-1.0645521620722627,-1.0645521620722627,-1.1005223384935479,-1.1005223384935479,-1.1005223384935479,-0.9838684116050767,-0.9838684116050767,-0.9838684116050767
2016-05-15,-1.1072590167720517,-1.1072590167720517,-1.1072590167720517,-1.1477644059580991,-1.1477644059580991,-1.1477644059580991,-1.0336978127166592,-1.0336978127166592,-1.0336978127166592,-1.0511871077868364,-1.0511871077868364,-1.0511871077868364
2016-05-22,-1.4490906438781188,-1.4490906438781188,-1.4490906438781188,-1.4940229560817644,-1.4940229560817644,-1.4940229560817644,-1.4022681352585518,-1.4022681352585518,-1.4022681352585518,-1.439623473224227,-1.439623473224227,-1.439623473224227
2016-05-29,-1.3991735941495183,-1.3991735941495183,-1.3991735941495183,-1.3986263444290705,-1.3986263444290705,-1.3986263444290705,-1.4162527424916809,-1.4162527424916809,-1.4162527424916809,-1.4619646031020217,-1.4619646031020217,-1.4619646031020217
2016-06-05,-1.1874380873175712,-1.1874380873175712,-1.1874380873175712,-1.0956097066688808,-1.0956097066688808,-1.0956097066688808,-1.1170887579315079,-1.1170887579315079,-1.1170887579315079,-0.9730165659349669,-0.9730165659349669,-0.9730165659349669
2016-06-12,-0.49090446025858575,-0.49090446025858575,-0.49090446025858575,-0.5115457040500956,-0.5115457040500956,-0.5115457040500956,-0.44936816692713843,-0.44936816692713843,-0.44936816692713843,-0.43783578254150746,-0.43783578254150746,-0.43783578254150746
