Date,ProShares VIX Short-Term Futures_etf_Open_average,ProShares VIX Short-Term Futures_etf_Open_max,ProShares VIX Short-Term Futures_etf_Open_min,ProShares VIX Short-Term Futures_etf_High_average,ProShares VIX Short-Term Futures_etf_High_max,ProShares VIX Short-Term Futures_etf_High_min,ProShares VIX Short-Term Futures_etf_Low_average,ProShares VIX Short-Term Futures_etf_Low_max,ProShares VIX Short-Term Futures_etf_Low_min,ProShares VIX Short-Term Futures_etf_Close_average,ProShares VIX Short-Term Futures_etf_Close_max,ProShares VIX Short-Term Futures_etf_Close_min
2016-03-27,-1.6166341165043985,-1.6166341165043985,-1.6166341165043985,-1.6958001362802344,-1.6958001362802344,-1.6958001362802344,-1.7826219146257707,-1.7826219146257707,-1.7826219146257707,-1.8484434869713953,-1.8484434869713953,-1.8484434869713953
2016-04-03,-1.3607561168415039,-1.3607561168415039,-1.3607561168415039,-1.2928032406640413,-1.2928032406640413,-1.2928032406640413,-1.2938989636953042,-1.2938989636953042,-1.2938989636953042,-1.221263902120835,-1.221263902120835,-1.221263902120835
2016-04-10,-1.4081682616905034,-1.4081682616905034,-1.4081682616905034,-1.4290090355816034,-1.4290090355816034,-1.4290090355816034,-1.3378013408858607,-1.3378013408858607,-1.3378013408858607,-1.382168515106579,-1.382168515106579,-1.382168515106579
2016-04-17,-1.317568521409325,-1.317568521409325,-1.317568521409325,-1.3367940684932673,-1.3367940684932673,-1.3367940684932673,-1.335184390251797,-1.335184390251797,-1.335184390251797,-1.3558489368579723,-1.3558489368579723,-1.3558489368579723
2016-04-24,-1.126875102265781,-1.126875102265781,-1.126875102265781,-0.9575682687309593,-0.9575682687309593,-0.9575682687309593,-1.0632279509288238,-1.0632279509288238,-1.0632279509288238,-0.9944771378680717,-0.9944771378680717,-0.9944771378680717
2016-05-01,-0.9033575487208712,-0.9033575487208712,-0.9033575487208712,-0.9796002756891571,-0.9796002756891571,-0.9796002756891571,-0.9966647599412413,-0.9966647599412413,-0.9966647599412413,-1.0336743964773685,-1.0336743964773685,-1.0336743964773685
2016-05-08,-1.2613332900041136,-1.2613332900041136,-1.2613332900041136,-1.1798706110424941,-1.1798706110424941,-1.1798706110424941,-1.2274221909454384,-1.2274221909454384,-1.2274221909454384,-1.0523515768407945,-1.0523515768407945,-1.0523515768407945
2016-05-15,-1.191789714664943,-1.191789714664943,-1.191789714664943,-1.2701159087846485,-1.2701159087846485,-1.2701159087846485,-1.107866349938776,-1.107866349938776,-1.107866349938776,-1.1461732422815483,-1.1461732422815483,-1.1461732422815483
2016-05-22,-1.6170026286177908,-1.6170026286177908,-1.6170026286177908,-1.6854381596084067,-1.6854381596084067,-1.6854381596084067,-1.5655537808969835,-1.5655537808969835,-1.5655537808969835,-1.6246328602194562,-1.6246328602194562,-1.6246328602194562
2016-05-29,-1.5715567965200459,-1.5715567965200459,-1.5715567965200459,-1.544566631339032,-1.544566631339032,-1.544566631339032,-1.5893896226878363,-1.5893896226878363,-1.5893896226878363,-1.6466959496225515,-1.6466959496225515,-1.6466959496225515
2016-06-05,-1.2470194292687962,-1.2470194292687962,-1.2470194292687962,-1.1055301188928186,-1.1055301188928186,-1.1055301188928186,-1.1536098214914574,-1.1536098214914574,-1.1536098214914574,-0.944670977868047,-0.944670977868047,-0.944670977868047
2016-06-12,-0.31038584142322007,-0.31038584142322007,-0.31038584142322007,-0.3268964109517334,-0.3268964109517334,-0.3268964109517334,-0.2457545630106353,-0.2457545630106353,-0.2457545630106353,-0.23077236489706723,-0.23077236489706723,-0.23077236489706723
