Date,ProShares UltraShort FinancialsEtf_Open_average,ProShares UltraShort FinancialsEtf_Open_max,ProShares UltraShort FinancialsEtf_Open_min,ProShares UltraShort FinancialsEtf_High_average,ProShares UltraShort FinancialsEtf_High_max,ProShares UltraShort FinancialsEtf_High_min,ProShares UltraShort FinancialsEtf_Low_average,ProShares UltraShort FinancialsEtf_Low_max,ProShares UltraShort FinancialsEtf_Low_min,ProShares UltraShort FinancialsEtf_Close_average,ProShares UltraShort FinancialsEtf_Close_max,ProShares UltraShort FinancialsEtf_Close_min
2016-05-15,-1.081216013625716,-1.081216013625716,-1.081216013625716,-1.1692382682577038,-1.1692382682577038,-1.1692382682577038,-1.1325571826586815,-1.1325571826586815,-1.1325571826586815,-1.1428033159117388,-1.1428033159117388,-1.1428033159117388
2016-05-22,-1.3581475874602398,-1.3581475874602398,-1.3581475874602398,-1.4023861875739885,-1.4023861875739885,-1.4023861875739885,-1.372152825106233,-1.372152825106233,-1.372152825106233,-1.4212880354039426,-1.4212880354039426,-1.4212880354039426
2016-05-29,-1.167046477896544,-1.167046477896544,-1.167046477896544,-1.0915286771509805,-1.0915286771509805,-1.0915286771509805,-1.1312339994359442,-1.1312339994359442,-1.1312339994359442,-1.1635129789967447,-1.1635129789967447,-1.1635129789967447
2016-06-05,-0.944259540179158,-0.944259540179158,-0.944259540179158,-0.9026165876874803,-0.9026165876874803,-0.9026165876874803,-0.8744351780001476,-0.8744351780001476,-0.8744351780001476,-0.8604949369807225,-0.8604949369807225,-0.8604949369807225
2016-06-12,-0.5153055008731632,-0.5153055008731632,-0.5153055008731632,-0.49579518210855866,-0.49579518210855866,-0.49579518210855866,-0.46100823118277556,-0.46100823118277556,-0.46100823118277556,-0.46035507354186395,-0.46035507354186395,-0.46035507354186395
2016-06-19,-0.020334683063900932,-0.020334683063900932,-0.020334683063900932,-0.09729582870638422,-0.09729582870638422,-0.09729582870638422,-0.33663205916822087,-0.33663205916822087,-0.33663205916822087,-0.03790775693053074,-0.03790775693053074,-0.03790775693053074
2016-06-26,-0.7320265238372651,-0.7320265238372651,-0.7320265238372651,-0.7472953877716629,-0.7472953877716629,-0.7472953877716629,-0.6707561032005905,-0.6707561032005905,-0.6707561032005905,-0.6364176647455303,-0.6364176647455303,-0.6364176647455303
2016-07-03,-0.7596785004231938,-0.7596785004231938,-0.7596785004231938,-0.843956224123366,-0.843956224123366,-0.843956224123366,-0.764706677902292,-0.764706677902292,-0.764706677902292,-0.8390351304397263,-0.8390351304397263,-0.8390351304397263
2016-07-10,-1.7979734515136294,-1.7979734515136294,-1.7979734515136294,-1.6620577549910118,-1.6620577549910118,-1.6620577549910118,-1.7640547381706826,-1.7640547381706826,-1.7640547381706826,-1.6932413501633141,-1.6932413501633141,-1.6932413501633141
2016-07-17,-1.6311382182263752,-1.6311382182263752,-1.6311382182263752,-1.72108003822983,-1.72108003822983,-1.72108003822983,-1.7457591723252843,-1.7457591723252843,-1.7457591723252843,-1.8263498293571094,-1.8263498293571094,-1.8263498293571094
