Date,VelocityShares VIX Short Term linked to SP 500 VIX_etf_Open_average,VelocityShares VIX Short Term linked to SP 500 VIX_etf_Open_max,VelocityShares VIX Short Term linked to SP 500 VIX_etf_Open_min,VelocityShares VIX Short Term linked to SP 500 VIX_etf_High_average,VelocityShares VIX Short Term linked to SP 500 VIX_etf_High_max,VelocityShares VIX Short Term linked to SP 500 VIX_etf_High_min,VelocityShares VIX Short Term linked to SP 500 VIX_etf_Low_average,VelocityShares VIX Short Term linked to SP 500 VIX_etf_Low_max,VelocityShares VIX Short Term linked to SP 500 VIX_etf_Low_min,VelocityShares VIX Short Term linked to SP 500 VIX_etf_Close_average,VelocityShares VIX Short Term linked to SP 500 VIX_etf_Close_max,VelocityShares VIX Short Term linked to SP 500 VIX_etf_Close_min
2016-03-27,-0.6299770092343565,-0.6299770092343565,-0.6299770092343565,-0.6786861877388293,-0.6786861877388293,-0.6786861877388293,-0.7381578627975198,-0.7381578627975198,-0.7381578627975198,-0.7773189506034249,-0.7773189506034249,-0.7773189506034249
2016-04-03,-0.5529721462687767,-0.5529721462687767,-0.5529721462687767,-0.5165849106367456,-0.5165849106367456,-0.5165849106367456,-0.5188954303384595,-0.5188954303384595,-0.5188954303384595,-0.47508138014380014,-0.47508138014380014,-0.47508138014380014
2016-04-10,-0.6289450600978614,-0.6289450600978614,-0.6289450600978614,-0.647495783091776,-0.647495783091776,-0.647495783091776,-0.5908026589227581,-0.5908026589227581,-0.5908026589227581,-0.6160034769787555,-0.6160034769787555,-0.6160034769787555
2016-04-17,-0.617492596406575,-0.617492596406575,-0.617492596406575,-0.6372089363735194,-0.6372089363735194,-0.6372089363735194,-0.6412653317299112,-0.6412653317299112,-0.6412653317299112,-0.6599480463048878,-0.6599480463048878,-0.6599480463048878
2016-04-24,-0.5210021106430279,-0.5210021106430279,-0.5210021106430279,-0.40432669925496556,-0.40432669925496556,-0.40432669925496556,-0.4866477202025946,-0.4866477202025946,-0.4866477202025946,-0.43375278809175416,-0.43375278809175416,-0.43375278809175416
2016-05-01,-0.3704965598593238,-0.3704965598593238,-0.3704965598593238,-0.42288575021354324,-0.42288575021354324,-0.42288575021354324,-0.4492379875179417,-0.4492379875179417,-0.4492379875179417,-0.47358880373309775,-0.47358880373309775,-0.47358880373309775
2016-05-08,-0.5504672491189748,-0.5504672491189748,-0.5504672491189748,-0.4771287694073056,-0.4771287694073056,-0.4771287694073056,-0.5300228476940517,-0.5300228476940517,-0.5300228476940517,-0.4002630964387992,-0.4002630964387992,-0.4002630964387992
2016-05-15,-0.3969085544841564,-0.3969085544841564,-0.3969085544841564,-0.4600293212258014,-0.4600293212258014,-0.4600293212258014,-0.36899861344992974,-0.36899861344992974,-0.36899861344992974,-0.41228756649205955,-0.41228756649205955,-0.41228756649205955
2016-05-22,-1.6203050412253661,-1.6203050412253661,-1.6203050412253661,-1.6922218172902317,-1.6922218172902317,-1.6922218172902317,-1.5712352820800313,-1.5712352820800313,-1.5712352820800313,-1.6271215687365164,-1.6271215687365164,-1.6271215687365164
2016-05-29,-1.5634406491409099,-1.5634406491409099,-1.5634406491409099,-1.543720169269067,-1.543720169269067,-1.543720169269067,-1.599004181334961,-1.599004181334961,-1.599004181334961,-1.649500547234465,-1.649500547234465,-1.649500547234465
