Date,KraneShares E China Commercial Paper_etf_Open_average,KraneShares E China Commercial Paper_etf_Open_max,KraneShares E China Commercial Paper_etf_Open_min,KraneShares E China Commercial Paper_etf_High_average,KraneShares E China Commercial Paper_etf_High_max,KraneShares E China Commercial Paper_etf_High_min,KraneShares E China Commercial Paper_etf_Low_average,KraneShares E China Commercial Paper_etf_Low_max,KraneShares E China Commercial Paper_etf_Low_min,KraneShares E China Commercial Paper_etf_Close_average,KraneShares E China Commercial Paper_etf_Close_max,KraneShares E China Commercial Paper_etf_Close_min
2016-03-27,1.7510040100686717,1.7510040100686717,1.7510040100686717,1.619198260540918,1.619198260540918,1.619198260540918,1.6811270323338112,1.6811270323338112,1.6811270323338112,1.5915972042941298,1.5915972042941298,1.5915972042941298
2016-04-03,1.2387436549221793,1.2387436549221793,1.2387436549221793,1.3134230051181706,1.3134230051181706,1.3134230051181706,1.2547494551513811,1.2547494551513811,1.2547494551513811,1.386323834024655,1.386323834024655,1.386323834024655
2016-04-10,1.011980276407798,1.011980276407798,1.011980276407798,1.1740016318761295,1.1740016318761295,1.1740016318761295,1.0241621870665596,1.0241621870665596,1.0241621870665596,1.0368144255486895,1.0368144255486895,1.0368144255486895
2016-04-17,1.037992323510715,1.037992323510715,1.037992323510715,0.9487701850934382,0.9487701850934382,0.9487701850934382,0.9938466464246292,0.9938466464246292,0.9938466464246292,0.971098053542623,0.971098053542623,0.971098053542623
2016-04-24,1.0348571368700037,1.0348571368700037,1.0348571368700037,1.1834986151513527,1.1834986151513527,1.1834986151513527,1.0399910579981217,1.0399910579981217,1.0399910579981217,1.1117093531234623,1.1117093531234623,1.1117093531234623
2016-05-01,0.8494945754431166,0.8494945754431166,0.8494945754431166,0.5006549837464831,0.5006549837464831,0.5006549837464831,0.8084574132810337,0.8084574132810337,0.8084574132810337,0.5796047832958885,0.5796047832958885,0.5796047832958885
2016-05-08,-0.05857316145646998,-0.05857316145646998,-0.05857316145646998,-0.4390294912816833,-0.4390294912816833,-0.4390294912816833,-0.07037785263861392,-0.07037785263861392,-0.07037785263861392,-0.15918610448493267,-0.15918610448493267,-0.15918610448493267
2016-05-15,-1.1088565255140979,-1.1088565255140979,-1.1088565255140979,-1.5363886914422318,-1.5363886914422318,-1.5363886914422318,-1.168029526303756,-1.168029526303756,-1.168029526303756,-1.440773391054228,-1.440773391054228,-1.440773391054228
2016-05-22,-2.091382552961165,-2.091382552961165,-2.091382552961165,-1.7247983839544558,-1.7247983839544558,-1.7247983839544558,-2.054278486235026,-2.054278486235026,-2.054278486235026,-1.7595675240261814,-1.7595675240261814,-1.7595675240261814
2016-05-29,-1.1110400297379208,-1.1110400297379208,-1.1110400297379208,-0.7670938235201518,-0.7670938235201518,-0.7670938235201518,-1.0673020079391942,-1.0673020079391942,-1.0673020079391942,-0.9007650603419757,-0.9007650603419757,-0.9007650603419757
