Date,ProShares UltraShort Silver_etf_Open_average,ProShares UltraShort Silver_etf_Open_max,ProShares UltraShort Silver_etf_Open_min,ProShares UltraShort Silver_etf_High_average,ProShares UltraShort Silver_etf_High_max,ProShares UltraShort Silver_etf_High_min,ProShares UltraShort Silver_etf_Low_average,ProShares UltraShort Silver_etf_Low_max,ProShares UltraShort Silver_etf_Low_min,ProShares UltraShort Silver_etf_Close_average,ProShares UltraShort Silver_etf_Close_max,ProShares UltraShort Silver_etf_Close_min
2016-03-27,-0.2983802669942381,-0.2983802669942381,-0.2983802669942381,-0.2441919216724359,-0.2441919216724359,-0.2441919216724359,-0.3099653388440354,-0.3099653388440354,-0.3099653388440354,-0.46848410573697336,-0.46848410573697336,-0.46848410573697336
2016-04-03,-0.562606900179038,-0.562606900179038,-0.562606900179038,-0.6545353562506042,-0.6545353562506042,-0.6545353562506042,-0.572255903633505,-0.572255903633505,-0.572255903633505,-0.7077234906474975,-0.7077234906474975,-0.7077234906474975
2016-04-10,-1.493615197183218,-1.493615197183218,-1.493615197183218,-1.5360194942297023,-1.5360194942297023,-1.5360194942297023,-1.5651114010073517,-1.5651114010073517,-1.5651114010073517,-1.5864986251141981,-1.5864986251141981,-1.5864986251141981
2016-04-17,-2.1642040549432275,-2.1642040549432275,-2.1642040549432275,-2.012150929043126,-2.012150929043126,-2.012150929043126,-2.1097586314494343,-2.1097586314494343,-2.1097586314494343,-2.0307004921072873,-2.0307004921072873,-2.0307004921072873
2016-04-24,-2.200857254796721,-2.200857254796721,-2.200857254796721,-2.23794653998849,-2.23794653998849,-2.23794653998849,-2.2019999169366096,-2.2019999169366096,-2.2019999169366096,-2.261119693559015,-2.261119693559015,-2.261119693559015
2016-05-01,-1.5643580616040809,-1.5643580616040809,-1.5643580616040809,-1.6134399003278703,-1.6134399003278703,-1.6134399003278703,-1.578988133008379,-1.578988133008379,-1.578988133008379,-1.6300463151109856,-1.6300463151109856,-1.6300463151109856
2016-05-08,-1.080751272179572,-1.080751272179572,-1.080751272179572,-1.125002846907344,-1.125002846907344,-1.125002846907344,-1.0712713170241754,-1.0712713170241754,-1.0712713170241754,-1.1644902945596523,-1.1644902945596523,-1.1644902945596523
2016-05-15,-0.7132295558709602,-0.7132295558709602,-0.7132295558709602,-0.6400027821876297,-0.6400027821876297,-0.6400027821876297,-0.6028202561915694,-0.6028202561915694,-0.6028202561915694,-0.6304505165949128,-0.6304505165949128,-0.6304505165949128
2016-05-22,-0.2929350516754344,-0.2929350516754344,-0.2929350516754344,-0.28849261457150194,-0.28849261457150194,-0.28849261457150194,-0.2010295729096849,-0.2010295729096849,-0.2010295729096849,-0.2395919278642519,-0.2395919278642519,-0.2395919278642519
2016-05-29,-0.3025527146946953,-0.3025527146946953,-0.3025527146946953,-0.36491109021536017,-0.36491109021536017,-0.36491109021536017,-0.2892664491364263,-0.2892664491364263,-0.2892664491364263,-0.365049073214856,-0.365049073214856,-0.365049073214856
